Likvärdigt, rättssäkert och effektivt –  ett nytt nationellt system för kunskapsbedömning ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 om//PP//case//5 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 prov//NN|NEU|PLU|IND|NOM//nmod//2
Period 2 – kriterierelaterade prov och betyg;Eftersom//SN//mark//40 syftet//NN|NEU|SIN|DEF|NOM//nsubj//40 var//VB|PRT|AKT//cop//40 urval//NN|NEU|SIN|IND|NOM//advcl//45 var//VB|PRT|AKT//cop//45 den//DT|UTR|SIN|DEF//det//44 prognostiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 validiteten//NN|UTR|SIN|DEF|NOM//nsubj//45 central//JJ|POS|UTR|SIN|IND|NOM//nsubj:pass//60 .//MAD//punct//45
Period 2 – kriterierelaterade prov och betyg;De//DT|UTR/NEU|PLU|DEF//det//49 grupprelaterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//49 proven//NN|NEU|PLU|DEF|NOM//nsubj//50 vann//VB|PRT|AKT//parataxis//45 efterhand//AB//advmod//50 insteg//NN|NEU|SIN|IND|NOM//obj//50 även//AB//advmod//55 i//PP//case//55 utbildningsväsendet//NN|NEU|SIN|DEF|NOM//obl//50 och//KN//cc//59 den//DT|UTR|SIN|DEF//det//59 klassiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//59 testteorin//NN|UTR|SIN|DEF|NOM//conj//50 utvecklades//VB|PRT|SFO//advcl//5 snabbt//AB|POS//advmod//60 under//PP//case//65 de//DT|UTR/NEU|PLU|DEF//det//65 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//65 decennierna//NN|NEU|PLU|DEF|NOM//obl//60 .//MAD//punct//5
Period 2 – kriterierelaterade prov och betyg;För//PP//case//2 skolans//NN|UTR|SIN|DEF|GEN//nmod:poss//2 del//NN|UTR|SIN|IND|NOM//obl//3 började//VB|PRT|AKT//ROOT//3 dock//AB//advmod//3 efterhand//AB//advmod//3 kritik//NN|UTR|SIN|IND|NOM//nsubj:pass//7 riktas//VB|INF|SFO//advcl//3 mot//PP//case//11 de//DT|UTR/NEU|PLU|DEF//det//11 normrelaterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//11 proven//NN|NEU|PLU|DEF|NOM//obl//7 med//PP//mark//20 utgångspunkt//NN|UTR|SIN|IND|NOM//fixed//12 i//PP//fixed//12 att//SN//mark//20 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//20 inte//AB//advmod//20 bara//AB//advmod//20 var//VB|PRT|AKT//cop//20 intressant//JJ|POS|NEU|SIN|IND|NOM//advcl//7 att//IE//mark//26 på//PP//case//25 ett//DT|NEU|SIN|IND//det//25 reliabelt//JJ|POS|NEU|SIN|IND|NOM//amod//25 sätt//NN|NEU|SIN|IND|NOM//obl//26 rangordna//VB|INF|AKT//acl//20 och//KN//cc//28 sortera//VB|INF|AKT//conj//26 eleverna//NN|UTR|PLU|DEF|NOM//obj//28 sinsemellan//AB//advmod//28 utan//KN//cc//34 också//AB//advmod//34 att//IE//mark//34 veta//VB|INF|AKT//conj//26 vad//HP|NEU|SIN|IND//obj//38 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//38 faktiskt//AB|POS//advmod//38 kunde//VB|PRT|AKT//ccomp//34 och//KN//cc//41 borde//VB|PRT|AKT//aux//41 kunna//VB|INF|AKT//conj//38 för//PP//mark//44 att//IE//mark//44 tilldelas//VB|INF|SFO//advcl//41 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 betyg//NN|NEU|PLU|IND|NOM//obj//44 .//MAD//punct//3
Period 2 – kriterierelaterade prov och betyg;Det//DT|NEU|SIN|DEF//det//2 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 sättet//NN|NEU|SIN|DEF|NOM//nsubj//7 att//IE//mark//4 se//VB|INF|AKT//acl//2 på//PP//case//6 prov//NN|NEU|SIN|IND|NOM//obl//4 krävde//VB|PRT|AKT//ROOT//7 en//DT|UTR|SIN|IND//det//11 delvis//AB//advmod//10 annan//JJ|POS|UTR|SIN|IND|NOM//amod//11 ansats//NN|UTR|SIN|IND|NOM//obj//7 vid//PP//case//13 konstruktionen//NN|UTR|SIN|DEF|NOM//obl//7 .//MAD//punct//7
Period 2 – kriterierelaterade prov och betyg;De//DT|UTR/NEU|PLU|DEF//det//16 kriterier//NN|NEU|PLU|IND|NOM//parataxis//7 för//PP//case//19 faktiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//19 kunskaper//NN|UTR|PLU|IND|NOM//nmod//16 som//HP|-|-|-//nsubj:pass//21 användes//VB|PRT|SFO//acl:relcl//19 gällde//VB|PRT|AKT//xcomp//21 inte//AB//advmod//22 enbart//AB//advmod//22 att//IE//mark//26 uppnå//VB|INF|AKT//advcl//22 en//DT|UTR|SIN|IND//det//29 viss//JJ|POS|UTR|SIN|IND|NOM//amod//29 poängnivå//NN|UTR|SIN|IND|NOM//obj//26 .//MAD//punct//16
Period 2 – kriterierelaterade prov och betyg;Nu//AB//advmod//32 gällde//VB|PRT|AKT//conj//7 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//32 också//AB//advmod//32 att//SN//mark//37 eleven//NN|UTR|SIN|DEF|NOM//nsubj//37 visade//VB|PRT|AKT//ccomp//32 att//SN//mark//45 hon//PN|UTR|SIN|DEF|SUB//nsubj//45 eller//KN//cc//41 han//PN|UTR|SIN|DEF|SUB//conj//39 i//PP//case//44 tillräcklig//JJ|POS|UTR|SIN|IND|NOM//amod//44 utsträckning//NN|UTR|SIN|IND|NOM//obl//45 klarade//VB|PRT|AKT//ccomp//37 av//PL//case//47 uppgifter//NN|UTR|PLU|IND|NOM//obl//45 som//HP|-|-|-//nsubj:pass//49 bedömdes//VB|PRT|SFO//acl:relcl//47 ligga//VB|INF|AKT//xcomp//49 på//PP//case//54 den//DT|UTR|SIN|DEF//det//54 kvalitativa//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//54 nivå//NN|UTR|SIN|IND|NOM//obl//50 som//KN//obj//59 ett//DT|NEU|SIN|IND//det//58 visst//JJ|POS|NEU|SIN|IND|NOM//amod//58 kriterium//NN|NEU|SIN|IND|NOM//nsubj//59 angav//VB|PRT|AKT//acl:relcl//54 .//MAD//punct//7
Period 2 – kriterierelaterade prov och betyg;Eleven//NN|UTR|SIN|DEF|NOM//nsubj//64 skulle//VB|PRT|AKT//aux//64 alltså//AB//advmod//64 ligga//VB|INF|AKT//parataxis//7 över//PL//case//68 en//DT|UTR|SIN|IND//det//68 viss//JJ|POS|UTR|SIN|IND|NOM//amod//68 betygsgräns//NN|UTR|SIN|IND|NOM//obl//64 eller//KN//cc//70 kravgräns//UO//conj//68 (//PAD//punct//64 cut//UO//obj//7  //_SP////72 off-gräns//UO//conj//72 )//PAD//punct//72 .//MAD//punct//7
Period 2 – kriterierelaterade prov och betyg;Därmed//AB//advmod//80 kunde//VB|PRT|AKT//aux//80 man//PN|UTR|SIN|IND|SUB//nsubj//80 säga//VB|INF|AKT//conj//7 att//SN//mark//90 en//DT|UTR|SIN|IND//det//83 elev//NN|UTR|SIN|IND|NOM//nsubj//90 med//PP//case//85 det//PN|NEU|SIN|DEF|SUB/OBJ//nmod//83 eller//KN//cc//88 det//DT|NEU|SIN|DEF//det//88 betyget//NN|NEU|SIN|DEF|NOM//conj//83 hade//VB|PRT|AKT//aux//90 visat//VB|SUP|AKT//ccomp//80 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//iobj//90 klara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//93 uppgifter//NN|UTR|PLU|IND|NOM//obj//90 på//PP//case//98 en//DT|UTR|SIN|IND//det//98 viss//JJ|POS|UTR|SIN|IND|NOM//amod//98 kvalitativ//JJ|POS|UTR|SIN|IND|NOM//amod//98 nivå//NN|UTR|SIN|IND|NOM//obl//90 .//MAD//punct//7
Period 2 – kriterierelaterade prov och betyg;I//PP//case//1 USA//PM|NOM//obl//2 började//VB|PRT|AKT//ROOT//2 idéerna//NN|UTR|PLU|DEF|NOM//nsubj//2 om//PP//case//6 kriterierelaterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//6 prov//NN|NEU|PLU|IND|NOM//nmod//3 få//VB|INF|AKT//xcomp//2 genomslag//NN|NEU|SIN|IND|NOM//obj//7 i//PP//case//10 slutet//NN|NEU|SIN|DEF|NOM//obl//7 av//PP//case//12 1960-talet//NN|NEU|SIN|DEF|NOM//nmod//10 .//MAD//punct//2
Period 2 – kriterierelaterade prov och betyg;Efterhand//AB//advmod//2 blev//VB|PRT|AKT//advcl//2 uppslutningen//NN|UTR|SIN|DEF|NOM//nsubj//15 allt//AB//advmod//18 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//16 också//AB//advmod//15 i//PP//case//21 Sverige//PM|NOM//obl//15 och//KN//cc//27 i//PP//case//24 mitten//NN|UTR|SIN|DEF|NOM//obl//27 av//PP//case//26 1990-talet//NN|NEU|SIN|DEF|NOM//nmod//24 fick//VB|PRT|AKT//conj//2 det//DT|NEU|SIN|DEF//det//30 kriterierelaterade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//30 tänkandet//NN|NEU|SIN|DEF|NOM//obj//27 tydligt//JJ|POS|NEU|SIN|IND|NOM//amod//32 genomslag//NN|NEU|SIN|IND|NOM//nsubj:pass//42 när//HA//mark//37 de//DT|UTR/NEU|PLU|DEF//det//36 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//36 läroplanerna//NN|UTR|PLU|DEF|NOM//nsubj//37 Lpo//PM|NOM//nsubj:pass//42 94//RG|NOM//nummod//37 och//KN//cc//40 Lpf//NN|AN//nmod//41 94//RG|NOM//nummod//42 beslutades//VB|PRT|SFO//xcomp//27 .//MAD//punct//27
Period 2 – kriterierelaterade prov och betyg;För//PP//case//46 grundskolans//NN|UTR|SIN|DEF|GEN//nmod:poss//46 del//NN|UTR|SIN|IND|NOM//obl//51 hade//VB|PRT|AKT//aux//51 det//DT|NEU|SIN|DEF//det//50 grupprelaterade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//50 systemet//NN|NEU|SIN|DEF|NOM//nsubj//51 börjat//VB|SUP|AKT//ccomp//27 upplösas//VB|INF|SFO//xcomp//51 redan//AB//advmod//52 med//PP//case//55 Lgr//PM|NOM//obl//52 80//RG|NOM//nummod//55 .//MID//punct//2
Period 2 – kriterierelaterade prov och betyg;Då//AB//advmod//59 övergavs//VB|PRT|SFO//parataxis//2 den//DT|UTR|SIN|DEF//det//62 strikta//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//62 betygsfördelningen//NN|UTR|SIN|DEF|NOM//nsubj//59 efter//PP//case//65 givna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//65 procentsatser//NN|UTR|PLU|IND|NOM//obl//59 och//KN//cc//67 ersattes//VB|PRT|SFO//conj//59 av//PP//case//72 en//DT|UTR|SIN|IND//det//72 mer//AB|KOM//advmod//71 svävande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//72 rekommendation//NN|UTR|SIN|IND|NOM//obl//67 om//PP//mark//81 att//SN//mark//81 betyget//NN|NEU|SIN|DEF|NOM//nmod//76 3//RG|NOM//nsubj//81 skulle//VB|PRT|AKT//aux//81 vara//VB|INF|AKT//cop//81 det//DT|NEU|SIN|DEF//det//81 vanligaste//JJ|SUV|UTR/NEU|SIN/PLU|DEF|NOM//amod//81 betyget//NN|NEU|SIN|DEF|NOM//obl//67 och//KN//cc//94 att//SN//mark//94 andelen//NN|UTR|SIN|DEF|NOM//nsubj//94 2//RG|NOM//nmod//84 ://MID//punct//85 or//NN|AN//nmod//84 och//KN//cc//87 4//RG|NOM//nummod//87 ://MID//punct//84
Period 2 – kriterierelaterade prov och betyg;or//NN|AN//nmod//84 skulle//VB|PRT|AKT//aux//94 vara//VB|INF|AKT//cop//94 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//81 än//KN//case//97 andelen//NN|UTR|SIN|DEF|NOM//nmod//97 1//RG|NOM//nmod//94 ://MID//punct//67 or//NN|AN//obl//67 och//KN//cc//99 5//RG|NOM//nummod//99 ://MID//punct//67
Period 2 – kriterierelaterade prov och betyg;or//NN|AN//obl//67 .//MAD//punct//67
Period 2 – kriterierelaterade prov och betyg;För//PP//case//107 gymnasieskolans//NN|UTR|SIN|DEF|GEN//nmod:poss//107 del//NN|UTR|SIN|IND|NOM//obl//108 gällde//VB|PRT|AKT//conj//59 dock//AB//advmod//108 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//108 på//PP//case//112 normalfördelningen//NN|UTR|SIN|DEF|NOM//obl//113 baserade//PC|PRF|UTR/NEU|SIN|DEF|NOM//advcl//108 procentuella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//115 fördelningen//NN|UTR|SIN|DEF|NOM//nsubj//113 i//PP//advmod//118 huvudsak//NN|UTR|SIN|IND|NOM//fixed//116 oförändrad//PC|PRF|UTR|SIN|IND|NOM//amod//115 fram//AB//advmod//121 till//PP//case//121 1994//RG|NOM//obl//118 .//MAD//punct//2
Period 2 – kriterierelaterade prov och betyg;Det//DT|NEU|SIN|DEF//det//2 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//2 betygssystem//NN|NEU|SIN|IND|NOM//nsubj//6 som//HP|-|-|-//nsubj:pass//4 introducerades//VB|PRT|SFO//acl:relcl//2 1994//RG|NOM//nummod//4 fick//VB|PRT|AKT//ROOT//6 efter//PP//case//9 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 diskussioner//NN|UTR|PLU|IND|NOM//obl//6 benämningen//NN|UTR|SIN|DEF|NOM//advmod//11 mål-//NN|NEU|-|-|SMS//obj//6 och//KN//cc//13 kunskapsrelaterat//PC|PRF|NEU|SIN|IND|NOM//conj//11 .//MID//punct//6
Period 2 – kriterierelaterade prov och betyg;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//21 är//VB|PRS|AKT//cop//21 en//DT|UTR|SIN|IND//det//21 för//PP//case//19 Sverige//PM|NOM//obl//20 unik//JJ|POS|UTR|SIN|IND|NOM//amod//21 beteckning//NN|UTR|SIN|IND|NOM//parataxis//6 och//KN//cc//25 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//25 är//VB|PRS|AKT//cop//25 svårt//JJ|POS|NEU|SIN|IND|NOM//conj//6 att//IE//mark//27 se//VB|INF|AKT//csubj//25 på//PP//case//30 vilket//HD|NEU|SIN|IND//det//30 sätt//NN|NEU|SIN|IND|NOM//obl//27 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//32 preciserar//VB|PRS|AKT//acl:relcl//30 vad//HP|NEU|SIN|IND//obj//32 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//33 är//VB|PRS|AKT//cop//33 som//HP|-|-|-//nsubj:pass//38 ska//VB|PRS|AKT//aux//38 betygssättas//VB|INF|SFO//acl:cleft//33 eller//KN//cc//43 hur//HA//advmod//43 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//43 ska//VB|PRS|AKT//aux//43 gå//VB|INF|AKT//conj//38 till//PL//compound:prt//43 .//MAD//punct//6
Period 2 – kriterierelaterade prov och betyg;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//47 finns//VB|PRS|SFO//parataxis//6 knappast//AB|SUV//advmod//47 något//DT|NEU|SIN|IND//det//50 betygssystem//NN|NEU|SIN|IND|NOM//nsubj//47 som//HP|-|-|-//nsubj//53 inte//AB//advmod//53 gäller//VB|PRS|AKT//acl:relcl//50 mål//NN|NEU|PLU|IND|NOM//obj//53 och//KN//cc//56 kunskaper//NN|UTR|PLU|IND|NOM//conj//54 .//MAD//punct//47
Period 2 – kriterierelaterade prov och betyg;Någon//DT|UTR|SIN|IND//det//60 tydlig//JJ|POS|UTR|SIN|IND|NOM//amod//60 hänvisning//NN|UTR|SIN|IND|NOM//nsubj//67 till//PP//case//66 den//DT|UTR|SIN|DEF//det//66 etablerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//66 benämningen//NN|UTR|SIN|DEF|NOM//amod//66 kriterierelaterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//66 betyg//NN|NEU|PLU|IND|NOM//nmod//60 finns//VB|PRS|SFO//parataxis//47 inte//AB//advmod//67 .//MAD//punct//47
Period 2 – kriterierelaterade prov och betyg;Måhända//AB//nsubj//75 var//VB|PRT|AKT//cop//75 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//75 kursplanernas//NN|UTR|PLU|DEF|GEN//nmod:poss//75 nydanande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//75 konstruktion//NN|UTR|SIN|IND|NOM//parataxis//6 med//PP//case//77 mål//NN|NEU|SIN|IND|NOM//nmod//75 att//IE//mark//79 uppnå//VB|INF|AKT//acl//77  //_SP////79 (//PAD//punct//75 samtidigt//AB//advmod//83 kriterier//NN|NEU|PLU|IND|NOM//appos//75 för//PP//case//86 betyget//NN|NEU|SIN|DEF|NOM//nmod//86 G//NN|NEU|SIN|IND|NOM//nmod//83 i//PP//case//88 grundskolan//NN|UTR|SIN|DEF|NOM//nmod//83 )//PAD//punct//75 och//KN//cc//91 mål//NN|NEU|SIN|IND|NOM//conj//75 att//IE//mark//93 sträva//VB|INF|AKT//acl//91 mot//PP//case//93  //_SP////94 som//KN//obl//100 den//DT|UTR|SIN|DEF//det//99 valda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//99 benämningen//NN|UTR|SIN|DEF|NOM//nsubj//100 syftade//VB|PRT|AKT//acl:relcl//91 på//PP//case//96 .//MAD//punct//75
Period 2 – kriterierelaterade prov och betyg;Även//AB//advmod//1 kunskapsbegreppet//NN|NEU|SIN|DEF|NOM//nsubj//2 fick//VB|PRT|AKT//advcl//115 en//DT|UTR|SIN|IND//det//5 ny//JJ|POS|UTR|SIN|IND|NOM//amod//5 innebörd//NN|UTR|SIN|IND|NOM//obj//2 genom//PP//case//8 de//DT|UTR/NEU|PLU|DEF//det//8 resonemang//NN|NEU|PLU|IND|NOM//obl//2 som//HP|-|-|-//nsubj:pass//10 fördes//VB|PRT|SFO//acl:relcl//8 i//PP//case//13 utredningen//NN|UTR|SIN|DEF|NOM//nmod//13 Skola//NN|UTR|SIN|IND|NOM//obl//10 för//PP//case//16 bildning//NN|UTR|SIN|IND|NOM//nmod//16 17//RG|NOM//obl//10  //_SP////16 som//HP|-|-|-//nsubj//19 låg//VB|PRT|AKT//acl:relcl//16 till//PP//case//25 grund//NN|UTR|SIN|IND|NOM//fixed//20 för//PP//fixed//20 1994//RG|NOM//nummod//24 års//NN|NEU|SIN|IND|GEN//nmod:poss//25 reform//NN|UTR|SIN|IND|NOM//obl//19 .//MAD//punct//2
Period 2 – kriterierelaterade prov och betyg;Den//DT|UTR|SIN|DEF//det//29 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//29 betoningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//42 av//PP//case//31 kunskapsstoff//NN|NEU|PLU|IND|NOM//nmod//29 och//KN//cc//33 färdigheter//NN|UTR|PLU|IND|NOM//conj//31 med//PP//case//35 rötter//NN|UTR|PLU|IND|NOM//nmod//29 i//PP//case//41 främst//AB|SUV//advmod//38 behavioristiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 och//KN//cc//40 konstruktivistiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//38 teorier//NN|UTR|PLU|IND|NOM//nmod//35 tonades//VB|PRT|SFO//parataxis//2 ner//PL//advmod//42 .//MAD//punct//42
Period 2 – kriterierelaterade prov och betyg;I//PP//advmod//47 stället//NN|NEU|SIN|DEF|NOM//fixed//45 introducerades//VB|PRT|SFO//conj//42 ett//DT|NEU|SIN|IND//det//50 modernare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//50 kunskapsbegrepp//NN|NEU|SIN|IND|NOM//nsubj:pass//47 som//HP|-|-|-//nsubj:pass//53 delvis//AB//advmod//53 baserades//VB|PRT|SFO//acl:relcl//50 på//PP//case//56 konstruktivistiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//56 idétraditioner//NN|UTR|PLU|IND|NOM//obl//53 ,//MID//punct//74 men//KN//cc//74 främst//AB|SUV//advmod//62 på//PP//case//62 sociokulturella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//62 teorier//NN|UTR|PLU|IND|NOM//nsubj//74 om//PP//case//65 kunskapens//NN|UTR|SIN|DEF|GEN//nmod:poss//65 natur//NN|UTR|SIN|IND|NOM//nmod//62 och//KN//cc//68 lärandets//NN|NEU|SIN|DEF|GEN//nmod:poss//68 villkor//NN|NEU|PLU|IND|NOM//conj//65 .//MAD//punct//62
Period 2 – kriterierelaterade prov och betyg;Denna//DT|UTR|SIN|DEF//det//71 kunskapssyn//NN|UTR|SIN|IND|NOM//nsubj//74 kom//VB|PRT|AKT//aux//74 att//IE//mark//74 få//VB|INF|AKT//conj//42 benämningen//NN|UTR|SIN|DEF|NOM//obj//74 ”//PM|NOM//punct//74 de//DT|UTR/NEU|PLU|DEF//det//78 fyra//RG|NOM//nummod//79 f//NN|AN//appos//74 ://MID//punct//74
Period 2 – kriterierelaterade prov och betyg;en//RG|UTR|SIN|IND|NOM//obj//74 ://MID//punct//81
Period 2 – kriterierelaterade prov och betyg;fakta//NN|NEU|PLU|IND|NOM//appos//81 ,//MID//punct//85 förståelse//NN|UTR|SIN|IND|NOM//conj//83 ,//MID//punct//87 färdighet//NN|UTR|SIN|IND|NOM//conj//83 och//KN//cc//89 förtrogenhet//NN|UTR|SIN|IND|NOM//conj//83 ”//PAD//punct//74 .//MAD//punct//2
Period 2 – kriterierelaterade prov och betyg;Dessa//DT|UTR/NEU|PLU|DEF//det//93 kunskapsformer//NN|UTR|PLU|IND|NOM//nsubj//94 stod//VB|PRT|AKT//parataxis//2 inte//AB//advmod//94 i//PP//case//99 något//DT|NEU|SIN|IND//det//99 hierarkiskt//JJ|POS|NEU|SIN|IND|NOM//amod//99 förhållande//NN|NEU|SIN|IND|NOM//obl//94 till//PP//case//101 varandra//PN|UTR/NEU|PLU|DEF|OBJ//nmod//99 utan//KN//punct//2 ...//MID//punct//105 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//105 kompletterar//VB|PRS|AKT//conj//2 varandra//PN|UTR/NEU|PLU|DEF|OBJ//obj//105 och//KN//cc//108 utgör//VB|PRS|AKT//conj//2 varandras//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//110 förutsättningar//NN|UTR|PLU|IND|NOM//obj//108 .//MAD//punct//2
Period 2 – kriterierelaterade prov och betyg;Kortfattat//AB//parataxis//2 kan//VB|PRS|AKT//aux//115 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//115 beskrivas//VB|INF|SFO//ROOT//115 som//KN//nsubj:pass//115 ://MAD//punct//115
Period 2 – kriterierelaterade prov och betyg;Fakta//NN|NEU|PLU|IND|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 kunskap//NN|UTR|SIN|IND|NOM//ROOT//2 som//KN//mark//4 information//NN|UTR|SIN|IND|NOM//nmod//2 .//MAD//punct//2
Period 2 – kriterierelaterade prov och betyg;Förståelse//NN|UTR|SIN|IND|NOM//nsubj//8 är//VB|PRS|AKT//cop//8 kunskap//NN|UTR|SIN|IND|NOM//parataxis//2 som//KN//mark//10 meningsskapande//NN|NEU|SIN|IND|NOM//advcl//8 .//MAD//punct//8
Period 2 – kriterierelaterade prov och betyg;Färdighet//NN|UTR|SIN|IND|NOM//conj//8 är//VB|PRS|AKT//cop//14 kunskap//NN|UTR|SIN|IND|NOM//conj//8 som//KN//mark//16 utförande//NN|NEU|SIN|IND|NOM//advcl//14 .//MAD//punct//8
Period 2 – kriterierelaterade prov och betyg;Förtrogenhet//NN|UTR|SIN|IND|NOM//nsubj//2 är//VB|PRS|AKT//cop//2 kunskap//NN|UTR|SIN|IND|NOM//ROOT//2 som//KN//mark//4 omdöme.(s//PM|NOM//appos//2 .//MAD//punct//2
Period 2 – kriterierelaterade prov och betyg;80//RG|NOM//nummod//2 )//PAD//punct//6 .//MAD//punct//2

Bedömning;Det//DT|NEU|SIN|DEF//det//2 kriterierelaterade//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//2 systemet//NN|NEU|SIN|DEF|NOM//nsubj//11 ,//MID//punct//9 inte//AB//advmod//9 minst//AB|SUV//advmod//9 i//PP//case//9 sin//PS|UTR|SIN|DEF//nmod:poss//9 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 form//NN|UTR|SIN|IND|NOM//appos//2 ,//MID//punct//2 krävde//VB|PRT|AKT//ROOT//11 delvis//AB//advmod//11 annorlunda//AB//amod//14 prov//NN|NEU|SIN|IND|NOM//obj//11 och//KN//cc//19 framför//PP//case//19 allt//PN|NEU|SIN|IND|SUB/OBJ//advmod//18 annorlunda//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//19 bedömningsanvisningar//NN|UTR|PLU|IND|NOM//conj//11 för//PP//case//21 bedömning//NN|UTR|SIN|IND|NOM//nmod//19 av//PP//case//23 proven//NN|NEU|PLU|DEF|NOM//nmod//21 och//KN//cc//25 betygssättning//NN|UTR|SIN|IND|NOM//conj//23 .//MAD//punct//11
Bedömning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//28 handlade//VB|PRT|AKT//parataxis//11 inte//AB//advmod//28 längre//AB|KOM//advmod//28 om//PP//mark//33 att//IE//mark//33 relatera//VB|INF|AKT//advcl//28 resultaten//NN|NEU|PLU|DEF|NOM//obj//33 till//PP//case//37 en//DT|UTR|SIN|IND//det//37 skala//NN|UTR|SIN|IND|NOM//nmod//34 med//PP//case//40 förutbestämda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//40 egenskaper//NN|UTR|PLU|IND|NOM//nmod//37 (//PAD//punct//42 medelvärde//NN|NEU|SIN|IND|NOM//appos//40 och//KN//cc//44 standardavvikelse//NN|UTR|SIN|IND|NOM//conj//42 )//PAD//punct//28 och//KN//cc//48 inte//AB//advmod//48 heller//AB//conj//28 om//PP//mark//51 att//IE//mark//51 jämföra//VB|INF|AKT//advcl//28 eleverna//NN|UTR|PLU|DEF|NOM//obj//51 med//PP//case//54 varandra//PN|UTR/NEU|PLU|DEF|OBJ//obl//51 .//MAD//punct//28
