10 Förhållandet till yttrandefriheten ;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 föreslår//VB|PRS|AKT//ROOT//1 att//SN//mark//4 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//4 görs//VB|PRS|SFO//ccomp//1 ett//DT|NEU|SIN|IND//det//6 undantag//NN|NEU|SIN|IND|NOM//obj//4 i//PP//case//8 persondatalagen//NN|UTR|SIN|DEF|NOM//nmod//6 för//PP//case//12 all//DT|UTR|SIN|IND/DEF//det//12 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//12 behandling//NN|UTR|SIN|IND|NOM//nmod//6 av//PP//case//14 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//12 som//HP|-|-|-//nsubj:pass//16 skyddas//VB|PRS|SFO//acl:relcl//12 av//PP//case//18 TF//PM|NOM//obl:agent//16 och//KN//cc//20 YGL//PM|NOM//conj//18 eller//KN//cc//22 utförs//VB|PRS|SFO//conj//16 som//KN//mark//25 ett//DT|NEU|SIN|IND//det//25 led//NN|NEU|SIN|IND|NOM//advcl//22 i//PP//case//28 konstnärligt//JJ|POS|NEU|SIN|IND|NOM//amod//28 skapande//NN|NEU|SIN|IND|NOM//obl//25 .//MAD//punct//1
12.2.6 Persondataansvarig och persondatabiträde;Huruvida//SN//mark//90 den//DT|UTR|SIN|DEF//det//89 anlitade//PC|PRF|UTR/NEU|SIN|DEF|NOM//nsubj//90 blir//VB|PRS|AKT//advcl//3 att//IE//mark//92 betrakta//VB|INF|AKT//xcomp//90 som//KN//mark//94 persondatabiträde//NN|NEU|SIN|IND|NOM//xcomp//90 eller//KN//cc//96 persondataansvarig//NN|NEU|SIN|IND|NOM//conj//94 verkar//VB|PRS|AKT//conj//3 närmast//AB|SUV//advmod//97 hänga//VB|INF|AKT//xcomp//97 samman//PL//compound:prt//99 med//PP//mark//106 om//SN//mark//106 han//PN|UTR|SIN|DEF|SUB//nsubj//106 eller//KN//cc//105 hon//PN|UTR|SIN|DEF|SUB//conj//103 har//VB|PRS|AKT//advcl//99 befogenhet//NN|UTR|SIN|IND|NOM//obj//106 att//IE//mark//109 självständigt//AB|POS//acl//107 eller//KN//cc//111 tillsammans//AB//advmod//113 med//PP//case//113 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//109 som//HP|-|-|-//nsubj//115 lämnade//VB|PRT|AKT//acl:relcl//113 uppdraget//NN|NEU|SIN|DEF|NOM//obj//115 bestämma//VB|INF|AKT//xcomp//106 över//PP//mark//122 hur//HA//advmod//122 uppgiftsbehandlingen//NN|UTR|SIN|DEF|NOM//nsubj//122 skall//VB|PRS|AKT//aux//122 ske//VB|INF|AKT//ccomp//117 ,//MID//punct//125 t.ex.//AB|AN//advmod//125 söka//VB|INF|AKT//conj//122 bland//PP//case//127 uppgifterna//NN|UTR|PLU|DEF|NOM//obl//125 .//MAD//punct//3
12.2.6 Persondataansvarig och persondatabiträde;Den//DT|UTR|SIN|DEF//det//1 behandling//NN|UTR|SIN|IND|NOM//nsubj//11 som//HP|-|-|-//nsubj//3 sker//VB|PRS|AKT//acl:relcl//1 inom//PP//case//8 ramen//NN|UTR|SIN|DEF|NOM//fixed//4 för//PP//fixed//4 en//DT|UTR|SIN|IND//det//8 koncern//NN|UTR|SIN|IND|NOM//obl//3 kan//VB|PRS|AKT//aux//11 möjligen//AB//advmod//11 utgöra//VB|INF|AKT//ROOT//11 ett//DT|NEU|SIN|IND//det//13 undantag//NN|NEU|SIN|IND|NOM//obj//11 från//PP//case//15 vad//HP|NEU|SIN|IND//obl//11 som//HP|-|-|-//nsubj:pass//18 nu//AB//advmod//18 sagts//VB|SUP|SFO//acl:relcl//15 .//MAD//punct//11
12.2.6 Persondataansvarig och persondatabiträde;Av//PP//mark//23 vad//HP|NEU|SIN|IND//dislocated//23 som//HP|-|-|-//nsubj//23 sägs//VB|PRS|SFO//conj//11 i//PP//case//26 punkt//NN|UTR|SIN|IND|NOM//nmod//26 19//RG|NOM//obl//23 i//PP//case//28 ingressen//NN|UTR|SIN|DEF|NOM//obl//23 verkar//VB|PRS|AKT//conj//11 nämligen//AB//advmod//29 framgå//VB|INF|AKT//xcomp//29 att//SN//mark//37 en//DT|UTR|SIN|IND//det//35 enda//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//35 persondataansvarig//NN|UTR|SIN|IND|NOM//nsubj//37 kan//VB|PRS|AKT//aux//37 bedriva//VB|INF|AKT//ccomp//31 verksamhet//NN|UTR|SIN|IND|NOM//obj//37 genom//PP//case//42 självständiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 juridiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//42 personer//NN|UTR|PLU|IND|NOM//obl//37 ,//MID//punct//45 t.ex.//AB|AN//advmod//45 dotterbolag//NN|NEU|PLU|IND|NOM//appos//42 ,//MID//punct//50 i//PP//case//50 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//50 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//50 stater//NN|UTR|PLU|IND|NOM//conj//45 .//MAD//punct//11

12.2.7 Personuppgifter och den registrerade;Med//PP//case//1 personuppgift//NN|UTR|SIN|IND|NOM//obl//2 avses//VB|PRS|SFO//ROOT//2 enligt//PP//case//4 EG-direktivet//NN|NEU|SIN|DEF|NOM//obl//2 varje//DT|UTR/NEU|SIN|IND//det//6 upplysning//NN|UTR|SIN|IND|NOM//obl//2 som//HP|-|-|-//nsubj//8 avser//VB|PRS|AKT//acl:relcl//6 en//DT|UTR|SIN|IND//det//11 fysisk//JJ|POS|UTR|SIN|IND|NOM//amod//11 person//NN|UTR|SIN|IND|NOM//obj//8 som//HP|-|-|-//nsubj//14 är//VB|PRS|AKT//cop//14 identifierad//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//11 eller//KN//cc//18 som//HP|-|-|-//nsubj:pass//18 kan//VB|PRS|AKT//aux//18 identifieras//VB|INF|SFO//conj//14 .//MAD//punct//2
12.2.7 Personuppgifter och den registrerade;Av//PP//case//22 de//DT|UTR/NEU|PLU|DEF//det//22 uttalanden//NN|NEU|PLU|IND|NOM//obl//38 som//HP|-|-|-//nsubj:pass//24 tagits//VB|SUP|SFO//acl:relcl//22 till//PP//case//27 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//27 protokoll//NN|NEU|SIN|IND|NOM//obl//24 i//PP//mark//37 samband//NN|NEU|SIN|IND|NOM//fixed//28 med//PP//mark//37 att//SN//mark//37 den//DT|UTR|SIN|DEF//det//34 gemensamma//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//34 ståndpunkten//NN|UTR|SIN|DEF|NOM//nsubj:pass//37 beträffande//PP//case//36 direktivet//NN|NEU|SIN|DEF|NOM//nmod//34 antogs//VB|PRT|SFO//acl:relcl//22 framgår//VB|PRS|AKT//parataxis//2 att//SN//mark//42 medlemsstaterna//NN|UTR|PLU|DEF|NOM//nsubj//42 kan//VB|PRS|AKT//aux//42 bestämma//VB|INF|AKT//ccomp//38 om//PP//case//44 uppgifter//NN|UTR|PLU|IND|NOM//obl//42 om//PP//case//47 avlidna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//47 personer//NN|UTR|PLU|IND|NOM//nmod//44 skall//VB|PRS|AKT//aux//49 omfattas//VB|INF|SFO//conj//2 av//PP//case//53 den//DT|UTR|SIN|DEF//det//53 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//53 lagstiftningen//NN|UTR|SIN|DEF|NOM//obl:agent//49 (//PAD//punct//2 se//VB|IMP|AKT//parataxis//2 avsnitt//NN|NEU|SIN|IND|NOM//nmod//57 3.2.2.2//RG|NOM//obj//55 )//PAD//punct//2 .//MAD//punct//2
12.2.7 Personuppgifter och den registrerade;Vi//PN|UTR|PLU|DEF|SUB//nsubj//1 anser//VB|PRS|AKT//ROOT//1 att//SN//mark//5 möjligheten//NN|UTR|SIN|DEF|NOM//nsubj//5 att//IE//mark//5 begränsa//VB|INF|AKT//ccomp//1 tillämpningen//NN|UTR|SIN|DEF|NOM//obj//5 av//PP//case//8 lagen//NN|UTR|SIN|DEF|NOM//obl//5 till//PP//mark//11 att//IE//mark//11 avse//VB|INF|AKT//advcl//5 bara//AB//advmod//11 uppgifter//NN|UTR|PLU|IND|NOM//obj//11 om//PP//case//15 personer//NN|UTR|PLU|IND|NOM//nmod//13 som//HP|-|-|-//nsubj//19 är//VB|PRS|AKT//cop//19 i//PP//case//19 livet//NN|NEU|SIN|DEF|NOM//obl//11 bör//VB|PRS|AKT//aux//21 utnyttjas//VB|INF|SFO//conj//1 .//MAD//punct//1
12.2.7 Personuppgifter och den registrerade;290//RG|NOM//nummod//25  //_SP////23 Reglerna//NN|UTR|PLU|DEF|NOM//nsubj//33 i//PP//case//29 den//DT|UTR|SIN|DEF//det//29 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//29 lagen//NN|UTR|SIN|DEF|NOM//nmod//25 är//VB|PRS|AKT//cop//33 nämligen//AB//advmod//33 så//AB//advmod//33 långtgående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//parataxis//1 att//SN//mark//37 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//37 bör//VB|PRS|AKT//aux//37 reserveras//VB|INF|SFO//advcl//33 för//PP//case//40 de//DT|UTR/NEU|PLU|DEF//det//40 fall//NN|NEU|PLU|IND|NOM//obl//37 där//HA//advmod//57 behovet//NN|NEU|SIN|DEF|NOM//nsubj//57 av//PP//case//44 skydd//NN|NEU|SIN|IND|NOM//nmod//42 för//PP//case//47 personlig//JJ|POS|UTR|SIN|IND|NOM//amod//47 integritet//NN|UTR|SIN|IND|NOM//nmod//42 beträffande//PP//case//49 behandling//NN|UTR|SIN|IND|NOM//nmod//47 av//PP//case//51 uppgifter//NN|UTR|PLU|IND|NOM//nmod//49 om//SN//mark//54 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//54 berörde//VB|PRT|AKT//nmod//42 är//VB|PRS|AKT//cop//57 mest//AB|SUV//advmod//57 uttalat//PC|PRF|NEU|SIN|IND|NOM//acl:relcl//40 ,//MID//punct//57 nämligen//AB//advmod//57 när//HA//case//63 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//60 gäller//VB|PRS|AKT//fixed//60 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//57 som//HP|-|-|-//nsubj//66 är//VB|PRS|AKT//cop//66 levande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//63 och//KN//cc//71 som//HP|-|-|-//nsubj//71 själv//JJ|POS|UTR|SIN|IND|NOM//acl//68 kan//VB|PRS|AKT//aux//71 ha//VB|INF|AKT//conj//66 ett//DT|NEU|SIN|IND//det//74 eget//JJ|POS|NEU|SIN|IND/DEF|NOM//amod//74 anspråk//NN|NEU|SIN|IND|NOM//obj//71 på//PP//case//77 personlig//JJ|POS|UTR|SIN|IND|NOM//amod//77 integritet//NN|UTR|SIN|IND|NOM//obl//71 i//PP//case//80 detta//DT|NEU|SIN|DEF//det//80 hänseende//NN|NEU|SIN|IND|NOM//nmod//77 .//MAD//punct//33
12.2.7 Personuppgifter och den registrerade;De//DT|UTR/NEU|PLU|DEF//det//83 regler//NN|UTR|PLU|IND|NOM//obj//106 som//HP|-|-|-//nsubj//85 förutsätter//VB|PRS|AKT//acl:relcl//83 att//SN//mark//90 den//DT|UTR|SIN|DEF//det//88 registrerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//nsubj//90 har//VB|PRS|AKT//aux//90 lämnat//VB|SUP|AKT//ccomp//85 sitt//PS|NEU|SIN|DEF//nmod:poss//92 samtycke//NN|NEU|SIN|IND|NOM//obj//90 eller//KN//cc//95 som//HP|-|-|-//nsubj//95 innebär//VB|PRS|AKT//conj//90 att//SN//mark//100 den//DT|UTR|SIN|DEF//det//98 registrerade//PC|PRF|UTR/NEU|SIN|DEF|NOM//nsubj:pass//100 skall//VB|PRS|AKT//aux//100 informeras//VB|INF|SFO//ccomp//95 skulle//VB|PRT|AKT//aux//106 vidare//AB|KOM//advmod//106 i//PP//case//105 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//105 fall//NN|NEU|PLU|IND|NOM//obl//106 bli//VB|INF|AKT//parataxis//33 svåra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//106 att//IE//mark//109 tillämpa//VB|INF|AKT//acl//107 beträffande//PP//case//111 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//109 som//HP|-|-|-//nsubj//114 inte//AB//advmod//114 lever//VB|PRS|AKT//acl:relcl//111 .//MAD//punct//1
12.2.7 Personuppgifter och den registrerade;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//121 skulle//VB|PRT|AKT//aux//121 enligt//PP//case//120 vår//PS|UTR|SIN|DEF//nmod:poss//120 mening//NN|UTR|SIN|IND|NOM//obl//121 krävas//VB|INF|SFO//parataxis//1 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//123 särregler//NN|UTR|PLU|IND|NOM//obj//121 i//PP//case//125 lagstiftningen//NN|UTR|SIN|DEF|NOM//obl//121 beträffande//PP//case//127 uppgifter//NN|UTR|PLU|IND|NOM//obl//121 om//PP//case//129 den//PN|UTR|SIN|DEF|SUB/OBJ//nmod//127 som//HP|-|-|-//nsubj//132 inte//AB//advmod//132 lever//VB|PRS|AKT//acl:relcl//129 .//MAD//punct//121
12.2.7 Personuppgifter och den registrerade;Behovet//NN|NEU|SIN|DEF|NOM//obl//121 av//PP//case//136 skydd//NN|NEU|SIN|IND|NOM//nmod//134 beträffande//PP//case//138 uppgifter//NN|UTR|PLU|IND|NOM//nmod//134 om//PP//mark//141 icke//AB//advmod//141 levande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//138 är//VB|PRS|AKT//cop//141 som//KN//obl//145 vi//PN|UTR|PLU|DEF|SUB//nsubj//145 ser//VB|PRS|AKT//acl:relcl//134 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//145 inte//AB//advmod//145 så//AB//advmod//149 uttalat//PC|PRF|NEU|SIN|IND|NOM//conj//121 att//SN//mark//154 sådana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//152 särregler//NN|UTR|PLU|IND|NOM//nsubj:pass//154 bör//VB|PRS|AKT//aux//154 införas//VB|INF|SFO//ccomp//149 .//MAD//punct//121
12.2.7 Personuppgifter och den registrerade;291//RG|NOM//dep//121
12.2.7 Personuppgifter och den registrerade;Uppgifter//NN|UTR|PLU|IND|NOM//nsubj//19 om//PP//case//2 den//PN|UTR|SIN|DEF|SUB/OBJ//nmod//0 som//HP|-|-|-//nsubj:pass//8 enligt//PP//case//6 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//6 rätt//NN|UTR|SIN|IND|NOM//obl//8 skall//VB|PRS|AKT//aux//8 betraktas//VB|INF|SFO//acl:relcl//2 som//KN//mark//10 avliden//JJ|POS|UTR|SIN|IND|NOM//xcomp//8 292//RG|NOM//obl//8  //_SP////11 eller//KN//cc//17 som//HP|-|-|-//nsubj//17 ännu//AB//advmod//17 icke//AB//advmod//17 levande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl:relcl//0 (//PAD//punct//19 född//PC|PRF|UTR|SIN|IND|NOM//advcl//21 )//PAD//punct//19 omfattas//VB|PRS|SFO//advcl//30 således//AB//advmod//21 inte//AB//advmod//21 av//PP//case//27 den//DT|UTR|SIN|DEF//det//27 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//27 lagen//NN|UTR|SIN|DEF|NOM//obl:agent//21 .//MAD//punct//21
12.2.7 Personuppgifter och den registrerade;Däremot//AB//advmod//21 omfattas//VB|PRS|SFO//ROOT//30 givetvis//AB//advmod//30 uppgifter//NN|UTR|PLU|IND|NOM//obj//30 om//PP//mark//37 vem//HP|UTR|SIN|IND//dislocated//37 som//HP|-|-|-//nsubj//37 är//VB|PRS|AKT//cop//37 släkt//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//32 med//PP//case//39 den//PN|UTR|SIN|DEF|SUB/OBJ//obl//37 som//HP|-|-|-//nsubj//42 är//VB|PRS|AKT//cop//42 avliden//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//39 eller//KN//cc//49 om//PP//mark//49 vem//HP|UTR|SIN|IND//dislocated//49 som//HP|-|-|-//nsubj//49 kommer//VB|PRS|AKT//aux//49 att//IE//mark//49 bli//VB|INF|AKT//conj//42 förälder//NN|UTR|SIN|IND|NOM//xcomp//49 när//HA//mark//54 ett//DT|NEU|SIN|IND//det//53 foster//NN|NEU|SIN|IND|NOM//nsubj:pass//54 föds//VB|PRS|SFO//advcl//49 levande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//54 ,//MID//punct//59 allt//PN|NEU|SIN|IND|SUB/OBJ//advmod//59 under//PP//case//59 förutsättning//NN|UTR|SIN|IND|NOM//obl//30 att//SN//mark//64 de//DT|UTR/NEU|PLU|DEF//det//63 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//63 släktingarna//NN|UTR|PLU|DEF|NOM//nsubj//64 är//VB|PRS|AKT//acl//59 i//PP//case//66 livet//NN|NEU|SIN|DEF|NOM//obl//64 .//MAD//punct//30
12.2.7 Personuppgifter och den registrerade;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//2 kan//VB|PRS|AKT//aux//2 tilläggas//VB|INF|SFO//ROOT//2 att//SN//mark//16 en//DT|UTR|SIN|IND//det//5 uppgift//NN|UTR|SIN|IND|NOM//nsubj//16 beträffande//PP//case//9 en//DT|UTR|SIN|IND//det//8 persons//NN|UTR|SIN|IND|GEN//nmod:poss//9 arvsanlag//NN|NEU|SIN|IND|NOM//nmod//5 (//PAD//punct//5 DNA//PM|NOM//appos//5 )//PAD//punct//5 kan//VB|PRS|AKT//aux//16 vara//VB|INF|AKT//cop//16 en//DT|UTR|SIN|IND//det//16 uppgift//NN|UTR|SIN|IND|NOM//ccomp//2 som//HP|-|-|-//nsubj//18 avser//VB|PRS|AKT//acl:relcl//16 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//20 personer//NN|UTR|PLU|IND|NOM//obj//18 ,//MID//punct//34 eftersom//SN//mark//34 denna//DT|UTR|SIN|DEF//det//24 uppgift//NN|UTR|SIN|IND|NOM//nsubj//34 i//PP//case//26 kombination//NN|UTR|SIN|IND|NOM//nmod//24 med//PP//case//29 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//29 uppgifter//NN|UTR|PLU|IND|NOM//nmod//26 med//PP//case//32 dagens//NN|UTR|SIN|DEF|GEN//nmod:poss//32 teknik//NN|UTR|SIN|IND|NOM//nmod//29 kan//VB|PRS|AKT//aux//34 ge//VB|INF|AKT//conj//2 upplysningar//NN|UTR|PLU|IND|NOM//obj//34 om//PP//case//40 t.ex.//AB|AN//advmod//40 den//DT|UTR|SIN|DEF//det//39 personens//NN|UTR|SIN|DEF|GEN//nmod:poss//40 föräldrar//NN|UTR|PLU|IND|NOM//nmod//35 och//KN//cc//42 avkomma//NN|UTR|SIN|IND|NOM//conj//40 .//MAD//punct//34
12.2.7 Personuppgifter och den registrerade;290//RG|NOM//nummod//49 Också//AB//advmod//49 den//DT|UTR|SIN|DEF//det//48 brittiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//48 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//49 avser//VB|PRS|AKT//conj//2 att//IE//mark//51 begränsa//VB|INF|AKT//xcomp//49 tillämpningsområdet//NN|NEU|SIN|DEF|NOM//obj//51 för//PP//case//55 den//DT|UTR|SIN|DEF//det//55 lagstiftning//NN|UTR|SIN|IND|NOM//obl//51 som//HP|-|-|-//case//58 inför//PP//case//58 direktivet//NN|NEU|SIN|DEF|NOM//obl//51 till//PP//case//61 levande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//61 individer//NN|UTR|PLU|IND|NOM//nmod//58 ,//MID//punct//63 se//VB|IMP|AKT//conj//49 punkt//NN|UTR|SIN|IND|NOM//nsubj//63 2.2//RG|NOM//obj//63 i//PP//case//69 det//DT|NEU|SIN|DEF//det//69 brittiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//69 diskussionsunderlaget//NN|NEU|SIN|DEF|NOM//obl//63 .//MID//punct//49
12.2.7 Personuppgifter och den registrerade;291//RG|NOM//obl//49 När//HA//mark//74 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//72 gäller//VB|PRS|AKT//advcl//49 visst//JJ|POS|NEU|SIN|IND|NOM//advmod//76 spridande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj//74 av//PP//case//78 uppgifter//NN|UTR|PLU|IND|NOM//nmod//76 om//PP//mark//81 döda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//81 finns//VB|PRS|SFO//advcl//49 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//81 för//PP//advmod//81 övrigt//AB|POS//fixed//83 redan//AB//advmod//81 ett//DT|NEU|SIN|IND//det//88 begränsat//PC|PRF|NEU|SIN|IND|NOM//amod//88 skydd//NN|NEU|SIN|IND|NOM//obj//81 genom//PP//case//90 reglerna//NN|UTR|PLU|DEF|NOM//obl//81 om//PP//case//92 förtal//NN|NEU|SIN|IND|NOM//nmod//90 av//PP//case//94 avliden//JJ|POS|UTR|SIN|IND|NOM//nmod//92 i//PP//case//97 5//RG|NOM//nummod//97 kap.//NN|AN//nmod//100 4//RG|NOM//nummod//99 §//NN|AN//nmod//100 brottsbalken//NN|UTR|SIN|DEF|NOM//nmod//92 .//MAD//punct//49
12.2.7 Personuppgifter och den registrerade;292//RG|NOM//nummod//103 Se//VB|IMP|AKT//parataxis//49 lagen//NN|UTR|SIN|DEF|NOM//obj//103 (//PAD//punct//106 1987:269//RG|NOM//appos//104 )//PAD//punct//106 om//PP//case//109 kriterier//NN|NEU|PLU|IND|NOM//obl//103 för//PP//case//111 bestämmande//NN|NEU|SIN|IND|NOM//nmod//109 av//PP//case//114 människans//NN|UTR|SIN|DEF|GEN//nmod:poss//114 död//NN|UTR|SIN|IND|NOM//nmod//111 och//KN//cc//116 bestämmelserna//NN|UTR|PLU|DEF|NOM//conj//114 om//PP//case//118 dödförklaring//NN|UTR|SIN|IND|NOM//nmod//116 i//PP//case//122 25//RG|NOM//nummod//121 kap.//NN|AN//nmod//122 ärvdabalken//NN|UTR|SIN|DEF|NOM//nmod//118 .//MAD//punct//2
12.2.7 Personuppgifter och den registrerade;Uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//4 om//PP//case//3 juridiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 personer//NN|UTR|PLU|IND|NOM//nmod//0 omfattas//VB|PRS|SFO//ROOT//4 inte//AB//advmod//4 ,//MID//punct//4 även//AB//mark//13 om//SN//fixed//7 den//DT|UTR|SIN|DEF//det//11 juridiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//11 personen//NN|UTR|SIN|DEF|NOM//nsubj//13 skulle//VB|PRT|AKT//aux//13 råka//VB|INF|AKT//advcl//4 ägas//VB|INF|SFO//xcomp//13 av//PP//case//21 en//RG|UTR|SIN|IND|NOM//det//19 eller//KN//cc//18 ett//DT|NEU|SIN|IND//conj//16 fåtal//NN|NEU|SIN|IND|NOM//nmod//21 fysiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//21 personer//NN|UTR|PLU|IND|NOM//obl:agent//14 eller//KN//cc//23 ha//VB|INF|AKT//conj//14 en//DT|UTR|SIN|IND//det//25 benämning//NN|UTR|SIN|IND|NOM//obj//23 (//PAD//punct//25 firma//NN|UTR|SIN|IND|NOM//appos//25 )//PAD//punct//27 som//HP|-|-|-//nsubj//30 innefattar//VB|PRS|AKT//acl:relcl//25 ett//DT|NEU|SIN|IND//det//32 personnamn//NN|NEU|SIN|IND|NOM//obj//30 .//MAD//punct//4
12.2.7 Personuppgifter och den registrerade;Däremot//AB//advmod//35 omfattas//VB|PRS|SFO//parataxis//4 uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//35 om//PP//case//40 en//DT|UTR|SIN|IND//det//40 enskild//JJ|POS|UTR|SIN|IND|NOM//amod//40 firma//NN|UTR|SIN|IND|NOM//obl//35 ,//MID//punct//35 eftersom//SN//mark//53 innehavaren//NN|UTR|SIN|DEF|NOM//nsubj//53 av//PP//case//47 en//DT|UTR|SIN|IND//det//47 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//47 firma//NN|UTR|SIN|IND|NOM//nmod//43 alltid//AB//advmod//53 är//VB|PRS|AKT//cop//53 en//DT|UTR|SIN|IND//det//53 enda//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//53 fysisk//JJ|POS|UTR|SIN|IND|NOM//amod//53 person//NN|UTR|SIN|IND|NOM//advcl//35 .//MAD//punct//4
12.2.7 Personuppgifter och den registrerade;Krypterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//1 uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//2 omfattas//VB|PRS|SFO//ROOT//2 av//PP//case//6 den//DT|UTR|SIN|DEF//det//6 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//6 lagen//NN|UTR|SIN|DEF|NOM//obl:agent//2 så//AB//advmod//11 länge//AB|POS//advmod//11 någon//PN|UTR|SIN|IND|SUB/OBJ//nsubj//11 kan//VB|PRS|AKT//aux//11 göra//VB|INF|AKT//advcl//2 uppgifterna//NN|UTR|PLU|DEF|NOM//obj//11 läsbara//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//obj//11 och//KN//cc//16 därmed//AB//advmod//16 identifiera//VB|INF|AKT//conj//11 individer//NN|UTR|PLU|IND|NOM//obj//16 .//MAD//punct//2
12.2.7 Personuppgifter och den registrerade;Också//AB//advmod//20 sådana//PN|UTR/NEU|PLU|IND|SUB/OBJ//parataxis//2 i//PP//case//22 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//nmod//20 anonyma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 uppgifter//NN|UTR|PLU|IND|NOM//obj//2 som//HP|-|-|-//nsubj//26 gör//VB|PRS|AKT//acl:relcl//24 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//26 möjligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//26 med//PP//case//31 s.k.//AB|AN//amod//31 bakvägsidentifikation//NN|UTR|SIN|IND|NOM//obl//26 av//PP//case//35 en//DT|UTR|SIN|IND//det//35 fysisk//JJ|POS|UTR|SIN|IND|NOM//amod//35 person//NN|UTR|SIN|IND|NOM//nmod//31 omfattas//VB|PRS|SFO//advcl//2 .//MAD//punct//2
