Släpvagnskörning med B-körkort ;–//RG|NOM//punct//6 när//HA//advmod//6 kan//VB|PRS|AKT//aux//6 de//DT|UTR/NEU|PLU|DEF//det//5 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 EU-reglerna//NN|UTR|PLU|DEF|NOM//nsubj//6 börja//VB|INF|AKT//ROOT//6 tillämpas//VB|INF|SFO//xcomp//6 ?//MAD//punct//6
5 EU-harmonisering av körkortsbehörigheter;5.1.3//RG|NOM//nmod//51 Minimikrav//NN|NEU|PLU|IND|NOM//parataxis//5 enligt//PP//case//54 bilaga//NN|UTR|SIN|IND|NOM//nmod//54 V//RG|NOM//nmod//51 i//PP//case//56 direktivet//NN|NEU|SIN|DEF|NOM//obl//51
5 EU-harmonisering av körkortsbehörigheter;Av//PP//case//2 bilaga//NN|UTR|SIN|IND|NOM//nmod//2 V//RG|NOM//obl//54 ,//MID//punct//4 Minimikrav//NN|NEU|SIN|IND|NOM//conj//2 på//PP//case//6 utbildning//NN|UTR|SIN|IND|NOM//nmod//4 av//PP//case//8 förare//NN|UTR|PLU|IND|NOM//nmod//6 och//KN//cc//10 förarprov//NN|NEU|PLU|IND|NOM//conj//2 för//PP//case//12 kombinationer//NN|UTR|PLU|IND|NOM//nmod//10 enligt//PP//case//15 artikel//NN|UTR|SIN|IND|NOM//nmod//15 4.4//RG|NOM//nmod//12 b//NN|NEU|SIN|IND|NOM//punct//2 )//PAD//punct//2 andra//RO|NOM//amod//19 stycket//NN|NEU|SIN|DEF|NOM//conj//2 ,//MID//punct//21 framgår//VB|PRS|AKT//conj//2 ,//MID//punct//23 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//2 .//MAD//punct//2 –//RG|NOM//punct//26
5 EU-harmonisering av körkortsbehörigheter;godkänna//VB|INF|AKT//appos//2 och//KN//cc//28 övervaka//VB|INF|AKT//conj//26 utbildning//NN|UTR|SIN|IND|NOM//obj//26 enligt//PP//case//32 artikel//NN|UTR|SIN|IND|NOM//nmod//32 7.1//RG|NOM//obl//26 d//NN|AN//obl//26 )//PAD//punct//26 ,//MID//punct//2 eller//KN//cc//38 –//RG|NOM//punct//38 anordna//VB|INF|AKT//conj//2 körprov//NN|NEU|SIN|IND|NOM//obj//38 enligt//PP//case//42 artikel//NN|UTR|SIN|IND|NOM//nmod//42 7.1//RG|NOM//nmod//39 d//NN|AN//obl//38 )//PAD//punct//2 .//MAD//punct//2 –//RG|NOM//punct//49
5 EU-harmonisering av körkortsbehörigheter;minst//AB|SUV//advmod//48 7//RG|NOM//nummod//49 timmar//NN|UTR|PLU|IND|NOM//conj//2 .//MAD//punct//49 –//RG|NOM//punct//54
5 EU-harmonisering av körkortsbehörigheter;Förarutbildningen//NN|UTR|SIN|DEF|NOM//nsubj//54 skall//VB|PRS|AKT//aux//54 omfatta//VB|INF|AKT//ROOT//54 de//DT|UTR/NEU|PLU|DEF//det//56 kunskaper//NN|UTR|PLU|IND|NOM//obj//54 ,//MID//punct//56 den//DT|UTR|SIN|DEF//det//59 förmåga//NN|UTR|SIN|IND|NOM//conj//56 och//KN//cc//62 det//DT|NEU|SIN|DEF//det//62 beteende//NN|NEU|SIN|IND|NOM//conj//56 som//HP|-|-|-//nsubj:pass//64 beskrivs//VB|PRS|SFO//acl:relcl//62 i//PP//case//67 punkterna//NN|UTR|PLU|DEF|NOM//nmod//67 2//RG|NOM//obl//64 och//KN//cc//67 7//RG|NOM//nummod//67 i//PP//case//71 bilaga//NN|UTR|SIN|IND|NOM//obl//64 II//RG|NOM//nummod//71 .//MAD//punct//54
5 EU-harmonisering av körkortsbehörigheter;Särskild//PC|PRF|UTR|SIN|IND|NOM//amod//75 omsorg//NN|UTR|SIN|IND|NOM//nsubj:pass//77 skall//VB|PRS|AKT//aux//77 ägnas//VB|INF|SFO//parataxis//54 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obj//77 ://MID//punct//77 –//PAD//punct//82
5 EU-harmonisering av körkortsbehörigheter;Fordons//PM|GEN//nmod:poss//82 rörelsedynamik//NN|UTR|SIN|IND|NOM//nsubj//104 ,//MID//punct//84 säkerhetskriterier//NN|UTR|PLU|IND|NOM//conj//82 ,//MID//punct//86 dragfordon//NN|NEU|PLU|IND|NOM//conj//82 och//KN//cc//88 släpvagn//NN|UTR|SIN|IND|NOM//conj//82 (//PAD//punct//90 kopplingsmekanism//NN|UTR|SIN|IND|NOM//appos//82 )//PAD//punct//90 ,//MID//punct//94 riktig//JJ|POS|UTR|SIN|IND|NOM//amod//94 lastning//NN|UTR|SIN|IND|NOM//conj//82 och//KN//cc//96 säkerhetsdon//NN|NEU|PLU|IND|NOM//conj//94 .//MAD//punct//82
5 EU-harmonisering av körkortsbehörigheter;En//DT|UTR|SIN|IND//det//100 praktisk//JJ|POS|UTR|SIN|IND|NOM//amod//100 del//NN|UTR|SIN|IND|NOM//nsubj//104 av//PP//case//102 utbildningen//NN|UTR|SIN|DEF|NOM//nmod//100 skall//VB|PRS|AKT//aux//104 omfatta//VB|INF|AKT//parataxis//77 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//106 övningar//NN|UTR|PLU|IND|NOM//obj//104 .//MAD//punct//104
5 EU-harmonisering av körkortsbehörigheter;Acceleration//PM|NOM//appos//104 ,//MID//punct//110 fartminskning//NN|UTR|SIN|IND|NOM//conj//108 ,//MID//punct//112 backning//NN|UTR|SIN|IND|NOM//conj//108 ,//MID//punct//114 bromsning//NN|UTR|SIN|IND|NOM//conj//108 ,//MID//punct//116 stoppsträcka//NN|UTR|SIN|IND|NOM//conj//108 ,//MID//punct//118 körfältsbyte//NN|NEU|SIN|IND|NOM//conj//108 ,//MID//punct//120 bromsning//NN|UTR|SIN|IND|NOM//conj//108 ///MID//cc//122 väjning//NN|UTR|SIN|IND|NOM//conj//108 ,//MID//punct//125 släpvagnens//NN|UTR|SIN|DEF|GEN//nmod:poss//125 svängrörelser//NN|UTR|PLU|IND|NOM//conj//108 ,//MID//punct//127 på-//NN|UTR|-|-|SMS//conj//108 och//KN//cc//129 avkoppling//NN|UTR|SIN|IND|NOM//conj//108 av//PP//case//132 en//DT|UTR|SIN|IND//det//132 släpvagn//NN|UTR|SIN|IND|NOM//nmod//129 på//PP//case//135 ett//DT|NEU|SIN|IND//det//135 motorfordon//NN|NEU|SIN|IND|NOM//obl//104 ,//MID//punct//137 parkering//NN|UTR|SIN|IND|NOM//conj//135 .//MAD//punct//77 –//PAD//punct//143
5 EU-harmonisering av körkortsbehörigheter;Varje//DT|UTR/NEU|SIN|IND//det//141 utbildningsdeltagare//NN|UTR|SIN|IND|NOM//nsubj//143 skall//VB|PRS|AKT//aux//143 genomföra//VB|INF|AKT//parataxis//77 den//DT|UTR|SIN|DEF//det//146 praktiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//146 delen//NN|UTR|SIN|DEF|NOM//obj//143 och//KN//cc//148 visa//VB|INF|AKT//conj//143 sin//PS|UTR|SIN|DEF//nmod:poss//150 förmåga//NN|UTR|SIN|IND|NOM//obj//148 och//KN//cc//153 sitt//PS|NEU|SIN|DEF//nmod:poss//153 beteende//NN|NEU|SIN|IND|NOM//conj//150 på//PP//case//156 allmän//JJ|POS|UTR|SIN|IND|NOM//amod//156 väg//NN|UTR|SIN|IND|NOM//nmod//153 .//MAD//punct//143 –//PAD//punct//160
5 EU-harmonisering av körkortsbehörigheter;De//DT|UTR/NEU|PLU|DEF//det//160 fordonskombinationer//NN|UTR|PLU|IND|NOM//nsubj:pass//166 som//HP|-|-|-//nsubj:pass//162 används//VB|PRS|SFO//acl:relcl//160 för//PP//case//164 utbildningen//NN|UTR|SIN|DEF|NOM//obl//162 skall//VB|PRS|AKT//aux//166 omfattas//VB|INF|SFO//parataxis//143 av//PP//case//169 den//DT|UTR|SIN|DEF//det//169 körkortskategori//NN|UTR|SIN|IND|NOM//obl:agent//166 som//HP|-|-|-//obj//173 deltagarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//172 ansökningar//NN|UTR|PLU|IND|NOM//nsubj//173 avser//VB|PRS|AKT//acl:relcl//169 .//MAD//punct//143 –//PM|NOM//punct//177
5 EU-harmonisering av körkortsbehörigheter;Provets//NN|NEU|SIN|DEF|GEN//nmod:poss//177 längd//NN|UTR|SIN|IND|NOM//nsubj//184 och//KN//cc//181 den//DT|UTR|SIN|DEF//det//181 tillryggalagda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//181 sträckan//NN|UTR|SIN|DEF|NOM//conj//177 måste//VB|PRS|AKT//aux//184 vara//VB|INF|AKT//cop//184 tillräcklig//JJ|POS|UTR|SIN|IND|NOM//conj//143 för//PP//case//186 bedömning//NN|UTR|SIN|IND|NOM//obl//184 av//PP//case//188 förmåga//NN|UTR|SIN|IND|NOM//nmod//186 och//KN//cc//190 beteende//NN|NEU|SIN|IND|NOM//conj//188 enligt//PP//case//192 punkt//NN|UTR|SIN|IND|NOM//nmod//186 3//RG|NOM//nummod//192 .//MAD//punct//143
5 EU-harmonisering av körkortsbehörigheter;5.1.4//RG|NOM//nsubj//196 Införlivande//NN|NEU|SIN|IND|NOM//parataxis//143 och//KN//cc//198 tillämpning//NN|UTR|SIN|IND|NOM//conj//196 av//PP//case//202 det//DT|NEU|SIN|DEF//det//202 tredje//RO|NOM//amod//202 körkortsdirektivet//NN|NEU|SIN|DEF|NOM//nmod//198
5 EU-harmonisering av körkortsbehörigheter;I//PP//case//2 artikel//NN|UTR|SIN|IND|NOM//nmod//2 16//RG|NOM//obl//7 i//PP//case//6 det//DT|NEU|SIN|DEF//det//6 tredje//RO|NOM//amod//6 körkortsdirektivet//NN|NEU|SIN|DEF|NOM//nmod//2 sägs//VB|PRS|SFO//ROOT//7 att//SN//mark//16 senast//AB|SUV//case//12 den//DT|UTR|SIN|DEF//det//12 19//RG|NOM//nummod//12 januari//NN|UTR|SIN|IND|NOM//obl//16 2011//RG|NOM//nummod//12 skall//VB|PRS|AKT//aux//16 medlemsstaterna//NN|UTR|PLU|DEF|NOM//nsubj//16 anta//VB|INF|AKT//advcl//7 och//KN//cc//18 offentliggöra//VB|INF|AKT//conj//16 de//DT|UTR/NEU|PLU|DEF//det//20 bestämmelser//NN|UTR|PLU|IND|NOM//obj//18 i//PP//case//22 lagar//NN|UTR|PLU|IND|NOM//nmod//20 och//KN//cc//25 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//25 författningar//NN|UTR|PLU|IND|NOM//conj//22 som//HP|-|-|-//nsubj//28 är//VB|PRS|AKT//cop//28 nödvändiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//25 för//PP//mark//31 att//IE//mark//31 följa//VB|INF|AKT//advcl//28 bl.a.//AB|AN//advmod//31 artikel//NN|UTR|SIN|IND|NOM//nmod//34 4.4//RG|NOM//obj//31 b)–k//NN|AN//obl//31 )//PAD//punct//7 ,//MID//punct//7 dvs.//AB|AN//advmod//39 bestämmelserna//NN|UTR|PLU|DEF|NOM//parataxis//7 om//PP//case//41 dragbil//NN|UTR|SIN|IND|NOM//nmod//39 och//KN//cc//43 släp//NN|NEU|SIN|IND|NOM//conj//41 .//MAD//punct//7
5 EU-harmonisering av körkortsbehörigheter;Bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//47 skall//VB|PRS|AKT//aux//47 tillämpas//VB|INF|SFO//conj//7 från//PP//compound:prt//47 och//KN//cc//53 med//PP//case//53 den//DT|UTR|SIN|DEF//det//53 19//RG|NOM//nummod//53 januari//NN|UTR|SIN|IND|NOM//obl//47 2013//RG|NOM//nummod//53 .//MAD//punct//7
5 EU-harmonisering av körkortsbehörigheter;I//PP//case//2 artikel//NN|UTR|SIN|IND|NOM//nmod//2 17//RG|NOM//obl//3 sägs//VB|PRS|SFO//ROOT//3 att//SN//mark//13 det//DT|NEU|SIN|DEF//nsubj//13 nu//AB//advmod//9 gällande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 direktivet//NN|NEU|SIN|DEF|NOM//nmod//9 91/439//RG|NOM//nsubj//13 ///MID//cc//11 EEG//NN|AN//conj//9 skall//VB|PRS|AKT//aux//13 upphöra//VB|INF|AKT//csubj//3 från//PP//compound:prt//13 och//KN//cc//19 med//PP//case//19 den//DT|UTR|SIN|DEF//det//19 19//RG|NOM//nummod//19 januari//NN|UTR|SIN|IND|NOM//conj//13 2013//RG|NOM//nummod//19 .//MAD//punct//3
5 EU-harmonisering av körkortsbehörigheter;5.1.5//RG|NOM//parataxis//3 Skillnaden//NN|UTR|SIN|DEF|NOM//nsubj//22 mellan//PP//case//26 det//DT|NEU|SIN|DEF//det//26 andra//RO|NOM//nmod//23 och//KN//cc//31 det//DT|NEU|SIN|DEF//det//30 tredje//RO|NOM//amod//30 körkortsdirektivets//NN|NEU|SIN|DEF|GEN//nmod:poss//31 bestämmelser//NN|UTR|PLU|IND|NOM//conj//26
5 EU-harmonisering av körkortsbehörigheter;Det//PN|NEU|SIN|DEF|SUB/OBJ//det//19 som//HP|-|-|-//nsubj//4 beträffande//PP//amod//3 släpvagnskombinationer//NN|UTR|PLU|IND|NOM//obl//4 skiljer//VB|PRS|AKT//acl:relcl//0 mellan//PP//case//6 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl//4 i//PP//case//9 det//DT|NEU|SIN|DEF//det//9 andra//RO|NOM//nmod//6 och//KN//cc//17 i//PP//case//14 det//DT|NEU|SIN|DEF//det//14 tredje//RO|NOM//amod//14 körkortsdirektivet//NN|NEU|SIN|DEF|NOM//obl//17 är//VB|PRS|AKT//cop//17 två//RG|NOM//nummod//17 saker//NN|UTR|PLU|IND|NOM//conj//9 .//MAD//punct//0
5 EU-harmonisering av körkortsbehörigheter;Begränsningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//28 av//PP//case//22 släpvagnens//NN|UTR|SIN|DEF|GEN//nmod:poss//22 totalvikt//NN|UTR|SIN|IND|NOM//nmod//19 till//PP//case//26 högst//AB|SUV//amod//25 bilens//NN|UTR|SIN|DEF|GEN//nmod:poss//26 tjänstevikt//NN|UTR|SIN|IND|NOM//nmod//22 har//VB|PRS|AKT//aux//28 tagits//VB|SUP|SFO//ROOT//28 bort//PL//compound:prt//28 och//KN//cc//34 en//DT|UTR|SIN|IND//det//32 möjlighet//NN|UTR|SIN|IND|NOM//nsubj:pass//34 har//VB|PRS|AKT//aux//34 öppnats//VB|SUP|SFO//conj//28 att//IE//mark//36 dra//VB|INF|AKT//xcomp//34 en//DT|UTR|SIN|IND//det//39 tyngre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//39 kombination//NN|UTR|SIN|IND|NOM//obj//36 med//PP//case//42 ett//DT|NEU|SIN|IND//det//42 B-körkort//NN|NEU|SIN|IND|NOM//obl//36 ,//MID//punct//42 upp//AB//advmod//48 till//PP//case//48 4//RG|NOM//nummod//48 250//RG|NOM//nummod//48 kg//NN|AN//obl//36 .//MAD//punct//28
5 EU-harmonisering av körkortsbehörigheter;Denna//DT|UTR|SIN|DEF//det//51 rätt//NN|UTR|SIN|IND|NOM//nsubj//54 är//VB|PRS|AKT//cop//54 inte//AB//advmod//54 ovillkorlig//JJ|POS|UTR|SIN|IND|NOM//parataxis//28 utan//KN//cc//56 gäller//VB|PRS|AKT//conj//54 för//PP//case//58 kombinationer//NN|UTR|PLU|IND|NOM//obl//56 som//HP|-|-|-//nsubj//60 överstiger//VB|PRS|AKT//acl:relcl//58 3//RG|NOM//nummod//63 500//RG|NOM//nummod//63 kg//NN|AN//obj//60 under//PP//case//65 förutsättning//NN|UTR|SIN|IND|NOM//obl//60 att//SN//mark//69 föraren//NN|UTR|SIN|DEF|NOM//nsubj//69 har//VB|PRS|AKT//aux//69 genomgått//VB|SUP|AKT//acl//65 minst//AB|SUV//advmod//71 7//RG|NOM//nummod//72 timmars//NN|UTR|PLU|IND|GEN//nmod:poss//73 utbildning//NN|UTR|SIN|IND|NOM//obj//69 eller//KN//cc//76 har//VB|PRS|AKT//aux//76 genomfört//VB|SUP|AKT//conj//69 ett//DT|NEU|SIN|IND//det//79 godkänt//PC|PRF|NEU|SIN|IND|NOM//amod//79 körprov//NN|NEU|SIN|IND|NOM//obj//76 .//MAD//punct//28
5 EU-harmonisering av körkortsbehörigheter;Medlemsstaterna//NN|UTR|PLU|DEF|NOM//nsubj//83 får//VB|PRS|AKT//aux//83 välja//VB|INF|AKT//parataxis//28 vilket//HD|NEU|SIN|IND//det//85 krav//NN|NEU|SIN|IND|NOM//obj//83 som//HP|-|-|-//nsubj//88 skall//VB|PRS|AKT//aux//88 gälla//VB|INF|AKT//acl:relcl//85 .//MAD//punct//83
5 EU-harmonisering av körkortsbehörigheter;Krav//NN|NEU|PLU|IND|NOM//nsubj:pass//98 på//PP//case//93 både//KN//cc//93 utbildning//NN|UTR|SIN|IND|NOM//nmod//90 och//KN//cc//95 prov//NN|NEU|SIN|IND|NOM//conj//93 får//VB|PRS|AKT//aux//98 också//AB//advmod//98 bestämmas//VB|INF|SFO//advcl//83 av//PP//case//100 medlemsstaterna//NN|UTR|PLU|DEF|NOM//obl:agent//98 .//MAD//punct//98
5 EU-harmonisering av körkortsbehörigheter;På//PP//case//103 körkortet//NN|NEU|SIN|DEF|NOM//obl//109 skall//VB|PRS|AKT//aux//109 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//109 med//PP//case//108 en//DT|UTR|SIN|IND//det//108 gemenskapskod//NN|UTR|SIN|IND|NOM//obl//109 anges//VB|PRS|SFO//advcl//98 att//SN//mark//114 denna//DT|UTR|SIN|DEF//det//112 rätt//NN|UTR|SIN|IND|NOM//nsubj//114 är//VB|PRS|AKT//cop//114 förvärvad//PC|PRF|UTR|SIN|IND|NOM//ccomp//109 .//MAD//punct//114
5 EU-harmonisering av körkortsbehörigheter;Rätten//NN|UTR|SIN|DEF|NOM//nsubj:pass//135 att//IE//mark//118 köra//VB|INF|AKT//acl//116 den//DT|UTR|SIN|DEF//det//122 något//AB//advmod//121 tyngre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//122 kombinationen//NN|UTR|SIN|DEF|NOM//obj//118 av//PP//case//124 dragbil//NN|UTR|SIN|IND|NOM//nmod//122 och//KN//cc//126 släp//NN|NEU|SIN|IND|NOM//conj//124 med//PP//case//129 ett//DT|NEU|SIN|IND//det//129 B-körkort//NN|NEU|SIN|IND|NOM//obl//118 i//PP//case//134 stället//NN|NEU|SIN|DEF|NOM//fixed//130 för//PP//fixed//130 ett//DT|NEU|SIN|IND//det//134 BE-körkort//NN|NEU|SIN|IND|NOM//nmod//129 definieras//VB|PRS|SFO//parataxis//114 inte//AB//advmod//135 i//PP//case//138 direktivet//NN|NEU|SIN|DEF|NOM//obl//135 som//KN//case//141 en//DT|UTR|SIN|IND//det//141 kategori//NN|UTR|SIN|IND|NOM//obl//135 eller//KN//cc//143 behörighet//NN|UTR|SIN|IND|NOM//conj//141 på//PP//case//146 det//DT|NEU|SIN|DEF//det//146 sättet//NN|NEU|SIN|DEF|NOM//nmod//141 som//HP|-|-|-//nsubj//148 gäller//VB|PRS|AKT//acl:relcl//146 för//PP//case//150 B//NN|NEU|SIN|IND|NOM//obl//148 och//KN//cc//152 BE//PM|NOM//conj//150 .//MAD//punct//114
5 EU-harmonisering av körkortsbehörigheter;5.2//RG|NOM//nmod//155 Genomförande//NN|NEU|SIN|IND|NOM//parataxis//114 av//PP//case//157 direktiv//NN|NEU|PLU|IND|NOM//nmod//155 i//PP//advmod//155 allmänhet//NN|UTR|SIN|IND|NOM//fixed//158
5 EU-harmonisering av körkortsbehörigheter;Ett//DT|NEU|SIN|IND//det//1 direktiv//NN|NEU|SIN|IND|NOM//nsubj//7 är//VB|PRS|AKT//cop//7 enligt//PP//case//6 artikel//NN|UTR|SIN|IND|NOM//nmod//5 249//RG|NOM//nummod//6 EG-fördraget//NN|NEU|SIN|DEF|NOM//obl//7 bindande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//ROOT//7 för//PP//case//10 varje//DT|UTR/NEU|SIN|IND//det//10 medlemsstat//NN|UTR|SIN|IND|NOM//obl//7 till//PP//case//12 vilket//HP|NEU|SIN|IND//obl//7 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//15 är//VB|PRS|AKT//cop//15 riktat//PC|PRF|NEU|SIN|IND|NOM//acl:relcl//12 i//PP//case//17 vad//HP|NEU|SIN|IND//obl//18 avser//VB|PRS|AKT//advcl//7 det//DT|NEU|SIN|DEF//det//20 resultat//NN|NEU|SIN|IND|NOM//nsubj//18 som//HP|-|-|-//nsubj:pass//23 skall//VB|PRS|AKT//aux//23 uppnås//VB|INF|SFO//acl:relcl//20 med//PP//case//25 direktivet//NN|NEU|SIN|DEF|NOM//obl//23 men//KN//cc//28 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//28 lämnar//VB|PRS|AKT//conj//7 till//PP//case//32 de//DT|UTR/NEU|PLU|DEF//det//32 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//32 myndigheterna//NN|UTR|PLU|DEF|NOM//obl//28 att//IE//mark//34 välja//VB|INF|AKT//acl//32 form//NN|UTR|SIN|IND|NOM//obj//34 eller//KN//cc//37 sätt//NN|NEU|SIN|IND|NOM//conj//35 för//PP//case//39 genomförande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//34 .//MAD//punct//7
5 EU-harmonisering av körkortsbehörigheter;Direktiv//NN|NEU|PLU|IND|NOM//nsubj:pass//42 används//VB|PRS|SFO//conj//7 för//PP//mark//45 att//IE//mark//45 åstadkomma//VB|INF|AKT//advcl//42 en//DT|UTR|SIN|IND//det//47 harmonisering//NN|UTR|SIN|IND|NOM//obj//45 eller//KN//cc//49 tillnärmning//NN|UTR|SIN|IND|NOM//conj//47 av//PP//case//51 lagstiftningen//NN|UTR|SIN|DEF|NOM//nmod//49 inom//PP//case//53 Gemenskapen//NN|UTR|SIN|DEF|NOM//nmod//49 .//MAD//punct//7
5 EU-harmonisering av körkortsbehörigheter;Direktiv//NN|NEU|PLU|IND|NOM//cc//56 skapar//VB|PRS|AKT//conj//7 en//DT|UTR|SIN|IND//det//58 förpliktelse//NN|UTR|SIN|IND|NOM//obj//56 för//PP//case//62 den//DT|UTR|SIN|DEF//det//62 enskilda//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//62 medlemsstaten//NN|UTR|SIN|DEF|NOM//nmod//58 och//KN//cc//64 används//VB|PRS|SFO//conj//56 av//PP//case//67 Gemenskapens//NN|UTR|SIN|DEF|GEN//nmod:poss//67 institutioner//NN|UTR|PLU|IND|NOM//obl:agent//64 för//PP//mark//70 att//IE//mark//70 stärka//VB|INF|AKT//advcl//64 integrationsprocessen//NN|UTR|SIN|DEF|NOM//obj//70 .//MAD//punct//56
5 EU-harmonisering av körkortsbehörigheter;I//PP//advmod//75 regel//NN|UTR|SIN|IND|NOM//fixed//73 innehåller//VB|PRS|AKT//parataxis//56 direktiv//NN|NEU|PLU|IND|NOM//amod//77 tidsfrister//NN|UTR|PLU|IND|NOM//obj//75 för//PP//case//79 genomförande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//75 i//PP//case//83 medlemsländernas//NN|UTR|PLU|DEF|GEN//nmod:poss//83 egen//JJ|POS|UTR|SIN|IND/DEF|NOM//amod//83 lagstiftning//NN|UTR|SIN|IND|NOM//nmod//79 .//MAD//punct//75
5 EU-harmonisering av körkortsbehörigheter;En//DT|UTR|SIN|IND//det//86 medlemsstat//NN|UTR|SIN|IND|NOM//nsubj//89 måste//VB|PRS|AKT//aux//89 ofta//AB|POS//advmod//89 ändra//VB|INF|AKT//parataxis//75 inhemska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//91 bestämmelser//NN|UTR|PLU|IND|NOM//obj//89 ,//MID//punct//94 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//94 föreskrifter//NN|UTR|PLU|IND|NOM//conj//91 eller//KN//cc//96 praxis//NN|UTR|SIN|IND|NOM//conj//94 innan//SN//mark//104 en//DT|UTR|SIN|IND//det//99 viss//JJ|POS|UTR|SIN|IND|NOM//nsubj//104 i//PP//case//101 direktivet//NN|NEU|SIN|DEF|NOM//nmod//99 angiven//PC|PRF|UTR|SIN|IND|NOM//amod//103 tidsfrist//NN|UTR|SIN|IND|NOM//nmod//99 löper//VB|PRS|AKT//advcl//89 ut//PL//compound:prt//104 .//MAD//punct//7
5 EU-harmonisering av körkortsbehörigheter;Medlemsstaterna//NN|UTR|PLU|DEF|NOM//nsubj//110 är//VB|PRS|AKT//cop//110 enligt//PP//case//110 fördragen//NN|NEU|PLU|DEF|NOM//parataxis//7 (//PAD//punct//112 se//VB|IMP|AKT//parataxis//7 EG-fördraget//NN|NEU|SIN|DEF|NOM//nmod:poss//114 art//NN|UTR|SIN|IND|NOM//obj//112 .//MAD//punct//112
5 EU-harmonisering av körkortsbehörigheter;10//RG|NOM//nummod//7 )//PAD//punct//7 skyldiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//7 att//IE//mark//120 se//VB|INF|AKT//acl//118 till//PL//compound:prt//120 att//SN//mark//126 de//DT|UTR/NEU|PLU|DEF//det//125 inhemska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//125 bestämmelserna//NN|UTR|PLU|DEF|NOM//nsubj//126 står//VB|PRS|AKT//ccomp//120 i//PP//case//128 överensstämmelse//NN|UTR|SIN|IND|NOM//obl//126 med//PP//case//130 direktivet//NN|NEU|SIN|DEF|NOM//nmod//128 vid//PP//case//133 genomförandetidens//NN|UTR|SIN|DEF|GEN//nmod:poss//133 utgång//NN|UTR|SIN|IND|NOM//obl//126 .//MAD//punct//7
5 EU-harmonisering av körkortsbehörigheter;Efter//PP//case//137 den//DT|UTR|SIN|DEF//det//137 tidpunkten//NN|UTR|SIN|DEF|NOM//obl//145 kan//VB|PRS|AKT//aux//145 en//DT|UTR|SIN|IND//det//141 enskild//JJ|POS|UTR|SIN|IND|NOM//amod//141 medborgare//NN|UTR|SIN|IND|NOM//nsubj//145 i//PP//case//144 en//DT|UTR|SIN|IND//det//144 medlemsstat//NN|UTR|SIN|IND|NOM//nmod//141 åberopa//VB|INF|AKT//conj//7 sin//PS|UTR|SIN|DEF//nmod:poss//147 rätt//NN|UTR|SIN|IND|NOM//obj//145 enligt//PP//case//150 ett//DT|NEU|SIN|IND//det//150 direktiv//NN|NEU|SIN|IND|NOM//obl//145 även//AB//mark//156 om//SN//fixed//151 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//156 inte//AB//advmod//156 har//VB|PRS|AKT//aux//156 genomförts//VB|SUP|SFO//advcl//145 eller//KN//cc//159 har//VB|PRS|AKT//aux//159 genomförts//VB|SUP|SFO//conj//156 på//PP//case//162 felaktigt//JJ|POS|NEU|SIN|IND|NOM//amod//162 sätt//NN|NEU|SIN|IND|NOM//obl//159 .//MAD//punct//7
5 EU-harmonisering av körkortsbehörigheter;Ett//DT|NEU|SIN|IND//det//165 direktiv//NN|NEU|SIN|IND|NOM//nsubj//167 kan//VB|PRS|AKT//aux//167 ge//VB|INF|AKT//parataxis//7 s.k.//AB|AN//amod//170 direkt//JJ|POS|UTR|SIN|IND|NOM//amod//170 effekt//NN|UTR|SIN|IND|NOM//obj//167 ,//MID//punct//174 vilket//HP|NEU|SIN|IND//nsubj:pass//174 har//VB|PRS|AKT//aux//174 fastslagits//VB|SUP|SFO//advcl//167 av//PP//case//176 EG-domstolen//NN|UTR|SIN|DEF|NOM//obl:agent//174 .//MID//punct//7
