Skyddet för den personliga integriteten;Kartläggning//NN|UTR|SIN|IND|NOM//ROOT//0 och//KN//cc//2 analys//NN|UTR|SIN|IND|NOM//conj//0
30.2 Behandling av personuppgifter i polisens verksamhet;Ett//DT|NEU|SIN|IND//det//3 annat//JJ|POS|NEU|SIN|IND|NOM//amod//3 centralt//JJ|POS|NEU|SIN|IND|NOM//amod//3 polisregister//NN|NEU|SIN|IND|NOM//nsubj//10 som//HP|-|-|-//nsubj:pass//6 inte//AB//advmod//6 regleras//VB|PRS|SFO//acl:relcl//3 i//PP//case//8 polisdatalagen//NN|UTR|SIN|DEF|NOM//obl//6 är//VB|PRS|AKT//cop//10 passregistret//NN|NEU|SIN|DEF|NOM//ROOT//10 .//MID//punct//10
30.2 Behandling av personuppgifter i polisens verksamhet;Sedan//PP//case//16 den//DT|UTR|SIN|DEF//det//15 1//RO|NOM//nummod//15 oktober//NN|UTR|SIN|IND|NOM//nmod//16 2001//RG|NOM//obl//17 förs//VB|PRS|SFO//parataxis//10 registret//NN|NEU|SIN|DEF|NOM//nsubj:pass//17 med//PP//case//20 stöd//NN|NEU|SIN|IND|NOM//obl//17 av//PP//case//22 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nmod//20 .//MAD//punct//17
30.2 Behandling av personuppgifter i polisens verksamhet;För//PP//case//25 uppgifter//NN|UTR|PLU|IND|NOM//obl//28 i//PP//case//27 passregistret//NN|NEU|SIN|DEF|NOM//nmod//25 gäller//VB|PRS|AKT//conj//10 numera//AB//advmod//28 sekretess//NN|UTR|SIN|IND|NOM//obj//28 med//PP//case//33 omvänt//PC|PRF|NEU|SIN|IND|NOM//amod//33 skaderekvisit//NN|NEU|SIN|IND|NOM//obl//28 (//PAD//punct//28 se//VB|IMP|AKT//parataxis//28 avsnitt//NN|NEU|SIN|IND|NOM//nmod//37 4.4.3//RG|NOM//obj//35 och//KN//cc//39 kapitel//NN|NEU|SIN|IND|NOM//conj//35 14//RG|NOM//nummod//39 )//PAD//punct//28 .//MAD//punct//10
30.2 Behandling av personuppgifter i polisens verksamhet;Lokala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 register//NN|NEU|PLU|IND|NOM//ROOT//1
30.2 Behandling av personuppgifter i polisens verksamhet;Att//SN//mark//4 ett//DT|NEU|SIN|IND//det//2 register//NN|NEU|SIN|IND|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 lokalt//JJ|POS|NEU|SIN|IND|NOM//advcl//5 innebär//VB|PRS|AKT//ROOT//5 att//SN//mark//12 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//12 bara//AB//advmod//12 är//VB|PRS|AKT//cop//12 den//DT|UTR|SIN|DEF//det//12 egna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//12 polismyndigheten//NN|UTR|SIN|DEF|NOM//ccomp//5 som//HP|-|-|-//nsubj//14 har//VB|PRS|AKT//acl:relcl//12 tillgång//NN|UTR|SIN|IND|NOM//obj//14 till//PP//case//17 uppgifter//NN|UTR|PLU|IND|NOM//obl//14 ur//PP//case//19 systemet//NN|NEU|SIN|DEF|NOM//obl//14 .//MAD//punct//5
30.2 Behandling av personuppgifter i polisens verksamhet;Vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 lokala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//23 registersystem//NN|NEU|PLU|IND|NOM//nsubj//24 har//VB|PRS|AKT//parataxis//5 dock//AB//advmod//24 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//27 spridning//NN|UTR|SIN|IND|NOM//obj//24 .//MAD//punct//24
30.2 Behandling av personuppgifter i polisens verksamhet;Ett//DT|NEU|SIN|IND//det//2 lokalt//JJ|POS|NEU|SIN|IND|NOM//amod//2 register//NN|NEU|SIN|IND|NOM//nsubj//8 med//PP//case//5 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//5 spridning//NN|UTR|SIN|IND|NOM//nmod//2 är//VB|PRS|AKT//cop//8 rationell//JJ|POS|UTR|SIN|IND|NOM//amod//8 anmälningsrutin//NN|UTR|SIN|IND|NOM//nsubj//21 (//PAD//punct//8 RAR//PM|NOM//appos//8 )//PAD//punct//8 .//MAD//punct//8
30.2 Behandling av personuppgifter i polisens verksamhet;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//14 förs//VB|PRS|SFO//parataxis//8 av//PP//case//18 de//DT|UTR/NEU|PLU|DEF//det//18 lokala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 polismyndigheterna//NN|UTR|PLU|DEF|NOM//obl:agent//14 med//PP//case//20 tillstånd//NN|NEU|SIN|IND|NOM//nmod//18 meddelade//VB|PRT|AKT//ROOT//21 av//PP//case//23 Datainspektionen//PM|NOM//obl//21 den//DT|UTR|SIN|DEF//det//25 17//RG|NOM//nummod//26 september//NN|UTR|SIN|IND|NOM//obl//21 1993//RG|NOM//nummod//26 och//KN//cc//26 den//DT|UTR|SIN|DEF//det//31 17//RG|NOM//nummod//31 december//NN|UTR|SIN|IND|NOM//nmod//32 1997//RG|NOM//nummod//26 .//MAD//punct//21
30.2 Behandling av personuppgifter i polisens verksamhet;Ändamålet//NN|NEU|SIN|DEF|NOM//nsubj//39 med//PP//case//37 dessa//DT|UTR/NEU|PLU|DEF//det//37 register//NN|NEU|PLU|IND|NOM//nmod//34 skall//VB|PRS|AKT//aux//39 vara//VB|INF|AKT//parataxis//21 att//IE//mark//41 tillhandahålla//VB|INF|AKT//ccomp//39 uppgifter//NN|UTR|PLU|IND|NOM//obj//41 som//HP|-|-|-//nsubj:pass//44 behövs//VB|PRS|SFO//acl:relcl//42 för//PP//case//46 brottsanmälningar//NN|UTR|PLU|IND|NOM//obl//44 och//KN//cc//56 för//PP//mark//56 att//IE//mark//56 i//PP//case//53 enlighet//NN|UTR|SIN|IND|NOM//fixed//50 med//PP//fixed//50 lag//NN|UTR|SIN|IND|NOM//obl//56 eller//KN//cc//55 förordning//NN|UTR|SIN|IND|NOM//conj//53 lämna//VB|INF|AKT//conj//44 uppgifter//NN|UTR|PLU|IND|NOM//obj//56 till//PP//case//60 annan//JJ|POS|UTR|SIN|IND|NOM//amod//60 myndighet//NN|UTR|SIN|IND|NOM//obl//56 .//MAD//punct//39
30.2 Behandling av personuppgifter i polisens verksamhet;Andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//63 ändamål//NN|NEU|PLU|IND|NOM//appos//39 är//VB|PRS|AKT//cop//63 att//IE//mark//66 tillhandahålla//VB|INF|AKT//csubj//63 uppgifter//NN|UTR|PLU|IND|NOM//obj//66 för//PP//case//69 polismyndighetsärenden//NN|UTR|SIN|DEF|NOM//obl//66 ,//MID//punct//72 att//IE//mark//72 lämna//VB|INF|AKT//conj//66 underlag//NN|NEU|SIN|IND|NOM//obj//72 för//PP//case//75 samordning//NN|UTR|SIN|IND|NOM//nmod//73 ,//MID//punct//77 bevakning//NN|UTR|SIN|IND|NOM//conj//75 ,//MID//punct//79 planering//NN|UTR|SIN|IND|NOM//conj//75 och//KN//cc//81 uppföljning//NN|UTR|SIN|IND|NOM//conj//75 av//PP//case//83 verksamheten//NN|UTR|SIN|DEF|NOM//nmod//81 ,//MID//punct//63 att//IE//mark//86 utgöra//VB|INF|AKT//acl//63 underlag//NN|NEU|SIN|IND|NOM//obj//86 för//PP//case//89 produktion//NN|UTR|SIN|IND|NOM//nmod//87 av//PP//case//91 statistik//NN|UTR|SIN|IND|NOM//nmod//89 samt//KN//cc//94 att//IE//mark//94 utgöra//VB|INF|AKT//conj//39 myndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//96 kriminaldiarium//NN|NEU|SIN|IND|NOM//obj//94 .//MAD//punct//21
30.2 Behandling av personuppgifter i polisens verksamhet;Systemet//NN|NEU|SIN|DEF|NOM//det//2 datoriserad//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredningsrutin//NN|UTR|SIN|IND|NOM//nsubj//11 –//PAD//punct//4 tvångsmedel//NN|NEU|PLU|IND|NOM//conj//2 (//PAD//punct//4 DurTvå//NN|UTR|SIN|IND|NOM//appos//4 )//PAD//punct//4 är//VB|PRS|AKT//cop//11 ett//DT|NEU|SIN|IND//det//11 lokalt//JJ|POS|NEU|SIN|IND|NOM//amod//11 ärendehanteringssystem//NN|NEU|SIN|IND|NOM//ROOT//11 med//PP//case//14 nationell//JJ|POS|UTR|SIN|IND|NOM//amod//14 spridning//NN|UTR|SIN|IND|NOM//nmod//11 .//MAD//punct//11
30.2 Behandling av personuppgifter i polisens verksamhet;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//17 syftar//VB|PRS|AKT//parataxis//11 till//PP//mark//20 att//IE//mark//20 effektivisera//VB|INF|AKT//advcl//17 polisens//NN|UTR|SIN|DEF|GEN//nmod:poss//24 och//KN//cc//23 åklagarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//24 arbete//NN|NEU|SIN|IND|NOM//obj//20 med//PP//case//26 förundersökningar//NN|UTR|PLU|IND|NOM//obl//20 i//PP//case//28 brottmål//NN|NEU|PLU|IND|NOM//nmod//26 .//MAD//punct//17
30.2 Behandling av personuppgifter i polisens verksamhet;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//31 förs//VB|PRS|SFO//conj//11 med//PP//case//33 stöd//NN|NEU|SIN|IND|NOM//obl//31 av//PP//case//35 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nmod//33 och//KN//cc//39 de//DT|UTR/NEU|PLU|DEF//det//39 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//39 bestämmelserna//NN|UTR|PLU|DEF|NOM//conj//33 i//PP//case//41 polisdatalagen//NN|UTR|SIN|DEF|NOM//nmod//39 .//MAD//punct//31


31.1 Sekretess;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//1 finns//VB|PRS|SFO//ROOT//1 inga//DT|UTR/NEU|PLU|IND//det//3 sekretessbestämmelser//NN|UTR|PLU|IND|NOM//nsubj//1 som//HP|-|-|-//nsubj//5 tar//VB|PRS|AKT//acl:relcl//3 sikte//NN|NEU|SIN|IND|NOM//obj//5 på//PP//case//8 skydd//NN|NEU|SIN|IND|NOM//obl//5 för//PP//case//10 uppgift//NN|UTR|SIN|IND|NOM//obl//5 om//PP//case//14 enskilds//JJ|POS|UTR|SIN|IND|GEN//nmod:poss//14 personliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 förhållanden//NN|NEU|PLU|IND|NOM//nmod//10 inom//PP//case//16 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod//10 och//KN//cc//18 FRA//PM|NOM//conj//16 ://MID//punct//3 s//NN|NEU|SIN|IND|GEN//case//21 verksamhet//NN|UTR|SIN|IND|NOM//appos//3 .//MAD//punct//1
31.1 Sekretess;Däremot//AB//advmod//1 gäller//VB|PRS|AKT//ROOT//1 i//PP//advmod//1 allmänhet//NN|UTR|SIN|IND|NOM//fixed//2 sekretess//NN|UTR|SIN|IND|NOM//nsubj//1 för//PP//case//6 uppgifter//NN|UTR|PLU|IND|NOM//obl//1 hos//PP//case//8 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//6 och//KN//cc//10 FRA//PM|NOM//conj//8 i//PP//case//12 försvarsunderrättelseverksamheten//NN|UTR|SIN|DEF|NOM//obl//1 och//KN//cc//16 den//DT|UTR|SIN|DEF//det//16 militära//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//16 säkerhetstjänsten//NN|UTR|SIN|DEF|NOM//conj//12 enligt//PP//case//18 reglerna//NN|UTR|PLU|DEF|NOM//nmod//16 om//PP//case//20 utrikes-//JJ|POS|UTR/NEU|-|-|SMS//nmod//18 eller//KN//cc//22 försvarssekretess//NN|UTR|SIN|IND|NOM//conj//20 i//PP//case//26 2//RG|NOM//nummod//25 kap.//NN|AN//nmod//26 1//RG|NOM//nummod//29 och//KN//cc//26 2//RG|NOM//nummod//26 §//NN|AN//nmod//31 §//NN|AN//nmod//31 sekretesslagen//NN|UTR|SIN|DEF|NOM//nmod//18 .//MAD//punct//1
31.1 Sekretess;Enligt//PP//case//5 2//RG|NOM//nummod//2 kap.//NN|AN//obl//4 1//RG|NOM//nummod//4 §//NN|AN//nmod//5 sekretesslagen//NN|UTR|SIN|DEF|NOM//obl//6 gäller//VB|PRS|AKT//ROOT//6 sekretess//NN|UTR|SIN|IND|NOM//obj//6 för//PP//case//9 uppgift//NN|UTR|SIN|IND|NOM//obl//6 som//HP|-|-|-//nsubj//11 angår//VB|PRS|AKT//acl:relcl//9 Sveriges//PM|GEN//nmod:poss//13 förbindelser//NN|UTR|PLU|IND|NOM//obj//11 med//PP//case//16 annan//JJ|POS|UTR|SIN|IND|NOM//amod//16 stat//NN|UTR|SIN|IND|NOM//nmod//13 eller//KN//cc//20 i//PP//advmod//20 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//18 rör//VB|PRS|AKT//conj//11 annan//JJ|POS|UTR|SIN|IND|NOM//amod//22 stat//NN|UTR|SIN|IND|NOM//obj//20 ,//MID//punct//25 mellanfolklig//JJ|POS|UTR|SIN|IND|NOM//amod//25 organisation//NN|UTR|SIN|IND|NOM//conj//22 ,//MID//punct//27 myndighet//NN|UTR|SIN|IND|NOM//conj//22 ,//MID//punct//29 medborgare//NN|UTR|PLU|IND|NOM//conj//22 eller//KN//cc//32 juridisk//JJ|POS|UTR|SIN|IND|NOM//amod//32 person//NN|UTR|SIN|IND|NOM//conj//22 i//PP//case//35 annan//JJ|POS|UTR|SIN|IND|NOM//amod//35 stat//NN|UTR|SIN|IND|NOM//obl//20 eller//KN//cc//37 statslös//JJ|POS|UTR|SIN|IND|NOM//conj//35 ,//MID//punct//42 om//SN//mark//42 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//42 kan//VB|PRS|AKT//aux//42 antas//VB|INF|SFO//advcl//6 att//SN//mark//45 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//45 stör//VB|PRS|AKT//ccomp//42 Sveriges//PM|GEN//nmod:poss//48 mellanfolkliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//48 förbindelser//NN|UTR|PLU|IND|NOM//obj//45 eller//KN//cc//52 på//PP//case//52 annat//JJ|POS|NEU|SIN|IND|NOM//amod//52 sätt//NN|NEU|SIN|IND|NOM//conj//48 skadar//VB|PRS|AKT//conj//45 landet//NN|NEU|SIN|DEF|NOM//obj//53 om//PP//case//57 uppgiften//NN|UTR|SIN|DEF|NOM//amod//57 röjs//VB|PRS|SFO//obl//53 .//MAD//punct//6
31.1 Sekretess;Utrikessekretessen//NN|UTR|SIN|DEF|NOM//nsubj//60 gäller//VB|PRS|AKT//parataxis//6 för//PP//case//64 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//64 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//64 myndigheter//NN|UTR|PLU|IND|NOM//obl//60 .//MAD//punct//60
31.1 Sekretess;Enligt//PP//case//2 2//RG|NOM//nummod//2 kap.//NN|AN//obl//4 2//RG|NOM//nummod//4 §//NN|AN//nmod//5 SekrL//PM|NOM//nsubj//6 gäller//VB|PRS|AKT//ROOT//6 sekretess//NN|UTR|SIN|IND|NOM//obj//6 för//PP//case//9 uppgift//NN|UTR|SIN|IND|NOM//obl//6 som//HP|-|-|-//nsubj//11 angår//VB|PRS|AKT//acl:relcl//9 verksamhet//NN|UTR|SIN|IND|NOM//obj//11 för//PP//mark//15 att//IE//mark//15 försvara//VB|INF|AKT//advcl//11 landet//NN|NEU|SIN|DEF|NOM//obj//15 eller//KN//cc//18 planläggning//NN|UTR|SIN|IND|NOM//conj//16 eller//KN//cc//21 annan//JJ|POS|UTR|SIN|IND|NOM//amod//21 förberedelse//NN|UTR|SIN|IND|NOM//conj//16 av//PP//case//24 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//24 verksamhet//NN|UTR|SIN|IND|NOM//nmod//21 eller//KN//cc//29 som//HP|-|-|-//nsubj//29 i//PP//advmod//29 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//27 rör//VB|PRS|AKT//conj//15 totalförsvaret//NN|NEU|SIN|DEF|NOM//obj//29 ,//MID//punct//35 om//SN//mark//35 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//35 kan//VB|PRS|AKT//aux//35 antas//VB|INF|SFO//advcl//6 att//SN//mark//38 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//38 skadar//VB|PRS|AKT//ccomp//35 landets//NN|NEU|SIN|DEF|GEN//nmod:poss//40 försvar//NN|NEU|SIN|IND|NOM//obj//38 eller//KN//cc//45 på//PP//case//44 annat//JJ|POS|NEU|SIN|IND|NOM//amod//44 sätt//NN|NEU|SIN|IND|NOM//obl//45 vållar//VB|PRS|AKT//conj//38 fara//NN|UTR|SIN|IND|NOM//xcomp//45 för//PP//case//49 rikets//NN|NEU|SIN|DEF|GEN//nmod:poss//49 säkerhet//NN|UTR|SIN|IND|NOM//obl//46 om//PP//case//52 uppgiften//NN|UTR|SIN|DEF|NOM//amod//52 röjs//VB|PRS|SFO//obl//45 .//MID//punct//6
31.1 Sekretess;Också//AB//advmod//55 försvarssekretessen//NN|UTR|SIN|DEF|NOM//nsubj//56 gäller//VB|PRS|AKT//parataxis//6 hos//PP//case//60 alla//DT|UTR/NEU|PLU|IND/DEF//det//60 statliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//60 myndigheter//NN|UTR|PLU|IND|NOM//obl//56 .//MAD//punct//6
31.1 Sekretess;Både//KN//cc//1 utrikes-//JJ|POS|UTR/NEU|-|-|SMS//nsubj//4 och//KN//cc//3 försvarssekretessen//NN|UTR|SIN|DEF|NOM//conj//1 gäller//VB|PRS|AKT//ROOT//4 i//PP//case//8 högst//AB|SUV//advmod//7 40//RG|NOM//nummod//8 år//NN|NEU|PLU|IND|NOM//obl//4 .//MAD//punct//4
31.1 Sekretess;Om//SN//mark//13 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//12 skäl//NN|NEU|PLU|IND|NOM//nsubj//13 föranleder//VB|PRS|AKT//advcl//17 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//13 får//VB|PRS|AKT//aux//17 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//17 föreskriva//VB|INF|AKT//parataxis//4 att//SN//mark//21 försvarssekretessen//NN|UTR|SIN|DEF|NOM//nsubj//21 skall//VB|PRS|AKT//aux//21 gälla//VB|INF|AKT//ccomp//17 under//PP//case//24 längre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//24 tid//NN|UTR|SIN|IND|NOM//obl//21 .//MAD//punct//4

31.2 Förordningen om viss behandling av personuppgifter inom Försvarsmakten och Försvarets radioanstalt;31.2.1//RG|NOM//nmod//1 Inledning//NN|UTR|SIN|IND|NOM//ROOT//1
31.2 Förordningen om viss behandling av personuppgifter inom Försvarsmakten och Försvarets radioanstalt;Behandling//NN|UTR|SIN|IND|NOM//nsubj:pass//12 av//PP//case//2 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//0 inom//PP//case//7 Förvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//7 och//KN//cc//6 Försvarets//PM|GEN//conj//4 radioanstalts//NN|UTR|SIN|IND|NOM//nmod//0 (//PAD//punct//7 FRA//PM|NOM//appos//7 )//PAD//punct//7 verksamhet//NN|UTR|SIN|IND|NOM//conj//0 regleras//VB|PRS|SFO//ROOT//12 i//PP//advmod//12 dag//NN|UTR|SIN|IND|NOM//fixed//13 gemensamt//AB|POS//advmod//12 i//PP//case//17 förordningen//NN|UTR|SIN|DEF|NOM//obl//12 (//PAD//punct//19 2001:703//RG|NOM//appos//17 )//PAD//punct//19 om//PP//case//23 viss//JJ|POS|UTR|SIN|IND|NOM//amod//23 behandling//NN|UTR|SIN|IND|NOM//obl//12 av//PP//case//25 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//23 inom//PP//case//27 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nmod//25 och//KN//cc//30 Försvarets//NN|NEU|SIN|DEF|GEN//nmod:poss//30 radioanstalt//NN|UTR|SIN|IND|NOM//conj//27 .//MAD//punct//23
31.2 Förordningen om viss behandling av personuppgifter inom Försvarsmakten och Försvarets radioanstalt;I//PP//case//33 förordningen//NN|UTR|SIN|DEF|NOM//obl//34 finns//VB|PRS|SFO//conj//12 dels//KN//advmod//37 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//37 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//34 som//HP|-|-|-//nsubj//39 gäller//VB|PRS|AKT//acl:relcl//37 för//PP//case//41 behandling//NN|UTR|SIN|IND|NOM//obl//39 av//PP//case//43 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//41 inom//PP//case//46 båda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//46 myndigheterna//NN|UTR|PLU|DEF|NOM//nmod//41 ,//MID//punct//50 dels//KN//advmod//50 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//50 bestämmelser//NN|UTR|PLU|IND|NOM//appos//12 som//HP|-|-|-//nsubj//52 gäller//VB|PRS|AKT//acl:relcl//50 enbart//AB//advmod//52 för//PP//case//56 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//56 respektive//AB//cc//57 FRA//PM|NOM//obl//52 ://MID//punct//57 s//NN|NEU|SIN|IND|GEN//amod//60 behandling//NN|UTR|SIN|IND|NOM//appos//50 av//PP//case//62 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//60 .//MAD//punct//12
31.2 Förordningen om viss behandling av personuppgifter inom Försvarsmakten och Försvarets radioanstalt;Förordningen//NN|UTR|SIN|DEF|NOM//nsubj//1 gäller//VB|PRS|AKT//ROOT//1 utöver//PP//case//3 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//obl//1 ,//MID//punct//3 dvs.//AB|AN//advmod//7 personuppgiftslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//7 regler//NN|UTR|PLU|IND|NOM//nsubj//9 är//VB|PRS|AKT//cop//9 tillämpliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//3 i//PP//case//12 den//DT|UTR|SIN|DEF//det//12 mån//NN|UTR|SIN|IND|NOM//obl//9 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//15 inte//AB//advmod//15 finns//VB|PRS|SFO//advcl//9 avvikande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//17 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//15 i//PP//case//21 den//DT|UTR|SIN|DEF//det//21 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//21 förordningen//NN|UTR|SIN|DEF|NOM//obl//15 (//PAD//punct//21 1//RG|NOM//nummod//24 §//NN|AN//appos//21 )//PAD//punct//9 .//MAD//punct//1
31.2 Förordningen om viss behandling av personuppgifter inom Försvarsmakten och Försvarets radioanstalt;Förordningen//NN|UTR|SIN|DEF|NOM//nsubj//1 gäller//VB|PRS|AKT//ROOT//1 behandling//NN|UTR|SIN|IND|NOM//obj//1 av//PP//case//4 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//2 när//HA//mark//7 Försvarsmakten//NN|UTR|SIN|DEF|NOM//nsubj//7 fullgör//VB|PRS|AKT//advcl//1 uppgifter//NN|UTR|PLU|IND|NOM//obj//7 enligt//PP//case//10 lagen//NN|UTR|SIN|DEF|NOM//obl//7 respektive//AB//cc//12 förordningen//NN|UTR|SIN|DEF|NOM//conj//10 om//PP//case//14 försvarsunderrättelseverksamhet//NN|UTR|SIN|IND|NOM//nmod//12 samt//KN//cc//17 enligt//PP//case//17 säkerhetsskyddslagen//NN|UTR|SIN|DEF|NOM//conj//14 (//PAD//punct//17 2//RG|NOM//nummod//20 §//NN|AN//appos//17 )//PAD//punct//1 .//MAD//punct//1
31.2 Förordningen om viss behandling av personuppgifter inom Försvarsmakten och Försvarets radioanstalt;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//24 gäller//VB|PRS|AKT//parataxis//1 också//AB//advmod//24 när//HA//mark//28 FRA//PM|NOM//nsubj//28 fullgör//VB|PRS|AKT//advcl//24 uppgifter//NN|UTR|PLU|IND|NOM//obj//28 enligt//PP//case//31 lagen//NN|UTR|SIN|DEF|NOM//obl//28 respektive//AB//cc//33 förordningen//NN|UTR|SIN|DEF|NOM//conj//31 om//PP//case//35 försvarsunderrättelseverksamhet//NN|UTR|SIN|IND|NOM//nmod//33 samt//KN//cc//41 enligt//PP//case//40 1–3//RG|NOM//nummod//39 §//NN|AN//nmod//40 §//NN|AN//nmod//41 förordningen//NN|UTR|SIN|DEF|NOM//conj//33 med//PP//case//43 instruktion//NN|UTR|SIN|IND|NOM//nmod//41 för//PP//case//45 FRA//PM|NOM//nmod//41 .//MAD//punct//24
31.2 Förordningen om viss behandling av personuppgifter inom Försvarsmakten och Försvarets radioanstalt;En//DT|UTR|SIN|IND//det//48 beskrivning//NN|UTR|SIN|IND|NOM//nsubj:pass//58 av//PP//case//54 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//53 och//KN//cc//52 Försvarets//NN|NEU|SIN|DEF|GEN//conj//50 radioanstalts//NN|UTR|SIN|IND|GEN//nmod:poss//54 verksamhet//NN|UTR|SIN|IND|NOM//nmod//48 enligt//PP//case//57 nämnda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//57 författningar//NN|UTR|PLU|IND|NOM//nmod//54 lämnas//VB|PRS|SFO//parataxis//24 i//PP//case//61 kapitel//NN|NEU|SIN|IND|NOM//nmod//61 13//RG|NOM//obl//58 .//MID//punct//24
31.2 Förordningen om viss behandling av personuppgifter inom Försvarsmakten och Försvarets radioanstalt;Där//AB//advmod//64 lämnas//VB|PRS|SFO//conj//1 också//AB//advmod//64 en//DT|UTR|SIN|IND//det//67 beskrivning//NN|UTR|SIN|IND|NOM//nsubj:pass//64 av//PP//case//69 FRA//PM|NOM//nmod//67 ://MID//punct//69 s//NN|NEU|SIN|IND|GEN//nummod//72 signalspaningsverksamhet//NN|UTR|SIN|IND|NOM//obl//64 ,//MID//punct//72 som//HP|-|-|-//nsubj//79 till//PP//case//77 stor//JJ|POS|UTR|SIN|IND|NOM//amod//77 del//NN|UTR|SIN|IND|NOM//obl//79 är//VB|PRS|AKT//cop//79 oreglerad//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//72 .//MAD//punct//72
31.2 Förordningen om viss behandling av personuppgifter inom Försvarsmakten och Försvarets radioanstalt;31.2.2//RG|NOM//amod//82 Regleringen//NN|UTR|SIN|DEF|NOM//conj//72
31.2 Förordningen om viss behandling av personuppgifter inom Försvarsmakten och Försvarets radioanstalt;Känsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//1 personuppgifter//NN|UTR|PLU|IND|NOM//ROOT//1
31.2 Förordningen om viss behandling av personuppgifter inom Försvarsmakten och Försvarets radioanstalt;Under//PP//case//3 de//DT|UTR/NEU|PLU|DEF//det//3 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//3 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl//6 i//PP//case//5 förordningen//NN|UTR|SIN|DEF|NOM//nmod//3 regleras//VB|PRS|SFO//advcl//67 användningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//6 av//PP//case//10 känsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//7 .//MAD//punct//6
