F-skatt åt flera ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//0
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;Av//PP//case//34 lagen//NN|UTR|SIN|DEF|NOM//obl//35 framgår//VB|PRS|AKT//parataxis//1 att//SN//mark//40 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//40 är//VB|PRS|AKT//cop//40 fullt//AB|POS//advmod//40 tillåtet//PC|PRF|NEU|SIN|IND|NOM//ccomp//35 för//PP//case//44 ett//DT|NEU|SIN|IND//det//44 enskilt//JJ|POS|NEU|SIN|IND|NOM//amod//44 företag//NN|NEU|SIN|IND|NOM//nmod//40 att//IE//mark//46 bedriva//VB|INF|AKT//acl//44 uthyrning//NN|UTR|SIN|IND|NOM//obj//46 av//PP//case//49 arbetskraft//NN|UTR|SIN|IND|NOM//nmod//47 i//PP//case//52 den//DT|UTR|SIN|DEF//det//52 meningen//NN|UTR|SIN|DEF|NOM//obl//46 att//SN//mark//57 arbetsgivaren//NN|UTR|SIN|DEF|NOM//nsubj//57 mot//PP//case//56 ersättning//NN|UTR|SIN|IND|NOM//nmod//54 ställer//VB|PRS|AKT//acl:relcl//52 arbetskraft//NN|UTR|SIN|IND|NOM//obj//57 till//PP//case//62 en//DT|UTR|SIN|IND//det//61 beställares//NN|UTR|SIN|IND|GEN//nmod:poss//62 förfogande//NN|NEU|SIN|IND|NOM//obl//57 för//PP//mark//65 att//IE//mark//65 utföra//VB|INF|AKT//advcl//57 arbete//NN|NEU|SIN|IND|NOM//obj//65 som//HP|-|-|-//nsubj//68 hör//VB|PRS|AKT//acl:relcl//66 till//PP//case//71 beställarens//NN|UTR|SIN|DEF|GEN//nmod:poss//71 verksamhet//NN|UTR|SIN|IND|NOM//obl//68 .//MAD//punct//1
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;Det//DT|NEU|SIN|DEF//det//74 normala//JJ|POS|UTR/NEU|SIN|DEF|NOM//appos//1 i//PP//case//77 dessa//DT|UTR/NEU|PLU|DEF//det//77 fall//NN|NEU|PLU|IND|NOM//nmod//74 är//VB|PRS|AKT//cop//74 att//SN//mark//85 arbetstagaren//NN|UTR|SIN|DEF|NOM//nsubj//85 under//PP//case//83 den//DT|UTR|SIN|DEF//det//83 tid//NN|UTR|SIN|IND|NOM//obl//85 uthyrningen//NN|UTR|SIN|DEF|NOM//nsubj//85 pågår//VB|PRS|AKT//csubj//74 alltjämt//AB//advmod//85 är//VB|PRS|AKT//cop//74 att//IE//mark//89 anse//VB|INF|AKT//csubj//74 som//KN//mark//91 anställd//PC|PRF|UTR|SIN|IND|NOM//xcomp//89 hos//PP//case//93 uthyrningsföretaget//NN|NEU|SIN|DEF|NOM//obl//91 .//MAD//punct//74
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;I//PP//case//96 förarbetena//NN|NEU|PLU|DEF|NOM//obl//99 till//PP//case//98 lagen//NN|UTR|SIN|DEF|NOM//nmod//96 uttalas//VB|PRS|SFO//conj//1 att//SN//mark//106 i//PP//case//103 den//DT|UTR|SIN|DEF//det//103 omständigheten//NN|UTR|SIN|DEF|NOM//obl//106 att//SN//mark//106 arbetskraften//NN|UTR|SIN|DEF|NOM//nsubj:pass//106 ställs//VB|PRS|SFO//advcl//99 till//PP//case//110 en//DT|UTR|SIN|IND//det//109 beställares//NN|UTR|SIN|IND|GEN//nmod:poss//110 förfogande//NN|NEU|SIN|IND|NOM//obl//106 ligger//VB|PRS|AKT//conj//1 att//SN//mark//114 denne//PN|MAS|SIN|DEF|SUB/OBJ//nsubj//114 disponerar//VB|PRS|AKT//ccomp//111 över//PP//case//116 arbetskraften//NN|UTR|SIN|DEF|NOM//obl//114 i//PP//case//119 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//119 hänseenden//NN|NEU|PLU|IND|NOM//nmod//116 inbegripet//PC|PRF|NEU|SIN|IND|NOM//parataxis//1 den//DT|UTR|SIN|DEF//det//123 direkta//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//123 arbetsledningen//NN|UTR|SIN|DEF|NOM//nsubj//120 .//MAD//punct//1
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;Under//PP//case//1 1996//RG|NOM//obl//2 tillsattes//VB|PRT|SFO//ROOT//2 en//DT|UTR|SIN|IND//det//4 utredning//NN|UTR|SIN|IND|NOM//nsubj:pass//2 för//PP//mark//7 att//IE//mark//7 utvärdera//VB|INF|AKT//acl//4 och//KN//cc//9 analysera//VB|INF|AKT//conj//7 effekterna//NN|UTR|PLU|DEF|NOM//obj//9 och//KN//cc//12 konsekvenserna//NN|UTR|PLU|DEF|NOM//conj//10 av//PP//case//16 1993//RG|NOM//nummod//15 års//NN|NEU|SIN|IND|GEN//nmod:poss//16 lag//NN|UTR|SIN|IND|NOM//nmod//12 om//PP//case//19 privat//JJ|POS|UTR|SIN|IND|NOM//amod//19 arbetsförmedling//NN|UTR|SIN|IND|NOM//nmod//16 och//KN//cc//21 uthyrning//NN|UTR|SIN|IND|NOM//conj//19 av//PP//case//23 arbetskraft//NN|UTR|SIN|IND|NOM//nmod//21 .//MAD//punct//2
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;Av//PP//case//27 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//27 slutbetänkande//NN|NEU|SIN|IND|NOM//obl//28 framgår//VB|PRS|AKT//parataxis//2 bl.a.//AB|AN//advmod//28 att//SN//mark//36 en//DT|UTR|SIN|IND//det//33 stor//JJ|POS|UTR|SIN|IND|NOM//amod//33 andel//NN|UTR|SIN|IND|NOM//nsubj//36 av//PP//case//35 antalet//NN|NEU|SIN|DEF|NOM//nmod//33 verksamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advcl//28 inom//PP//case//38 uthyrningsbranschen//NN|UTR|SIN|DEF|NOM//obl//36 var//VB|PRT|AKT//cop//40 enmansföretagare//NN|UTR|PLU|IND|NOM//nsubj:pass//51 och//KN//cc//47 enligt//PP//case//44 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//44 uppfattning//NN|UTR|SIN|IND|NOM//obl//47 var//VB|PRT|AKT//cop//47 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//47 tvivelaktigt//JJ|POS|NEU|SIN|IND|NOM//conj//40 om//SN//case//49 enmansföretag//NN|NEU|PLU|IND|NOM//nmod//47 ska//VB|PRS|AKT//aux//51 räknas//VB|INF|SFO//conj//28 som//KN//mark//53 personaluthyrning//NN|UTR|SIN|IND|NOM//obl//51 .//MAD//punct//2
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//56 skriver//VB|PRS|AKT//parataxis//2 bl.a.//AB|AN//advmod//56 att//SN//mark//61 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//61 är//VB|PRS|AKT//cop//61 medveten//JJ|POS|UTR|SIN|IND|NOM//ccomp//56 om//PP//mark//65 att//SN//mark//65 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//65 finns//VB|PRS|SFO//advcl//61 en//DT|UTR|SIN|IND//det//67 oro//NN|UTR|SIN|IND|NOM//nsubj//65 över//PP//case//70 den//DT|UTR|SIN|DEF//det//70 utveckling//NN|UTR|SIN|IND|NOM//nmod//67 som//HP|-|-|-//nsubj//73 kan//VB|PRS|AKT//aux//73 följa//VB|INF|AKT//acl:relcl//70 av//PL//case//75 möjligheten//NN|UTR|SIN|DEF|NOM//obl//73 att//IE//mark//80 så//AB//advmod//80 att//IE//mark//80 säga//VB|INF|AKT//aux//80 hyra//VB|INF|AKT//advcl//73 ut//PL//case//82 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obl//80 själv//JJ|POS|UTR|SIN|IND|NOM//amod//82 ,//MID//punct//89 som//HP|-|-|-//nsubj//89 över//PP//advmod//89 huvud//NN|NEU|SIN|IND|NOM//fixed//86 taget//PC|PRF|NEU|SIN|IND|NOM//fixed//86 ligger//VB|PRS|AKT//acl:relcl//70 i//PP//case//91 ökningen//NN|UTR|SIN|DEF|NOM//obl//89 av//PP//case//93 antalet//NN|NEU|SIN|DEF|NOM//nmod//91 enmansföretag//NN|NEU|PLU|IND|NOM//nmod//93 inom//PP//case//96 tjänstesektorn//NN|UTR|SIN|DEF|NOM//nmod//93 .//MAD//punct//56
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;Många//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//99 ser//VB|PRS|AKT//parataxis//56 en//DT|UTR|SIN|IND//det//101 risk//NN|UTR|SIN|IND|NOM//obj//99 att//SN//mark//105 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//105 kan//VB|PRS|AKT//aux//105 innebära//VB|INF|AKT//acl//101 bl.a.//AB|AN//advmod//105 en//DT|UTR|SIN|IND//det//108 press//NN|UTR|SIN|IND|NOM//obj//105 nedåt//AB//advmod//105 på//PP//case//111 lönerna//NN|UTR|PLU|DEF|NOM//obl//109 och//KN//cc//115 att//SN//mark//115 arbetsrättslagstiftningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//115 kringgås//VB|PRS|SFO//conj//105 .//MAD//punct//56
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;Enligt//PP//case//2 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 uppfattning//NN|UTR|SIN|IND|NOM//obl//7 kan//VB|PRS|AKT//aux//7 inte//AB//advmod//7 en//DT|UTR|SIN|IND//det//7 enskild//JJ|POS|UTR|SIN|IND|NOM//amod//7 näringsidkare//NN|UTR|SIN|IND|NOM//ROOT//7 med//PP//case//9 stöd//NN|NEU|SIN|IND|NOM//nmod//7 av//PP//case//12 nämnda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//12 lag//NN|NEU|SIN|IND|NOM//nmod//9 hyra//VB|INF|AKT//conj//7 ut//PL//case//15 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obl//13 själv//JJ|POS|UTR|SIN|IND|NOM//amod//15 eftersom//SN//mark//19 lagen//NN|UTR|SIN|DEF|NOM//nsubj//19 förutsätter//VB|PRS|AKT//advcl//13 att//SN//mark//23 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//23 är//VB|PRS|AKT//cop//23 anställda//NN|UTR|PLU|IND|NOM//ccomp//19 som//HP|-|-|-//nsubj:pass//25 hyrs//VB|PRS|SFO//acl:relcl//23 ut//PL//compound:prt//25 .//MAD//punct//7
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//31 är//VB|PRS|AKT//cop//31 också//AB//advmod//31 oklart//JJ|POS|NEU|SIN|IND|NOM//parataxis//7 om//SN//case//33 ägaren//NN|UTR|SIN|DEF|NOM//nmod//31 till//PP//case//36 ett//DT|NEU|SIN|IND//det//36 aktiebolag//NN|NEU|SIN|IND|NOM//nmod//33 som//HP|-|-|-//mark//39 ensam//JJ|POS|UTR|SIN|IND|NOM//amod//39 anställd//PC|PRF|UTR|SIN|IND|NOM//acl//36 skulle//VB|PRT|AKT//aux//42 kunna//VB|INF|AKT//aux//42 hyra//VB|INF|AKT//conj//31 ut//PL//case//44 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//42 själv//JJ|POS|UTR|SIN|IND|NOM//amod//44 eftersom//SN//mark//51 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//51 faktiskt//AB|POS//advmod//51 inte//AB//advmod//51 är//VB|PRS|AKT//cop//51 fråga//NN|UTR|SIN|IND|NOM//advcl//42 om//PP//case//53 personaluthyrning//NN|UTR|SIN|IND|NOM//obl//51 i//PP//case//56 egentlig//JJ|POS|UTR|SIN|IND|NOM//amod//56 mening//NN|UTR|SIN|IND|NOM//nmod//53 .//MAD//punct//31
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;6.2//RG|NOM//nsubj//59 Införa//VB|INF|AKT//parataxis//31 mervärdesskattedirektivets//NN|NEU|SIN|DEF|GEN//nmod:poss//61 begrepp//NN|NEU|PLU|IND|NOM//nsubj//59 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//63 verksamhet//NN|UTR|SIN|IND|NOM//obj//59 som//KN//case//65 förutsättning//NN|UTR|SIN|IND|NOM//xcomp//59 för//PP//case//67 näringsverksamhet//NN|UTR|SIN|IND|NOM//nmod//65 i//PP//case//69 inkomstskattelagen//NN|UTR|SIN|DEF|NOM//nmod//67
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 bedömning//NN|UTR|SIN|IND|NOM//nsubj//12 ://MID//punct//1
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen; //_SP////2 Mervärdesskattedirektivets//NN|NEU|SIN|DEF|GEN//nmod:poss//5 begrepp//NN|NEU|PLU|IND|NOM//appos//1 ”//PAD//punct//5 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//8 verksamhet//NN|UTR|SIN|IND|NOM//appos//5 ”//PM|NOM//punct//1 bör//VB|PRS|AKT//aux//12 inte//AB//advmod//12 ersätta//VB|INF|AKT//ROOT//12 näringsverksamhetsbegreppet//NN|NEU|SIN|DEF|NOM//obj//12 i//PP//case//15 inkomstskattelagen//NN|UTR|SIN|DEF|NOM//obl//12 .//MAD//punct//12
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;Införandet//NN|NEU|SIN|DEF|NOM//nsubj//23 av//PP//case//21 ett//DT|NEU|SIN|IND//det//21 sådant//JJ|POS|NEU|SIN|IND|NOM//amod//21 begrepp//NN|NEU|SIN|IND|NOM//nmod//17 är//VB|PRS|AKT//cop//23 förenat//PC|PRF|NEU|SIN|IND|NOM//parataxis//12 med//PP//case//26 lagtekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//26 svårigheter//NN|UTR|PLU|IND|NOM//obl//23 eftersom//SN//mark//31 mervärdesskattelagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//31 inte//AB//advmod//31 helt//AB|POS//advmod//31 anpassats//VB|SUP|SFO//advcl//23 till//PP//case//33 mervärdesskattedirektivet//NN|NEU|SIN|DEF|NOM//obl//31 .//MID//punct//23
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;De//PN|UTR/NEU|PLU|DEF|SUB//appos//23 som//HP|-|-|-//nsubj:pass//41 främst//AB|SUV//advmod//41 skulle//VB|PRT|AKT//aux//41 komma//VB|INF|AKT//aux//41 att//IE//mark//41 påverkas//VB|INF|SFO//acl:relcl//35 är//VB|PRS|AKT//cop//43 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//35 som//HP|-|-|-//nsubj//45 driver//VB|PRS|AKT//acl:relcl//43 en//DT|UTR|SIN|IND//det//47 verksamhet//NN|UTR|SIN|IND|NOM//obj//45 utan//PP//case//49 vinstsyfte//NN|NEU|SIN|IND|NOM//obl//45 ,//MID//punct//54 vilket//HP|NEU|SIN|IND//nsubj//54 ofta//AB|POS//advmod//54 är//VB|PRS|AKT//cop//54 fallet//NN|NEU|SIN|DEF|NOM//acl:relcl//43 vid//PP//case//57 s.k.//AB|AN//amod//57 hobbyverksamhet//NN|UTR|SIN|IND|NOM//nmod//54 .//MAD//punct//35
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;6.2.1//RG|NOM//appos//35 Skillnader//NN|UTR|PLU|IND|NOM//obj//59 mellan//PP//case//65 begreppet//NN|NEU|SIN|DEF|NOM//nmod//65 ”//PAD//punct//62 yrkesmässig//JJ|POS|UTR|SIN|IND|NOM//amod//65 verksamhet//NN|UTR|SIN|IND|NOM//nmod//60 ”//PAD//punct//59 i//PP//case//68 mervärdesskattelagen//NN|UTR|SIN|DEF|NOM//obl//59 och//KN//cc//73 begreppet//NN|NEU|SIN|DEF|NOM//nmod//71 ”//PAD//punct//73 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//73 verksamhet//NN|UTR|SIN|IND|NOM//conj//59 ”//PAD//punct//59 i//PP//case//76 mervärdesskattedirektivet//NN|NEU|SIN|DEF|NOM//obl//59
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;En//DT|UTR|SIN|IND//det//1 möjlighet//NN|UTR|SIN|IND|NOM//nsubj//37 att//IE//mark//3 utvidga//VB|INF|AKT//acl//1 näringsverksamhetsbegreppet//NN|NEU|SIN|DEF|NOM//obj//3 är//VB|PRS|AKT//cop//1 att//IE//mark//7 införa//VB|INF|AKT//csubj//1 det//DT|NEU|SIN|DEF//det//10 EG-rättsliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//10 mervärdesskattedirektivets//NN|NEU|SIN|DEF|GEN//nmod:poss//11 begrepp//NN|NEU|PLU|IND|NOM//obj//7 ”//PAD//punct//11 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//14 verksamhet//NN|UTR|SIN|IND|NOM//obj//7 ”//PAD//punct//7 i//PP//case//19 stället//NN|NEU|SIN|DEF|NOM//fixed//16 för//PP//fixed//16 näringsverksamhetsbegreppet//NN|NEU|SIN|DEF|NOM//obl//7 i//PP//case//21 IL//PM|NOM//obl//7 .//MAD//punct//1
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;Som//HP|-|-|-//mark//24 framgått//VB|SUP|AKT//acl:relcl//1 av//PP//case//27 tidigare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//27 avsnitt//NN|NEU|PLU|IND|NOM//obl//24 (//PAD//punct//1 se//VB|IMP|AKT//parataxis//1 avsnitt//NN|NEU|SIN|IND|NOM//nmod//31 3.7.1//RG|NOM//obj//29 )//PAD//punct//1 är//VB|PRS|AKT//cop//37 ML//PM|NOM//nsubj//37 inte//AB//advmod//37 helt//AB|POS//advmod//37 anpassad//PC|PRF|UTR|SIN|IND|NOM//ROOT//37 till//PP//case//39 mervärdesskattedirektivet//NN|NEU|SIN|DEF|NOM//obl//37 vad//HA//nsubj//41 gäller//VB|PRS|AKT//advcl//37 de//DT|UTR/NEU|PLU|DEF//det//44 gemenskapsrättsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//44 begrepp//NN|NEU|PLU|IND|NOM//obj//41 som//HP|-|-|-//obl//47 direktivet//NN|NEU|SIN|DEF|NOM//nsubj//47 bygger//VB|PRS|AKT//acl:relcl//44 på//PP//case//45 .//MAD//punct//37
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;En//PN|UTR|SIN|IND|SUB/OBJ//nsubj//57 av//PP//case//52 förutsättningarna//NN|UTR|PLU|DEF|NOM//nmod//50 för//PP//case//54 skattskyldighet//NN|UTR|SIN|IND|NOM//nmod//52 enligt//PP//case//56 ML//PM|NOM//nmod//52 är//VB|PRS|AKT//parataxis//37 att//SN//mark//60 omsättningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//60 görs//VB|PRS|SFO//ccomp//57 i//PP//case//63 en//DT|UTR|SIN|IND//det//63 verksamhet//NN|UTR|SIN|IND|NOM//obl//60 som//HP|-|-|-//nsubj//66 är//VB|PRS|AKT//cop//66 yrkesmässig//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//63 medan//SN//mark//73 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//73 enligt//PP//case//70 direktivet//NN|NEU|SIN|DEF|NOM//obl//73 ska//VB|PRS|AKT//aux//73 vara//VB|INF|AKT//cop//73 fråga//NN|UTR|SIN|IND|NOM//advcl//66 om//PP//case//78 en//DT|UTR|SIN|IND//det//78 självständig//JJ|POS|UTR|SIN|IND|NOM//amod//78 ekonomisk//JJ|POS|UTR|SIN|IND|NOM//amod//78 verksamhet//NN|UTR|SIN|IND|NOM//obl//73 ,//MID//punct//83 oberoende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//83 av//PP//case//83 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//83 syfte//NN|NEU|SIN|IND|NOM//conj//73 eller//KN//cc//85 resultat//NN|NEU|SIN|IND|NOM//conj//83 ,//MID//punct//83 som//HP|-|-|-//nsubj:pass//88 bedrivs//VB|PRS|SFO//acl:relcl//83 av//PP//case//92 en//DT|UTR|SIN|IND//det//92 beskattningsbar//JJ|POS|UTR|SIN|IND|NOM//amod//92 person//NN|UTR|SIN|IND|NOM//obl:agent//88 .//MAD//punct//37
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;I//PP//case//1 ML//PM|NOM//obl//2 hänvisas//VB|PRS|SFO//ROOT//2 vad//HP|NEU|SIN|IND//nsubj//4 gäller//VB|PRS|AKT//dep//2 yrkesmässigheten//NN|UTR|SIN|DEF|NOM//obj//4 direkt//AB|POS//advmod//8 till//PP//case//8 IL//PM|NOM//obl//4 ://MID//punct//2 s//PM|NOM//nummod//11 näringsverksamhetsbegrepp//NN|NEU|SIN|IND|NOM//parataxis//2 .//MID//punct//2
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//14 innebär//VB|PRS|AKT//parataxis//2 att//SN//mark//27 en//DT|UTR|SIN|IND//det//17 förvärvsverksamhet//NN|UTR|SIN|IND|NOM//nsubj//27 som//HP|-|-|-//nsubj:pass//19 bedrivs//VB|PRS|SFO//acl:relcl//17 yrkesmässigt//AB|POS//advmod//19 och//KN//cc//22 självständigt//AB|POS//conj//20 enligt//PP//case//24 IL//PM|NOM//obl//19 även//AB//advmod//27 är//VB|PRS|AKT//cop//27 yrkesmässig//JJ|POS|UTR|SIN|IND|NOM//ccomp//14 i//PP//case//29 ML//PM|NOM//nmod//27 ://MID//punct//27 s//NN|AN//nummod//32 mening//NN|UTR|SIN|IND|NOM//appos//27 .//MAD//punct//14
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;I//PP//case//35 ML//PM|NOM//obl//39 är//VB|PRS|AKT//cop//39 även//AB//advmod//38 en//DT|UTR|SIN|IND//det//39 verksamhet//NN|UTR|SIN|IND|NOM//parataxis//14 som//HP|-|-|-//nsubj:pass//41 bedrivs//VB|PRS|SFO//acl:relcl//39 i//PP//case//43 former//NN|UTR|PLU|IND|NOM//obl//41 som//HP|-|-|-//nsubj//46 är//VB|PRS|AKT//cop//46 jämförliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//43 med//PP//case//54 en//DT|UTR|SIN|IND//det//53 till//PP//case//51 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//51 näringsverksamhet//NN|UTR|SIN|IND|NOM//obl//52 hänförlig//JJ|POS|UTR|SIN|IND|NOM//amod//53 verksamhet//NN|UTR|SIN|IND|NOM//nmod//54 yrkesmässig//JJ|POS|UTR|SIN|IND|NOM//obl//46 (//PAD//punct//57 näringsliknande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//57 former//NN|UTR|PLU|IND|NOM//appos//54 )//PAD//punct//57 .//MAD//punct//65
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;Denna//DT|UTR|SIN|DEF//det//62 kompletterande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//62 bestämmelse//NN|UTR|SIN|IND|NOM//nsubj//65 om//PP//case//64 yrkesmässighet//NN|UTR|SIN|IND|NOM//nmod//62 innebär//VB|PRS|AKT//conj//39 att//SN//mark//73 en//DT|UTR|SIN|IND//det//71 från//PP//case//69 inkomstbeskattningen//NN|UTR|SIN|DEF|NOM//obl//70 självständig//JJ|POS|UTR|SIN|IND|NOM//amod//71 bedömning//NN|UTR|SIN|IND|NOM//nsubj:pass//73 kan//VB|PRS|AKT//aux//73 göras//VB|INF|SFO//ccomp//65 utifrån//PP//case//76 de//DT|UTR/NEU|PLU|DEF//det//76 överväganden//NN|NEU|PLU|IND|NOM//obl//73 som//HP|-|-|-//nsubj//78 ligger//VB|PRS|AKT//acl:relcl//76 bakom//PP//case//80 ML//PM|NOM//obl//78 .//MAD//punct//65
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;I//PP//case//83 uttrycket//NN|NEU|SIN|DEF|NOM//obl//92 ”//PAD//punct//85 former//NN|UTR|PLU|IND|NOM//appos//83 som//HP|-|-|-//nsubj//88 är//VB|PRS|AKT//cop//88 jämförliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//85 med//PP//case//90 näringsverksamhet//NN|UTR|SIN|IND|NOM//obl//88 ”//PM|NOM//punct//85 innefattas//VB|PRS|SFO//parataxis//65 dessutom//AB//advmod//92 verksamheter//NN|UTR|PLU|IND|NOM//nsubj:pass//92 som//HP|-|-|-//nsubj//97 inte//AB//advmod//97 uppfyller//VB|PRS|AKT//acl:relcl//94 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//99 näringsverksamhetskriterier//NN|NEU|PLU|IND|NOM//obj//97 .//MAD//punct//2
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;ML//PM|NOM//nsubj//4 och//KN//cc//2 mervärdesskattedirektivet//NN|NEU|SIN|DEF|NOM//conj//0 är//VB|PRS|AKT//aux:pass//4 uppbyggda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//4 på//PP//case//7 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 sätt//NN|NEU|PLU|IND|NOM//obl//4 och//KN//cc//9 ordalydelsen//NN|UTR|SIN|DEF|NOM//conj//7 kan//VB|PRS|AKT//aux//11 ge//VB|INF|AKT//conj//4 intryck//NN|NEU|SIN|IND|NOM//obj//11 av//PP//mark//17 att//SN//mark//17 skillnaderna//NN|UTR|PLU|DEF|NOM//nsubj//17 är//VB|PRS|AKT//cop//17 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//acl//12 än//KN//case//19 vad//HP|NEU|SIN|IND//advcl//17 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//19 faktiskt//AB|POS//advmod//19 är//VB|PRS|AKT//cop//19 .//MAD//punct//4
6 Utvidgning av näringsverksamhetsbegreppet i inkomstskattelagen;Mervärdesskatteutredningen//NN|UTR|SIN|DEF|NOM//nsubj//25 föreslog//VB|PRT|AKT//parataxis//4 i//PP//case//28 sitt//PS|NEU|SIN|DEF//nmod:poss//28 betänkande//NN|NEU|SIN|IND|NOM//obl//25 att//SN//mark//32 ML//PM|NOM//nsubj:pass//32 skulle//VB|PRT|AKT//aux//32 anpassas//VB|INF|SFO//ccomp//25 till//PP//case//37 det//DT|NEU|SIN|DEF//det//37 dåvarande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 sjätte//RO|NOM//amod//37 mervärdesskattedirektivet//NN|NEU|SIN|DEF|NOM//obl//32 och//KN//cc//44 att//SN//mark//44 begreppet//NN|NEU|SIN|DEF|NOM//nmod//42 beskattningsbar//JJ|POS|UTR|SIN|IND|NOM//amod//42 person//NN|UTR|SIN|IND|NOM//nsubj:pass//44 skulle//VB|PRT|AKT//aux//44 föras//VB|INF|SFO//conj//32 in//PL//compound:prt//44 i//PP//case//47 ML//PM|NOM//obl//44 .//MAD//punct//25
