Inledning;Utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förslag//NN|NEU|SIN|IND|NOM//nsubj//2 innebär//VB|PRS|AKT//ROOT//2 att//SN//mark//8 socialtjänstens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 behandling//NN|UTR|SIN|IND|NOM//nsubj:pass//8 av//PP//case//7 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//5 författningsregleras//VB|PRS|SFO//ccomp//2 och//KN//cc//10 anpassas//VB|INF|SFO//conj//8 till//PP//case//12 bestämmelserna//NN|UTR|PLU|DEF|NOM//obl//10 i//PP//case//14 personuppgiftslagen//NN|UTR|SIN|DEF|NOM//nmod//12 (//PAD//punct//8 1998:204//RG|NOM//conj//8 )//PAD//punct//8 .//MAD//punct//2
Vilka kategorier av personuppgifter bör få behandlas?;I//PP//case//85 den//DT|UTR|SIN|DEF//det//85 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//85 lagen//NN|UTR|SIN|DEF|NOM//obl//86 finns//VB|PRS|SFO//parataxis//78 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//86 därför//AB//advmod//86 inte//AB//advmod//86 några//DT|UTR/NEU|PLU|IND//det//92 särskilda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//92 begränsningar//NN|UTR|PLU|IND|NOM//nsubj//86 beträffande//PP//case//95 vilka//HD|UTR/NEU|PLU|IND//det//95 kategorier//NN|UTR|PLU|IND|NOM//obl//86 av//PP//case//97 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//95 som//HP|-|-|-//nsubj:pass//100 får//VB|PRS|AKT//aux//100 behandlas//VB|INF|SFO//acl:relcl//97 inom//PP//case//102 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//100 (//PAD//punct//95 avsnitt//NN|NEU|SIN|IND|NOM//nmod//105 6.4//RG|NOM//appos//95 )//PAD//punct//86 .//MAD//punct//78
Vilka kategorier av personuppgifter bör få behandlas?;Samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//109 kategorier//NN|UTR|PLU|IND|NOM//nsubj//112 av//PP//case//111 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//109 kommer//VB|PRS|AKT//aux//120 således//AB//advmod//112 i//PP//mark//120 och//KN//fixed//114 för//PP//fixed//114 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//fixed//114 att//IE//mark//120 få//VB|INF|AKT//aux//120 behandlas//VB|INF|SFO//conj//78 inom//PP//case//122 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//120 ,//MID//punct//127 även//AB//advmod//127 bl.a.//AB|AN//advmod//127 känsliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//127 personuppgifter//NN|UTR|PLU|IND|NOM//obl//120 i//PP//case//130 personuppgiftslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//130 mening//NN|UTR|SIN|IND|NOM//nmod//127 .//MAD//punct//78
Vilka kategorier av personuppgifter bör få behandlas?;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 framhåller//VB|PRS|AKT//ROOT//1 att//SN//mark//5 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//5 inte//AB//advmod//5 råder//VB|PRS|AKT//ccomp//1 något//DT|NEU|SIN|IND//det//7 tvivel//NN|NEU|SIN|IND|NOM//nsubj//5 om//PP//mark//16 att//SN//mark//16 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//16 från//PP//case//12 integritetssynpunkt//NN|UTR|SIN|IND|NOM//obl//16 skulle//VB|PRT|AKT//aux//16 vara//VB|INF|AKT//cop//16 en//DT|UTR|SIN|IND//det//16 fördel//NN|UTR|SIN|IND|NOM//obl//5 om//SN//case//18 det//PN|NEU|SIN|DEF|SUB/OBJ//nmod//16 i//PP//case//20 lagtexten//NN|UTR|SIN|DEF|NOM//nmod//18 på//PP//case//24 ett//DT|NEU|SIN|IND//det//24 konkret//JJ|POS|NEU|SIN|IND|NOM//amod//24 sätt//NN|NEU|SIN|IND|NOM//nmod//20 kunde//VB|PRT|AKT//aux//26 anges//VB|INF|SFO//conj//1 vilka//HD|UTR/NEU|PLU|IND//det//28 personuppgifter//NN|UTR|PLU|IND|NOM//obj//26 som//HP|-|-|-//nsubj:pass//31 får//VB|PRS|AKT//aux//31 behandlas//VB|INF|SFO//acl:relcl//28 inom//PP//case//33 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//31 .//MAD//punct//1
Vilka kategorier av personuppgifter bör få behandlas?;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//38 har//VB|PRS|AKT//aux//38 emellertid//AB//advmod//38 bedömt//VB|SUP|AKT//parataxis//1 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//38 som//HP|-|-|-//nsubj//43 i//PP//case//42 praktiken//NN|UTR|SIN|DEF|NOM//obl//43 omöjligt//AB|POS//xcomp//38 att//IE//mark//45 göra//VB|INF|AKT//acl//43 så//AB//advmod//45 .//MAD//punct//38
Vilka kategorier av personuppgifter bör få behandlas?;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//49 beror//VB|PRS|AKT//parataxis//38 på//PP//case//56 den//DT|UTR|SIN|DEF//det//56 mycket//AB|POS//advmod//53 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//56 och//KN//cc//55 mångskiftande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//53 verksamhet//NN|UTR|SIN|IND|NOM//obl//49 som//HP|-|-|-//obl//60 lagstiftningen//NN|UTR|SIN|DEF|NOM//nsubj//60 skall//VB|PRS|AKT//aux//60 omfatta//VB|INF|AKT//acl:relcl//56 och//KN//cc//63 socialtjänstens//NN|UTR|SIN|DEF|GEN//nmod:poss//63 behov//NN|NEU|PLU|IND|NOM//conj//60 av//PP//mark//66 att//IE//mark//66 behandla//VB|INF|AKT//acl//63 ett//DT|NEU|SIN|IND//det//70 synnerligen//AB//advmod//69 stort//JJ|POS|NEU|SIN|IND|NOM//amod//70 antal//NN|NEU|SIN|IND|NOM//nmod//72 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//72 personuppgifter//NN|UTR|PLU|IND|NOM//obj//66 ,//MID//punct//72 som//HA//nsubj//81 när//HA//case//78 det//PN|NEU|SIN|DEF|SUB/OBJ//fixed//75 gäller//VB|PRS|AKT//fixed//75 graden//NN|UTR|SIN|DEF|NOM//obl//81 av//PP//case//80 integritetskänslighet//NN|UTR|SIN|IND|NOM//nmod//78 varierar//VB|PRS|AKT//acl:relcl//72 i//PP//case//84 stor//JJ|POS|UTR|SIN|IND|NOM//amod//84 utsträckning//NN|UTR|SIN|IND|NOM//obl//81 .//MAD//punct//38
Vilka kategorier av personuppgifter bör få behandlas?;En//DT|UTR|SIN|IND//det//87 reglering//NN|UTR|SIN|IND|NOM//nsubj//91 skulle//VB|PRT|AKT//aux//91 nämligen//AB//advmod//91 –//RG|NOM//punct//91 menar//VB|PRS|AKT//parataxis//38 utredningen//NN|UTR|SIN|DEF|NOM//obj//91 –//RG|NOM//punct//38 antingen//KN//cc//95 innebära//VB|INF|AKT//conj//38 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//97 risker//NN|UTR|PLU|IND|NOM//obj//95 för//PP//mark//101 att//SN//mark//101 socialtjänstarbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//101 försvårades//VB|PRT|SFO//advcl//95 eller//KN//cc//112 –//RG|NOM//punct//112 om//PP//case//105 listan//NN|UTR|SIN|DEF|NOM//obl//112 över//PP//case//108 vilka//HD|UTR/NEU|PLU|IND//det//108 uppgifter//NN|UTR|PLU|IND|NOM//nmod//105 som//HP|-|-|-//nsubj:pass//111 fick//VB|PRT|AKT//aux//111 behandlas//VB|INF|SFO//acl:relcl//108 gjordes//VB|PRT|SFO//conj//101 mycket//AB|POS//advmod//114 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//112 –//PAD//punct//117 knappast//AB|SUV//advmod//117 medföra//VB|INF|AKT//conj//101 några//DT|UTR/NEU|PLU|IND//det//119 vinster//NN|UTR|PLU|IND|NOM//obj//117 från//PP//case//121 integritetssynpunkt//NN|UTR|SIN|IND|NOM//nmod//119 .//MAD//punct//38

Personuppgiftsansvaret;I//PP//case//3 den//DT|UTR|SIN|DEF//det//3 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//3 lagen//NN|UTR|SIN|DEF|NOM//obl//4 anges//VB|PRS|SFO//ROOT//4 inte//AB//advmod//4 vem//HP|UTR|SIN|IND//dislocated//10 som//HP|-|-|-//nsubj//10 skall//VB|PRS|AKT//aux//10 vara//VB|INF|AKT//cop//10 personuppgiftsansvarig//JJ|POS|UTR|SIN|IND|NOM//ccomp//4 för//PP//case//13 de//DT|UTR/NEU|PLU|DEF//det//13 behandlingar//NN|UTR|PLU|IND|NOM//obl//10 av//PP//case//15 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//13 som//HP|-|-|-//nsubj:pass//17 utförs//VB|PRS|SFO//acl:relcl//15 inom//PP//case//19 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//17 (//PAD//punct//19 avsnitt//NN|NEU|SIN|IND|NOM//nmod//22 6.5//RG|NOM//appos//19 )//PAD//punct//4 .//MAD//punct//4
Personuppgiftsansvaret;Frågan//NN|UTR|SIN|DEF|NOM//nsubj//45 om//PP//mark//30 vem//HP|UTR|SIN|IND//dislocated//30 som//HP|-|-|-//nsubj//30 är//VB|PRS|AKT//cop//30 personuppgiftsansvarig//JJ|POS|UTR|SIN|IND|NOM//acl//25 för//PP//case//34 en//DT|UTR|SIN|IND//det//34 viss//JJ|POS|UTR|SIN|IND|NOM//amod//34 behandling//NN|UTR|SIN|IND|NOM//obl//30 av//PP//case//36 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//34 enligt//PP//case//38 lagen//NN|UTR|SIN|DEF|NOM//nmod//34 om//PP//case//40 behandling//NN|UTR|SIN|IND|NOM//nmod//38 av//PP//case//42 personuppgifter//NN|UTR|PLU|IND|NOM//nmod//40 inom//PP//case//44 socialtjänsten//NN|UTR|SIN|DEF|NOM//nmod//42 får//VB|PRS|AKT//aux//49 i//PP//advmod//45 stället//NN|NEU|SIN|DEF|NOM//fixed//46 a//NN|NEU|SIN|IND|NOM//fixed//46 vgöras//VB|INF|SFO//parataxis//4 efter//PP//case//52 en//DT|UTR|SIN|IND//det//52 tillämpning//NN|UTR|SIN|IND|NOM//obl//49 av//PP//case//54 bestämmelserna//NN|UTR|PLU|DEF|NOM//nmod//52 i//PP//case//56 person//NN|UTR|SIN|IND|NOM//nmod//54 uppgiftslagen//NN|UTR|SIN|DEF|NOM//nmod//54 .//MAD//punct//4
Personuppgiftsansvaret;Någon//DT|UTR|SIN|IND//det//61 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//61 regel//NN|UTR|SIN|IND|NOM//advmod//4 om//PP//mark//64 detta//PN|NEU|SIN|DEF|SUB/OBJ//nsubj:pass//64 behövs//VB|PRS|SFO//advcl//4 inte//AB//advmod//64 i//PP//case//69 den//DT|UTR|SIN|DEF//det//69 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//69 lagen//NN|UTR|SIN|DEF|NOM//obl//64 .//MAD//punct//4

Sökbegrepp;Med//PP//case//1 sökbegrepp//NN|NEU|PLU|IND|NOM//obl//3 förstås//AB//advmod//3 bokstäver//NN|UTR|PLU|IND|NOM//ROOT//3 eller//KN//cc//5 siffror//NN|UTR|PLU|IND|NOM//conj//3 med//PP//case//8 vars//HS|DEF//nmod:poss//8 hjälp//NN|UTR|SIN|IND|NOM//nmod//5 man//PN|UTR|SIN|IND|SUB//nsubj//11 kan//VB|PRS|AKT//aux//11 söka//VB|INF|AKT//acl:cleft//3 fram//PL//compound:prt//11 lagrad//PC|PRF|UTR|SIN|IND|NOM//amod//14 information//NN|UTR|SIN|IND|NOM//obj//11 .//MAD//punct//3
Sökbegrepp;Frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//20 om//PP//case//18 sökbegränsningar//NN|UTR|PLU|IND|NOM//nmod//16 har//VB|PRS|AKT//aux//20 behandlats//VB|SUP|SFO//parataxis//3 i//PP//case//23 avsnitt//NN|NEU|SIN|IND|NOM//nmod//23 6.6//RG|NOM//obl//20 .//MAD//punct//3
Sökbegrepp;De//DT|UTR/NEU|PLU|DEF//det//1 sekretessbestämmelser//NN|UTR|PLU|IND|NOM//nsubj//23 som//HP|-|-|-//nsubj//3 gäller//VB|PRS|AKT//acl:relcl//1 för//PP//case//5 personuppgifter//NN|UTR|PLU|IND|NOM//obl//3 inom//PP//case//7 socialtjänsten//NN|UTR|SIN|DEF|NOM//nmod//5 (//PAD//punct//1 bl.a.//AB|AN//advmod//14 7//RG|NOM//nummod//11 kap.//NN|AN//obl//13 4//RG|NOM//nummod//13 §//NN|AN//nmod//14 sekretesslagen//NN|UTR|SIN|DEF|NOM//nmod//15 1980:100//RG|NOM//appos//1 och//KN//cc//18 51//RG|NOM//nummod//18 §//NN|AN//nmod//21 andra//RO|NOM//amod//20 stycket//NN|NEU|SIN|DEF|NOM//amod//21 socialtjänstlagen//NN|UTR|SIN|DEF|NOM//appos//1 )//PAD//punct//1 innebär//VB|PRS|AKT//ROOT//23 ett//DT|NEU|SIN|IND//det//27 mycket//AB|POS//advmod//26 starkt//JJ|POS|NEU|SIN|IND|NOM//amod//27 skydd//NN|NEU|SIN|IND|NOM//obj//23 för//PP//case//29 uppgifterna//NN|UTR|PLU|DEF|NOM//obl//23 ,//MID//punct//38 inte//AB//advmod//38 bara//AB//advmod//38 i//PP//case//38 förhållande//NN|NEU|SIN|IND|NOM//fixed//33 till//PP//fixed//33 verksamhet//NN|UTR|SIN|IND|NOM//fixed//33 utanför//PP//fixed//33 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//23 ,//MID//punct//54 utan//KN//cc//54 även//AB//advmod//43 mellan//PP//case//43 myndigheter//NN|UTR|PLU|IND|NOM//fixed//40 på//PP//case//46 socialtjänstens//NN|UTR|SIN|DEF|GEN//nmod:poss//46 område//NN|NEU|SIN|IND|NOM//nmod//43 samt//KN//cc//52 inom//PP//case//52 en//DT|UTR|SIN|IND//nummod//52 och//KN//fixed//49 samma//DT|UTR/NEU|SIN/PLU|IND//conj//49 myndighet//NN|UTR|SIN|IND|NOM//conj//43 .//MAD//punct//43
Sökbegrepp;Möjligheterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//58 att//IE//mark//56 söka//VB|INF|AKT//acl//54 information//NN|UTR|SIN|IND|NOM//obj//56 begränsas//VB|PRS|SFO//conj//23 emellertid//AB//advmod//58 inte//AB//advmod//58 endast//AB//advmod//58 av//PP//case//63 sekretessbestämmelser//NN|UTR|PLU|IND|NOM//obl:agent//58 ,//MID//punct//69 utan//KN//cc//69 även//AB//advmod//69 av//PP//case//69 personuppgiftslagens//NN|UTR|SIN|DEF|GEN//nmod:poss//69 bestämmelse//NN|UTR|SIN|IND|NOM//obl//58 (//PAD//punct//69 9//RG|NOM//nummod//72 §//NN|AN//nmod//74 första//RO|NOM//amod//74 stycket//NN|NEU|SIN|DEF|NOM//appos//69 d//NN|NEU|SIN|IND|NOM//nmod//74 )//PAD//punct//69 om//PP//mark//84 att//SN//mark//84 redan//AB//advmod//80 insamlade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//81 personuppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//84 inte//AB//advmod//84 får//VB|PRS|AKT//aux//84 behandlas//VB|INF|SFO//advcl//58 för//PP//case//87 något//DT|NEU|SIN|IND//det//87 ändamål//NN|NEU|SIN|IND|NOM//obl//84 som//HP|-|-|-//nsubj//90 är//VB|PRS|AKT//cop//90 oförenligt//JJ|POS|NEU|SIN|IND|NOM//acl:relcl//87 med//PP//case//93 det//DT|NEU|SIN|DEF//det//93 ändamål//NN|NEU|SIN|IND|NOM//obl//90 för//PP//case//95 vilket//HP|NEU|SIN|IND//obl//98 uppgifterna//NN|UTR|PLU|DEF|NOM//nsubj:pass//98 ursprungligen//AB//advmod//98 samlades//VB|PRT|SFO//advcl//90 in//PL//compound:prt//98 .//MAD//punct//23
Sökbegrepp;Vidare//AB|KOM//advmod//102 innebär//VB|PRS|AKT//parataxis//23 bestämmelsen//NN|UTR|SIN|DEF|NOM//obj//102 i//PP//case//107 59//RG|NOM//nummod//106 §//NN|AN//nmod//107 socialtjänstlagen//NN|UTR|SIN|DEF|NOM//obl//102 om//PP//case//109 förbud//NN|NEU|SIN|IND|NOM//nmod//107 mot//PP//mark//117 att//IE//mark//117 i//PP//case//114 s.k.//AB|AN//amod//114 sammanställningsregister//NN|UTR|PLU|IND|NOM//obl//117 hos//PP//case//116 socialnämnd//NN|UTR|SIN|IND|NOM//nmod//114 ta//VB|INF|AKT//advcl//102 in//PL//compound:prt//117 uppgifter//NN|UTR|PLU|IND|NOM//obj//117 om//PP//case//123 ömtåliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//123 personliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//123 förhållanden//NN|NEU|PLU|IND|NOM//obl//117 ytterligare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//125 begränsningar//NN|UTR|PLU|IND|NOM//obj//117 av//PP//case//127 sökmöjligheterna//NN|UTR|PLU|DEF|NOM//nmod//125 .//MAD//punct//102
Sökbegrepp;Dessa//DT|UTR/NEU|PLU|DEF//det//130 bestämmelser//NN|UTR|PLU|IND|NOM//nsubj//131 innebär//VB|PRS|AKT//parataxis//102 ett//DT|NEU|SIN|IND//det//134 tillräckligt//JJ|POS|NEU|SIN|IND|NOM//amod//134 integritetsskydd//NN|NEU|SIN|IND|NOM//obj//131 .//MAD//punct//131
Sökbegrepp;I//PP//case//137 lagen//NN|UTR|SIN|DEF|NOM//obl//138 föreslås//VB|PRS|SFO//parataxis//131 därför//AB//advmod//138 inte//AB//advmod//138 någon//DT|UTR|SIN|IND//det//143 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//143 begränsning//NN|UTR|SIN|IND|NOM//nsubj:pass//138 i//PP//case//145 möjligheten//NN|UTR|SIN|DEF|NOM//obl//138 att//IE//mark//150 med//PP//case//149 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//149 sökbegrepp//NN|NEU|PLU|IND|NOM//obl//150 hämta//VB|INF|AKT//acl//145 information//NN|UTR|SIN|IND|NOM//obj//150 som//HP|-|-|-//nsubj//153 finns//VB|PRS|SFO//acl:relcl//151 inom//PP//case//155 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//153 .//MAD//punct//23
Sökbegrepp;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//1 framhåller//VB|PRS|AKT//ROOT//1 dock//AB//advmod//1 att//SN//mark//8 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//8 vid//PP//case//7 denna//DT|UTR|SIN|DEF//det//7 bedömning//NN|UTR|SIN|IND|NOM//obl//8 förutsätts//VB|PRS|SFO//ccomp//1 att//SN//mark//12 den//DT|UTR|SIN|DEF//det//11 personuppgiftsansvarige//JJ|POS|MAS|SIN|DEF|NOM//nsubj//12 utformar//VB|PRS|AKT//advcl//8 de//DT|UTR/NEU|PLU|DEF//det//15 tekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 systemen//NN|NEU|PLU|DEF|NOM//obj//12 så//AB//mark//24 att//SN//mark//24 i//PP//case//19 princip//NN|UTR|SIN|IND|NOM//obl//24 endast//AB//advmod//24 behöriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 personer//NN|UTR|PLU|IND|NOM//nsubj//24 kan//VB|PRS|AKT//aux//24 göra//VB|INF|AKT//advcl//12 sökningar//NN|UTR|PLU|IND|NOM//obj//24 samt//KN//cc//29 att//SN//mark//29 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//29 finns//VB|PRS|SFO//conj//12 behörighetskontrollsystem//NN|NEU|PLU|IND|NOM//nsubj//29 och//KN//cc//36 att//SN//mark//36 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//36 i//PP//advmod//36 efterhand//AB//fixed//34 går//VB|PRS|AKT//conj//29 att//IE//mark//38 fastställa//VB|INF|AKT//csubj//36 vilka//HD|UTR/NEU|PLU|IND//det//40 personer//NN|UTR|PLU|IND|NOM//obj//38 som//HP|-|-|-//nsubj//43 har//VB|PRS|AKT//aux//43 tagit//VB|SUP|AKT//acl:relcl//40 del//NN|UTR|SIN|IND|NOM//obj//43 av//PP//case//46 information//NN|UTR|SIN|IND|NOM//nmod//44 (//PAD//punct//46 loggning//NN|UTR|SIN|IND|NOM//appos//46 )//PAD//punct//46 .//MAD//punct//1
Sökbegrepp;Den//DT|UTR|SIN|DEF//det//53 enskilde//JJ|POS|MAS|SIN|DEF|NOM//amod//53 handläggarens//NN|UTR|SIN|DEF|GEN//nmod:poss//54 sökmöjligheter//NN|UTR|PLU|IND|NOM//nsubj:pass//57 torde//VB|PRT|AKT//aux//57 kunna//VB|INF|AKT//aux//57 begränsas//VB|INF|SFO//conj//1 mycket//AB|POS//advmod//59 kraftigt//AB|POS//advmod//57 (//PAD//punct//57 jfr//VB|AN//parataxis//57 bl.a.//AB|AN//advmod//61 51//RG|NOM//nummod//64 §//NN|AN//nmod//67 andra//RO|NOM//amod//66 stycket//NN|NEU|SIN|DEF|NOM//amod//67 socialtjänstlagen//NN|UTR|SIN|DEF|NOM//obj//61 )//PAD//punct//67 .//MAD//punct//1
Sökbegrepp;Den//DT|UTR|SIN|DEF//det//71 personkrets//NN|UTR|SIN|IND|NOM//parataxis//1 som//HP|-|-|-//nsubj//73 arbetar//VB|PRS|AKT//acl:relcl//71 med//PP//case//75 uppföljning//NN|UTR|SIN|IND|NOM//obl//73 ,//MID//punct//77 utvärdering//NN|UTR|SIN|IND|NOM//conj//75 ,//MID//punct//79 kvalitetssäkring//NN|UTR|SIN|IND|NOM//conj//75 ,//MID//punct//81 forskning//NN|UTR|SIN|IND|NOM//conj//75 och//KN//cc//83 framställning//NN|UTR|SIN|IND|NOM//conj//75 av//PP//case//85 statistik//NN|UTR|SIN|IND|NOM//nmod//83 –//RG|NOM//punct//91 och//KN//cc//91 som//HP|-|-|-//nsubj//91 naturligtvis//AB//advmod//91 är//VB|PRS|AKT//cop//91 beroende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//1 av//PP//mark//95 att//IE//mark//95 kunna//VB|INF|AKT//aux//95 söka//VB|INF|AKT//advcl//91 information//NN|UTR|SIN|IND|NOM//obj//95 i//PP//case//101 en//DT|UTR|SIN|IND//det//101 helt//AB|POS//advmod//100 annan//JJ|POS|UTR|SIN|IND|NOM//amod//101 omfattning//NN|UTR|SIN|IND|NOM//obl//95 än//KN//case//105 en//DT|UTR|SIN|IND//det//105 enskild//JJ|POS|UTR|SIN|IND|NOM//amod//105 handläggare//NN|UTR|SIN|IND|NOM//nmod//101 –//RG|NOM//punct//113 torde//VB|PRT|AKT//aux//113 i//PP//case//111 de//DT|UTR/NEU|PLU|DEF//det//111 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//amod//111 fall//NN|NEU|PLU|IND|NOM//obl//113 kunna//VB|INF|AKT//aux//113 begränsas//VB|INF|SFO//conj//1 till//PP//case//116 ett//DT|NEU|SIN|IND//det//116 minimum//NN|NEU|SIN|IND|NOM//obl//113 .//MAD//punct//1

Samkörning;Enligt//PP//case//1 utredningen//NN|UTR|SIN|DEF|NOM//obl//2 saknas//VB|PRS|SFO//ROOT//2 det//PN|NEU|SIN|DEF|SUB/OBJ//det//4 anledning//NN|UTR|SIN|IND|NOM//nsubj:pass//2 att//IE//mark//10 i//PP//case//9 den//DT|UTR|SIN|DEF//det//9 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//9 lagen//NN|UTR|SIN|DEF|NOM//obl//10 ha//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//13 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//13 bestämmelse//NN|UTR|SIN|IND|NOM//obj//10 som//HP|-|-|-//nsubj//15 tillåter//VB|PRS|AKT//acl:relcl//13 eller//KN//cc//17 förbjuder//VB|PRS|AKT//conj//15 att//SN//mark//26 de//DT|UTR/NEU|PLU|DEF//det//20 person//NN|UTR|SIN|IND|NOM//amod//21 uppgifter//NN|UTR|PLU|IND|NOM//nsubj:pass//26 som//HP|-|-|-//nsubj//23 finns//VB|PRS|SFO//acl:relcl//21 inom//PP//case//25 socialtjänsten//NN|UTR|SIN|DEF|NOM//obl//23 samkörs//VB|PRS|SFO//ccomp//17 (//PAD//punct//26 avsnitt//NN|NEU|SIN|IND|NOM//nmod//29 6.7//RG|NOM//appos//26 )//PAD//punct//26 .//MAD//punct//2
