Så enkelt som möjligt för så många som möjligt (1);–//RG|NOM//punct//3  //_SP////0 En//DT|UTR|SIN|IND//det//3 bit//NN|UTR|SIN|IND|NOM//ROOT//3 på//PP//case//5 väg//NN|UTR|SIN|IND|NOM//nmod//3
4.2 Portföljstyrning av prioriterade förstudier;Förslag//NN|NEU|PLU|IND|NOM//nsubj:pass//52 kan//VB|PRS|AKT//aux//52 med//PP//case//51 fördel//NN|UTR|SIN|IND|NOM//obl//52 lämnas//VB|INF|SFO//parataxis//1 via//PP//case//55 det//DT|NEU|SIN|DEF//det//55 idéforum//NN|NEU|SIN|IND|NOM//obl//52 som//HP|-|-|-//nsubj:pass//57 beskrivs//VB|PRS|SFO//acl:relcl//55 i//PP//case//60 föregående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//60 avsnitt//NN|NEU|SIN|IND|NOM//obl//57 .//MAD//punct//52
4.2 Portföljstyrning av prioriterade förstudier;b//NN|NEU|SIN|IND|NOM//obl//52 )//PAD//punct//52 Ett//DT|NEU|SIN|IND//det//65 arbetsutskott//NN|NEU|SIN|IND|NOM//nsubj//69 till//PP//case//68 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//68 arbetsgrupp//NN|UTR|SIN|IND|NOM//nmod//65 bereder//VB|PRS|AKT//conj//52 underlaget//NN|NEU|SIN|DEF|NOM//obj//69 och//KN//cc//72 rekommenderar//VB|PRS|AKT//conj//69 arbetsgruppen//NN|UTR|SIN|DEF|NOM//obj//72 om//PP//case//76 en//DT|UTR|SIN|IND//det//76 uppdragsbeskrivning//NN|UTR|SIN|IND|NOM//nsubj:pass//78 bör//VB|PRS|AKT//aux//78 tas//VB|INF|SFO//conj//52 fram//PL//compound:prt//78 .//MAD//punct//78
4.2 Portföljstyrning av prioriterade förstudier;c//NN|NEU|SIN|IND|NOM//conj//52 )//PAD//punct//52 Någon//PN|UTR|SIN|IND|SUB/OBJ//nsubj//92 av//PP//case//89 de//DT|UTR/NEU|PLU|DEF//det//89 i//PP//case//87 delegationen//NN|UTR|SIN|DEF|NOM//obl//89 deltagande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//89 myndigheter//NN|UTR|PLU|IND|NOM//nmod//83 eller//KN//cc//91 SKL//PM|NOM//conj//89 tar//VB|PRS|AKT//conj//52 fram//PL//compound:prt//92 en//DT|UTR|SIN|IND//det//95 uppdragsbeskrivning//NN|UTR|SIN|IND|NOM//obj//92 ,//MID//punct//95 inklusive//PP//case//98 finansieringsförslag//NN|NEU|PLU|IND|NOM//obl//92 .//MAD//punct//92
4.2 Portföljstyrning av prioriterade förstudier;d//NN|NEU|SIN|IND|NOM//punct//52 )//PAD//punct//52 Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//103 fattar//VB|PRS|AKT//conj//52 beslut//NN|NEU|SIN|IND|NOM//obj//103 om//PP//mark//107 att//IE//mark//107 starta//VB|INF|AKT//advcl//103 förstudien//NN|UTR|SIN|DEF|NOM//obj//107 och//KN//cc//111 Regeringskansliet//NN|NEU|SIN|DEF|NOM//nsubj//111 bekräftar//VB|PRS|AKT//conj//107 om//PP//mark//115 finansiering//NN|UTR|SIN|IND|NOM//nsubj//115 kan//VB|PRS|AKT//aux//115 ske//VB|INF|AKT//advcl//111 med//PP//case//119 centralt//AB|POS//advmod//118 avsatta//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//119 medel//NN|NEU|PLU|IND|NOM//obl//115 .//MAD//punct//103
4.2 Portföljstyrning av prioriterade förstudier;e//NN|NEU|SIN|IND|NOM//conj//52 )//PAD//punct//52 Förstudien//NN|UTR|SIN|DEF|NOM//nsubj:pass//124 genomförs//VB|PRS|SFO//conj//52 under//PP//case//126 ledning//NN|UTR|SIN|IND|NOM//obl//124 av//PP//case//130 en//DT|UTR|SIN|IND//det//130 färdledande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//130 myndighet//NN|UTR|SIN|IND|NOM//nmod//126 eller//KN//cc//132 SKL//PM|NOM//conj//130 ,//MID//punct//130 som//HP|-|-|-//nsubj//135 rapporterar//VB|PRS|AKT//acl:relcl//130 arbete//NN|NEU|SIN|IND|NOM//obj//135 och//KN//cc//138 förstudieresultat//NN|UTR|SIN|IND|NOM//conj//136 till//PP//case//141 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//141 arbetsgrupp//NN|UTR|SIN|IND|NOM//obl//135 .//MAD//punct//52
4.2 Portföljstyrning av prioriterade förstudier;f//NN|NEU|SIN|IND|NOM//punct//52 )//PAD//punct//52 Baserat//PC|PRF|NEU|SIN|IND|NOM//conj//52 på//PP//case//148 förstudiens//NN|UTR|SIN|DEF|GEN//nmod:poss//148 resultat//NN|NEU|SIN|IND|NOM//obl//145 fattar//VB|PRS|AKT//conj//52 delegationen//NN|UTR|SIN|DEF|NOM//nsubj//149 beslut//NN|NEU|SIN|IND|NOM//obj//149 om//PP//case//154 fortsatt//PC|PRF|UTR|SIN|IND|NOM//amod//154 hantering//NN|UTR|SIN|IND|NOM//nmod//151 .//MAD//punct//1
4.2 Portföljstyrning av prioriterade förstudier;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 tagit//VB|SUP|AKT//ROOT//2 fram//PL//compound:prt//2 mallar//NN|UTR|PLU|IND|NOM//obj//2 för//PP//case//6 idébeskrivningar//NN|UTR|PLU|IND|NOM//nmod//4 ,//MID//punct//8 uppdragsbeskrivningar//NN|UTR|PLU|IND|NOM//conj//6 ,//MID//punct//10 förstudier//NN|NEU|PLU|IND|NOM//conj//6 och//KN//cc//12 statusrapportering//NN|UTR|SIN|IND|NOM//conj//6 .//MAD//punct//2
4.2 Portföljstyrning av prioriterade förstudier;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//17 är//VB|PRS|AKT//cop//17 att//IE//mark//17 underlätta//VB|INF|AKT//parataxis//2 arbetet//NN|NEU|SIN|DEF|NOM//obj//17 och//KN//cc//21 säkra//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//21 kvaliteten//NN|UTR|SIN|DEF|NOM//conj//18 .//MAD//punct//2

4.3 Förstudiearbete under 2011;I//PP//case//1 november//NN|UTR|SIN|IND|NOM//obl//3 2010//RG|NOM//nummod//1 gjordes//VB|PRT|SFO//ROOT//3 en//DT|UTR|SIN|IND//det//5 inventering//NN|UTR|SIN|IND|NOM//nsubj:pass//3 ,//MID//punct//8 både//KN//cc//8 publikt//JJ|POS|NEU|SIN|IND|NOM//conj//5 och//KN//cc//11 inom//PP//case//11 delegationen//NN|UTR|SIN|DEF|NOM//conj//8 ,//MID//punct//14 vad//HP|NEU|SIN|IND//nsubj//14 gällde//VB|PRT|AKT//conj//3 idéer//NN|UTR|PLU|IND|NOM//obj//14 till//PP//case//18 prioriterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//18 förstudier//NN|NEU|PLU|IND|NOM//nmod//15 för//PP//case//20 2011//RG|NOM//nmod//18 .//MAD//punct//14
4.3 Förstudiearbete under 2011;I//PP//case//23 december//NN|UTR|SIN|IND|NOM//nmod//24 2010//RG|NOM//obl//14 påbörjades//VB|PRT|SFO//nsubj:pass//3 en//DT|UTR|SIN|IND//det//27 portföljhantering//NN|UTR|SIN|IND|NOM//nsubj:pass//25 för//PP//case//30 lämnade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//30 förslag//NN|NEU|PLU|IND|NOM//nmod//27 ,//MID//punct//39 där//HA//advmod//39 beredning//NN|UTR|SIN|IND|NOM//nsubj:pass//39 och//KN//cc//35 prioritering//NN|UTR|SIN|IND|NOM//conj//33 av//PP//case//37 förslagen//NN|NEU|PLU|DEF|NOM//nmod//35 har//VB|PRS|AKT//aux//39 beretts//VB|SUP|SFO//acl:relcl//30 .//MAD//punct//3
4.3 Förstudiearbete under 2011;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//1 prioriterar//VB|PRS|AKT//ROOT//1 att//IE//mark//5 under//PP//case//4 2011//RG|NOM//obl//5 genomföra//VB|INF|AKT//ccomp//1 en//DT|UTR|SIN|IND//det//8 omfattande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 förstudie//NN|UTR|SIN|IND|NOM//obj//5 inom//PP//case//12 området//NN|NEU|SIN|DEF|NOM//nmod//12 Effektivare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 informationsförsörjning//NN|UTR|SIN|IND|NOM//nmod//8 .//MAD//punct//1
4.3 Förstudiearbete under 2011;Bakgrunden//NN|UTR|SIN|DEF|NOM//nsubj:pass//18 till//PP//case//17 detta//DT|NEU|SIN|DEF//det//17 ställningstagande//NN|NEU|SIN|IND|NOM//nmod//14 beskrivs//VB|PRS|SFO//parataxis//1 i//PP//case//21 avsnitt//NN|NEU|SIN|IND|NOM//nmod//21 2.5//RG|NOM//obl//18 .//MAD//punct//1
4.3 Förstudiearbete under 2011;Ytterligare//AB|KOM//advmod//1 prioriterade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//2 förstudier//NN|NEU|PLU|IND|NOM//nsubj:pass//6 kan//VB|PRS|AKT//aux//6 komma//VB|INF|AKT//aux//6 att//IE//mark//6 startas//VB|INF|SFO//ROOT//6 under//PP//case//8 2011//RG|NOM//obl//6 .//MAD//punct//6
4.3 Förstudiearbete under 2011;En//DT|UTR|SIN|IND//det//12 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//12 förstudie//NN|UTR|SIN|IND|NOM//nsubj//14 kan//VB|PRS|AKT//aux//14 bli//VB|INF|AKT//conj//6 följden//NN|UTR|SIN|DEF|NOM//xcomp//14 av//PP//case//18 nedanstående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//18 arbete//NN|NEU|SIN|IND|NOM//nmod//15 som//HP|-|-|-//obl//21 delegationen//NN|UTR|SIN|DEF|NOM//nsubj//21 avser//VB|PRS|AKT//acl:relcl//18 att//IE//mark//23 genomföra//VB|INF|AKT//xcomp//21 .//MAD//punct//6
4.3 Förstudiearbete under 2011;Meddelandehantering//NN|UTR|SIN|IND|NOM//ROOT//0 i//PP//case//2 förvaltningen//NN|UTR|SIN|DEF|NOM//nmod//0
4.3 Förstudiearbete under 2011;Informationsutbyte//NN|NEU|SIN|IND|NOM//nsubj//7 mellan//PP//case//2 organisationer//NN|UTR|PLU|IND|NOM//nmod//0 i//PP//case//6 den//DT|UTR|SIN|DEF//det//6 offentliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//6 sektorn//NN|UTR|SIN|DEF|NOM//nmod//2 består//VB|PRS|AKT//ROOT//7 i//PP//mark//11 att//SN//mark//11 meddelanden//NN|NEU|PLU|IND|NOM//nsubj:pass//11 överförs//VB|PRS|SFO//advcl//7 via//PP//case//13 Internet//NN|NEU|SIN|DEF|NOM//obl//11 eller//KN//cc//17 i//PP//case//17 slutna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//17 nät//NN|NEU|PLU|IND|NOM//conj//13 .//MAD//punct//7
4.3 Förstudiearbete under 2011;Sätten//NN|NEU|PLU|DEF|NOM//nsubj:pass//24 att//IE//mark//21 utbyta//VB|INF|AKT//acl//19 information//NN|UTR|SIN|IND|NOM//nsubj:pass//24 har//VB|PRS|AKT//aux//24 utvecklats//VB|SUP|SFO//parataxis//7 på//PP//case//27 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 sätt//NN|NEU|PLU|IND|NOM//obl//24 inom//PP//case//30 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//30 sektorer//NN|UTR|PLU|IND|NOM//obl//24 .//MAD//punct//7
4.3 Förstudiearbete under 2011;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//33 finns//VB|PRS|SFO//parataxis//7 idag//AB//advmod//33 en//DT|UTR|SIN|IND//det//36 rad//NN|UTR|SIN|IND|NOM//nmod//37 lösningar//NN|UTR|PLU|IND|NOM//nsubj//33 som//HP|-|-|-//nsubj//39 behöver//VB|PRS|AKT//acl:relcl//37 eller//KN//cc//43 kommer//VB|PRS|AKT//aux//43 att//IE//mark//43 behöva//VB|INF|AKT//conj//33 samverka//VB|INF|AKT//xcomp//43 med//PP//case//46 varandra//PN|UTR/NEU|PLU|DEF|OBJ//obl//44 för//PP//mark//49 att//IE//mark//49 åstadkomma//VB|INF|AKT//advcl//44 en//DT|UTR|SIN|IND//det//52 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//52 grad//NN|UTR|SIN|IND|NOM//obj//49 av//PP//case//54 automatisering//NN|UTR|SIN|IND|NOM//nmod//52 i//PP//case//56 förvaltningen//NN|UTR|SIN|DEF|NOM//nmod//54 .//MAD//punct//33
4.3 Förstudiearbete under 2011;Lösningarna//NN|UTR|PLU|DEF|NOM//nsubj//61 är//VB|PRS|AKT//cop//61 både//KN//cc//61 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//33 och//KN//cc//63 europeiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//61 ///MID//cc//65 internationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//61 och//KN//cc//67 samordning//NN|UTR|SIN|IND|NOM//conj//65 saknas//VB|PRS|SFO//conj//61 .//MAD//punct//33
4.3 Förstudiearbete under 2011;Området//NN|NEU|SIN|DEF|NOM//nsubj//71 berör//VB|PRS|AKT//parataxis//33 komplexa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//73 teknikfrågor//NN|UTR|PLU|IND|NOM//obj//71 ,//MID//punct//76 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//76 intressenter//NN|UTR|PLU|IND|NOM//conj//73 ,//MID//punct//78 krav//NN|NEU|PLU|IND|NOM//conj//76 och//KN//cc//80 regleringar//NN|UTR|PLU|IND|NOM//conj//76 såväl//KN//advmod//82 nationellt//AB|POS//advmod//76 som//KN//case//85 på//PP//case//85 EU-nivå//NN|UTR|SIN|IND|NOM//obl//71 ,//MID//punct//87 standarder//NN|UTR|PLU|IND|NOM//conj//85 ,//MID//punct//89 teknikutveckling//NN|UTR|SIN|IND|NOM//conj//85 m.m.//AB|AN//conj//85 Frågan//NN|UTR|SIN|DEF|NOM//nsubj:pass//93 har//VB|PRS|AKT//aux//93 aktualiserats//VB|SUP|SFO//acl:relcl//85 från//PP//case//96 flera//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//96 håll//NN|NEU|PLU|IND|NOM//obl//93 och//KN//cc//98 lyfts//VB|PRS|SFO//conj//93 till//PP//case//100 delegationen//NN|UTR|SIN|DEF|NOM//obl//98 med//PP//case//102 önskemål//NN|NEU|PLU|IND|NOM//obl//98 om//PP//mark//108 att//SN//mark//108 ett//DT|NEU|SIN|IND//det//107 gemensamt//JJ|POS|NEU|SIN|IND|NOM//amod//107 koncept//NN|NEU|SIN|IND|NOM//nsubj:pass//108 utreds//VB|PRS|SFO//advcl//98 .//MAD//punct//33
4.3 Förstudiearbete under 2011;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj//1 syftar//VB|PRS|AKT//ROOT//1 till//PP//mark//4 att//IE//mark//4 utreda//VB|INF|AKT//advcl//1 hur//HA//advmod//9 förvaltningens//NN|UTR|SIN|DEF|GEN//nmod:poss//8 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 lösningar//NN|UTR|PLU|IND|NOM//nsubj//9 ser//VB|PRS|AKT//ccomp//4 ut//PL//compound:prt//9 ,//MID//punct//9 t.ex.//AB|AN//advmod//14 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 teknik//NN|UTR|SIN|IND|NOM//appos//9 ,//MID//punct//16 process//NN|UTR|SIN|IND|NOM//conj//14 ,//MID//punct//18 organisation//NN|UTR|SIN|IND|NOM//conj//14 ,//MID//punct//20 funktion//NN|UTR|SIN|IND|NOM//conj//14 och//KN//cc//22 kostnad//NN|UTR|SIN|IND|NOM//conj//14 .//MID//punct//1
4.3 Förstudiearbete under 2011;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//25 behövs//VB|PRS|SFO//parataxis//1 också//AB//advmod//25 en//DT|UTR|SIN|IND//det//29 bredare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//29 belysning//NN|UTR|SIN|IND|NOM//nsubj:pass//25 genom//PP//mark//32 att//IE//mark//32 studera//VB|INF|AKT//advcl//25 hur//HA//advmod//36 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//35 länder//NN|NEU|PLU|IND|NOM//nsubj//36 löser//VB|PRS|AKT//ccomp//32 eller//KN//cc//38 planerar//VB|PRS|AKT//conj//36 att//IE//mark//40 lösa//VB|INF|AKT//xcomp//38 sin//PS|UTR|SIN|DEF//nmod:poss//42 meddelandehantering//NN|UTR|SIN|IND|NOM//obj//40 .//MAD//punct//25
4.3 Förstudiearbete under 2011;Frågan//NN|UTR|SIN|DEF|NOM//nsubj//45 tillhör//VB|PRS|AKT//parataxis//25 de//DT|UTR/NEU|PLU|DEF//det//48 infrastrukturella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//48 förutsättningarna//NN|UTR|PLU|DEF|NOM//obj//45 som//HP|-|-|-//nsubj:pass//51 behöver//VB|PRS|AKT//aux//51 hanteras//VB|INF|SFO//acl:relcl//48 på//PP//case//55 ett//DT|NEU|SIN|IND//det//55 myndighetsövergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//55 sätt//NN|NEU|SIN|IND|NOM//obl//51 .//MAD//punct//45
4.3 Förstudiearbete under 2011;Resultatet//NN|NEU|SIN|DEF|NOM//nsubj:pass//61 från//PP//case//59 arbetet//NN|NEU|SIN|DEF|NOM//nmod//57 kan//VB|PRS|AKT//aux//61 användas//VB|INF|SFO//parataxis//45 för//PP//mark//64 att//IE//mark//64 föreslå//VB|INF|AKT//advcl//61 en//DT|UTR|SIN|IND//det//67 ny//JJ|POS|UTR|SIN|IND|NOM//amod//67 förstudie//NN|UTR|SIN|IND|NOM//obj//64 med//PP//case//72 ett//DT|NEU|SIN|IND//det//72 mer//AB|KOM//advmod//71 lösningsorienterat//PC|PRF|NEU|SIN|IND|NOM//amod//72 fokus//NN|NEU|SIN|IND|NOM//obl//64 .//MAD//punct//45
4.3 Förstudiearbete under 2011;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj//75 ligger//VB|PRS|AKT//parataxis//45 också//AB//advmod//75 i//PP//case//82 linje//NN|UTR|SIN|IND|NOM//fixed//77 med//PP//case//82 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//82 övergripande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//82 ambition//NN|UTR|SIN|IND|NOM//obl//75 att//SN//mark//86 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//86 ska//VB|PRS|AKT//aux//86 bli//VB|INF|AKT//ccomp//75 enklare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//86 ,//MID//punct//89 öppnare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//87 och//KN//cc//91 effektivare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//87 .//MAD//punct//25
4.3 Förstudiearbete under 2011;Förväntat//PC|PRF|NEU|SIN|IND|NOM//amod//1 resultat//NN|NEU|SIN|IND|NOM//nsubj//6 av//PP//case//3 arbetet//NN|NEU|SIN|DEF|NOM//nmod//1 är//VB|PRS|AKT//cop//6 en//DT|UTR|SIN|IND//det//6 redovisning//NN|UTR|SIN|IND|NOM//ROOT//6 av//PP//case//10 förvaltningens//NN|UTR|SIN|DEF|GEN//nmod:poss//10 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//10 lösningar//NN|UTR|PLU|IND|NOM//nmod//6 för//PP//case//12 meddelandehantering//NN|UTR|SIN|IND|NOM//nmod//10 inom//PP//case//14 Sverige//PM|NOM//nmod//12 och//KN//cc//17 valda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//17 länder//NN|NEU|PLU|IND|NOM//conj//12 .//MAD//punct//6
4.3 Förstudiearbete under 2011;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//22 kommer//VB|PRS|AKT//aux//22 att//IE//mark//22 utföras//VB|INF|SFO//parataxis//6 av//PP//case//25 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//25 arbetsutskott//NN|NEU|SIN|IND|NOM//obl//22 Vägledning//NN|UTR|SIN|IND|NOM//obj//22 för//PP//case//29 automatiserad//PC|PRF|UTR|SIN|IND|NOM//amod//29 samverkan//NN|UTR|SIN|IND|NOM//nmod//26 (//PAD//punct//26 VLAUTO//PM|NOM//appos//26 )//PAD//punct//26 och//KN//cc//34 avrapporteras//VB|PRS|SFO//conj//22 under//PP//case//37 våren//NN|UTR|SIN|DEF|NOM//nmod//37 2011//RG|NOM//obl//34 .//MAD//punct//6

4.4 Vägledningar;Delegationen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 tagit//VB|SUP|AKT//ROOT//2 fram//PL//compound:prt//2 och//KN//cc//5 håller//VB|PRS|AKT//conj//2 på//PL//compound:prt//5 att//IE//mark//8 ta//VB|INF|AKT//xcomp//5 fram//PL//compound:prt//8 vägledningar//NN|UTR|PLU|IND|NOM//obj//8 och//KN//cc//12 riktlinjer//NN|UTR|PLU|IND|NOM//conj//10 inom//PP//case//17 ramen//NN|UTR|SIN|DEF|NOM//fixed//13 för//PP//fixed//13 sitt//PS|NEU|SIN|DEF//nmod:poss//17 uppdrag//NN|NEU|SIN|IND|NOM//obl//8 .//MID//punct//2
4.4 Vägledningar;Samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//20 vägledningar//NN|UTR|PLU|IND|NOM//nsubj:pass//23 och//KN//cc//22 riktlinjer//NN|UTR|PLU|IND|NOM//conj//20 publiceras//VB|PRS|SFO//conj//2 löpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//23 på//PP//case//27 delegationens//NN|UTR|SIN|DEF|GEN//nmod:poss//27 webbplats//NN|UTR|SIN|IND|NOM//obl//23 .//MAD//punct//23
4.4 Vägledningar;För//PP//case//30 närvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//2 är//VB|PRS|AKT//cop//33 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//33 vägledningar//NN|UTR|PLU|IND|NOM//obj//2 och//KN//cc//35 riktlinjer//NN|UTR|PLU|IND|NOM//conj//33 aktuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 ://MAD//punct//2
4.4 Vägledningar;•//NN|UTR|SIN|IND|NOM//case//1 Vägledning//NN|UTR|SIN|IND|NOM//ROOT//1 för//PP//case//3 verksamhetsplanering//NN|UTR|SIN|IND|NOM//nmod//1 med//PP//case//8 avseende//NN|NEU|SIN|IND|NOM//fixed//4 på//PP//fixed//4  //_SP////6 e-förvaltning//NN|UTR|SIN|IND|NOM//nmod//3 (//PAD//punct//8 Version//PM|NOM//nmod//11 1.0//RG|NOM//appos//8 ,//MID//punct//13 2010-09-28//RG|NOM//conj//8 )//PAD//punct//1
4.4 Vägledningar;•//NN|UTR|SIN|IND|NOM//case//1 Vägledning//NN|UTR|SIN|IND|NOM//ROOT//1 för//PP//case//3 kanalstrategi//NN|UTR|SIN|IND|NOM//nmod//1 (//PAD//punct//1 Version//NN|UTR|SIN|IND|NOM//nmod//6 1.0//RG|NOM//appos//1 ,//MID//punct//9  //_SP////7 2010-09-28//RG|NOM//conj//1 )//PAD//punct//1
4.4 Vägledningar;•//NN|UTR|SIN|IND|NOM//case//1 Vägledning//NN|UTR|SIN|IND|NOM//ROOT//1 för//PP//case//3 införande//NN|NEU|SIN|IND|NOM//nmod//1 av//PP//case//5 IPv6//PM|NOM//nmod//3 (//PAD//punct//1 Version//PM|NOM//nmod//8 1.0//RG|NOM//appos//1 ,//MID//punct//11  //_SP////9 2010-10-22//RG|NOM//conj//1 )//PAD//punct//1
4.4 Vägledningar;•//NN|UTR|SIN|IND|NOM//case//1 Vägledning//NN|UTR|SIN|IND|NOM//ROOT//1 för//PP//case//3 införande//NN|NEU|SIN|IND|NOM//nmod//1 av//PP//case//5 DNSSEC//PM|NOM//nmod//3 (//PAD//punct//1 Version//PM|NOM//nmod//8 1.0//RG|NOM//appos//1 ,//MID//punct//11  //_SP////9 2010-10-22//RG|NOM//conj//1 )//PAD//punct//1
4.4 Vägledningar;•//NN|UTR|SIN|IND|NOM//nmod//1 Riktlinjer//NN|UTR|PLU|IND|NOM//ROOT//1 för//PP//case//4 myndigheters//NN|UTR|PLU|IND|GEN//nmod:poss//4 användning//NN|UTR|SIN|IND|NOM//nmod//1 av//PP//case//7 sociala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 medier//NN|NEU|PLU|IND|NOM//nmod//4 (//PAD//punct//1 Version//PM|NOM//nmod//10 1.0//RG|NOM//appos//1 ,//MID//punct//13  //_SP////11 2010-12-30//RG|NOM//conj//1 )//PAD//punct//1
4.4 Vägledningar;•//NN|UTR|SIN|IND|NOM//case//1 Vägledning//NN|UTR|SIN|IND|NOM//ROOT//1 för//PP//case//4 automatiserad//PC|PRF|UTR|SIN|IND|NOM//amod//4 samverkan//NN|UTR|SIN|IND|NOM//nmod//1 (//PAD//punct//4 Version//PM|NOM//nmod//7 1.0//RG|NOM//appos//4 ,//MID//punct//10  //_SP////8 2011-01-27//RG|NOM//conj//1 )//PAD//punct//1
4.4 Vägledningar;För//PP//case//1 närvarande//NN|NEU|SIN|IND|NOM//obl//2 pågår//VB|PRS|AKT//ROOT//2 arbetet//NN|NEU|SIN|DEF|NOM//nsubj//2 med//PP//mark//6 att//IE//mark//6 ta//VB|INF|AKT//advcl//2 fram//PL//compound:prt//6 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 vägledningar//NN|UTR|PLU|IND|NOM//obj//6 ://MAD//punct//2
4.4 Vägledningar;•//NN|UTR|SIN|IND|NOM//nmod//1 Terminologi//NN|UTR|SIN|IND|NOM//ROOT//1 (//PAD//punct//1 klar//JJ|POS|UTR|SIN|IND|NOM//appos//1 till//PP//case//6 våren//NN|UTR|SIN|DEF|NOM//nmod//6 2011//RG|NOM//obl//3 )//PAD//punct//1
4.4 Vägledningar;•//NN|UTR|SIN|IND|NOM//case//1 Vägledning//NN|UTR|SIN|IND|NOM//ROOT//1 för//PP//case//3 behovsanalys//NN|UTR|SIN|IND|NOM//nmod//1 (//PAD//punct//1 klar//JJ|POS|UTR|SIN|IND|NOM//amod//1 i//PP//case//7 slutet//NN|NEU|SIN|DEF|NOM//obl//5 av//PP//case//9 juni//NN|UTR|SIN|IND|NOM//nmod//7 2011//RG|NOM//nummod//9 )//PAD//punct//1
4.4 Vägledningar;•//NN|UTR|SIN|IND|NOM//case//1 Vägledning//NN|UTR|SIN|IND|NOM//ROOT//1 i//PP//case//3 nyttorealisering//NN|UTR|SIN|IND|NOM//nmod//1 (//PAD//punct//1 öppen//JJ|POS|UTR|SIN|IND|NOM//amod//6 remiss//NN|UTR|SIN|IND|NOM//appos//1 ,//MID//punct//9  //_SP////7 2011-02-09//RG|NOM//conj//6 )//PAD//punct//1
