Fi 2003/508;2003-05-22//RG|NOM//ROOT//0
Allmänt om förslaget;Något//DT|NEU|SIN|IND//det//17 behov//NN|NEU|SIN|IND|NOM//nsubj//21 av//PP//case//20 en//DT|UTR|SIN|IND//det//20 dämpningsregel//NN|UTR|SIN|IND|NOM//nmod//17 finns//VB|PRS|SFO//ROOT//21 inte//AB//advmod//21 eftersom//SN//mark//25 begränsningsregeln//NN|UTR|SIN|DEF|NOM//nsubj//25 ger//VB|PRS|AKT//advcl//21 ett//DT|NEU|SIN|IND//det//28 gott//JJ|POS|NEU|SIN|IND|NOM//amod//28 skydd//NN|NEU|SIN|IND|NOM//obj//25 mot//PP//case//33 de//DT|UTR/NEU|PLU|DEF//det//33 eventuella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 negativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 effekter//NN|UTR|PLU|IND|NOM//obl//25 som//HP|-|-|-//obl//37 fastighetsskatten//NN|UTR|SIN|DEF|NOM//nsubj//37 kan//VB|PRS|AKT//aux//37 ge//VB|INF|AKT//acl:relcl//33 upphov//NN|NEU|SIN|IND|NOM//obj//37 till//PP//case//34 .//MAD//punct//21
Allmänt om förslaget;Fastighetsägarna//NN|UTR|PLU|DEF|NOM//nmod//1 Sverige//PM|NOM//ROOT//1 ://MID//punct//1
Allmänt om förslaget; //_SP////2 Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//5 visar//VB|PRS|AKT//acl:relcl//1 på//PP//case//9 det//DT|NEU|SIN|DEF//det//9 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//9 problemet//NN|NEU|SIN|DEF|NOM//obl//5 i//PP//case//11 fastighetsskattesystemet//NN|NEU|SIN|DEF|NOM//nmod//9 ,//MID//punct//18 nämligen//AB//advmod//18 att//SN//mark//18 fastighetsskatten//NN|UTR|SIN|DEF|NOM//nsubj//18 är//VB|PRS|AKT//cop//18 en//DT|UTR|SIN|IND//det//18 objektsskatt//NN|UTR|SIN|IND|NOM//conj//1 som//HP|-|-|-//nsubj:pass//20 tas//VB|PRS|SFO//acl:relcl//18 ut//PL//compound:prt//20 utan//PP//case//23 hänsyn//NN|UTR|SIN|IND|NOM//obl//20 till//PP//case//25 bärkraft//NN|UTR|SIN|IND|NOM//obl//20 .//MAD//punct//1
Allmänt om förslaget;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//28 ger//VB|PRS|AKT//parataxis//1 ingen//DT|UTR|SIN|IND//det//31 långsiktig//JJ|POS|UTR|SIN|IND|NOM//amod//31 lösning//NN|UTR|SIN|IND|NOM//obj//28 utan//KN//cc//33 framstår//VB|PRS|AKT//conj//28 som//KN//mark//36 ytterligare//AB|KOM//advmod//36 en//RG|UTR|SIN|IND|NOM//xcomp//33 i//PP//case//38 raden//NN|UTR|SIN|DEF|NOM//obl//33 av//PP//case//40 lappverkslösningar//NN|UTR|PLU|IND|NOM//nmod//38 .//MAD//punct//28
Allmänt om förslaget;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//45 bör//VB|PRS|AKT//aux//45 snarast//AB|SUV//advmod//45 presentera//VB|INF|AKT//conj//28 ett//DT|NEU|SIN|IND//det//47 förslag//NN|NEU|SIN|IND|NOM//obj//45 där//HA//advmod//56 de//DT|UTR/NEU|PLU|DEF//det//51 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//51 frågorna//NN|UTR|PLU|DEF|NOM//nsubj//56 om//PP//case//53 neutralitet//NN|UTR|SIN|IND|NOM//nmod//51 och//KN//cc//55 bärkraft//NN|UTR|SIN|IND|NOM//conj//53 får//VB|PRS|AKT//acl:relcl//47 sin//PS|UTR|SIN|DEF//nmod:poss//58 lösning//NN|UTR|SIN|IND|NOM//obj//56 för//PP//case//61 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//61 upplåtelseformer//NN|UTR|PLU|IND|NOM//obl//56 .//MAD//punct//28
Allmänt om förslaget;Näringslivets//NN|NEU|SIN|DEF|GEN//nmod:poss//1 skattedelegation//NN|UTR|SIN|IND|NOM//dislocated//8 ://MID//punct//1
Allmänt om förslaget; //_SP////2 Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//8 är//VB|PRS|AKT//cop//8 bara//AB//advmod//8 ett//DT|NEU|SIN|IND//det//8 försök//NN|NEU|SIN|IND|NOM//ROOT//8 att//IE//mark//10 komma//VB|INF|AKT//acl//8 ifrån//PL//compound:prt//10 det//DT|NEU|SIN|DEF//det//14 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 problemet//NN|NEU|SIN|DEF|NOM//obj//10 ,//MID//punct//14 att//SN//mark//18 många//PN|UTR/NEU|PLU|IND|SUB/OBJ//nsubj//18 upplever//VB|PRS|AKT//csubj//8 skatten//NN|UTR|SIN|DEF|NOM//obj//18 som//KN//mark//21 oskälig//JJ|POS|UTR|SIN|IND|NOM//acl//19 och//KN//cc//23 orättvis//JJ|POS|UTR|SIN|IND|NOM//conj//21 genom//PP//case//27 det//DT|NEU|SIN|DEF//det//27 höga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//27 skatteuttaget//NN|NEU|SIN|DEF|NOM//obl//18 .//MAD//punct//8
Allmänt om förslaget;HSB//PM|NOM//nsubj//19 ://MID//punct//0 s//PM|NOM//case//3 Riksförbund//NN|NEU|SIN|IND|NOM//dep//7 ://MID//punct//3
Allmänt om förslaget; //_SP////4 Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//7 finns//VB|PRS|SFO//parataxis//0 ett//DT|NEU|SIN|IND//det//9 behov//NN|NEU|SIN|IND|NOM//nsubj//7 av//PP//case//12 en//DT|UTR|SIN|IND//det//12 utjämning//NN|UTR|SIN|IND|NOM//nmod//9 av//PP//case//14 skatteuttaget//NN|NEU|SIN|DEF|NOM//nmod//12 .//MAD//punct//7
Allmänt om förslaget;Den//DT|UTR|SIN|DEF//det//18 föreslagna//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//18 bestämmelsen//NN|UTR|SIN|DEF|NOM//nsubj//19 ger//VB|PRS|AKT//ROOT//19 emellertid//AB//advmod//19 en//DT|UTR|SIN|IND//det//22 utjämning//NN|UTR|SIN|IND|NOM//obj//19 över//PP//case//27 en//DT|UTR|SIN|IND//det//27 alltför//AB//advmod//26 kort//JJ|POS|UTR|SIN|IND|NOM//amod//27 tid//NN|UTR|SIN|IND|NOM//nmod//22 .//MAD//punct//19
Allmänt om förslaget;Underlaget//NN|NEU|SIN|DEF|NOM//nsubj:pass//35 för//PP//case//31 beskattning//NN|UTR|SIN|IND|NOM//nmod//29 av//PP//case//33 bostäder//NN|UTR|PLU|IND|NOM//nmod//31 bör//VB|PRS|AKT//aux//35 beräknas//VB|INF|SFO//parataxis//19 som//KN//case//39 ett//DT|NEU|SIN|IND//det//39 rullande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//39 genomsnitt//NN|NEU|SIN|IND|NOM//obl//35 för//PP//case//43 ett//DT|NEU|SIN|IND//det//42 antal//NN|NEU|SIN|IND|NOM//nmod//43 fastighetstaxeringar//NN|UTR|PLU|IND|NOM//nmod//39 under//PP//case//47 en//DT|UTR|SIN|IND//det//46 tidsperiod//NN|UTR|SIN|IND|NOM//obl//47 motsvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//obl//35 en//DT|UTR|SIN|IND//det//49 konjunkturcykel//NN|UTR|SIN|IND|NOM//obj//47 ,//MID//punct//35 dvs.//AB|AN//advmod//54 ca//AB|AN//advmod//53 nio//RG|NOM//nummod//54 år//NN|NEU|PLU|IND|NOM//appos//35 .//MAD//punct//19
Allmänt om förslaget;Dämpningsregeln//NN|UTR|SIN|DEF|NOM//nsubj//59 bör//VB|PRS|AKT//aux//59 även//AB//advmod//59 innefatta//VB|INF|AKT//parataxis//19 inkomstbeskattningen//NN|UTR|SIN|DEF|NOM//obj//59 för//PP//mark//64 att//IE//mark//64 vara//VB|INF|AKT//cop//64 neutral//JJ|POS|UTR|SIN|IND|NOM//advcl//59 .//MID//punct//59
Allmänt om förslaget;När//HA//mark//69 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//69 bara//AB//advmod//69 omfattar//VB|PRS|AKT//advcl//71 fastighetsskatten//NN|UTR|SIN|DEF|NOM//obj//69 betyder//VB|PRS|AKT//conj//19 det//PN|NEU|SIN|DEF|SUB/OBJ//obj//71 för//PP//case//74 bostadsrättsföreningar//NN|UTR|PLU|IND|NOM//obl//71 att//SN//mark//78 den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj//78 endast//AB//advmod//78 avser//VB|PRS|AKT//acl//74 en//DT|UTR|SIN|IND//det//80 del//NN|UTR|SIN|IND|NOM//obj//78 av//PP//case//84 den//DT|UTR|SIN|DEF//det//84 löpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//84 beskattningen//NN|UTR|SIN|DEF|NOM//nmod//80 .//MAD//punct//19
Allmänt om förslaget;I//PP//case//87 slutbetänkandet//NN|NEU|SIN|DEF|NOM//obl//90 bör//VB|PRS|AKT//aux//90 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//90 finnas//VB|INF|SFO//conj//19 en//DT|UTR|SIN|IND//det//93 sådan//JJ|POS|UTR|SIN|IND|NOM//amod//93 modell//NN|UTR|SIN|IND|NOM//nsubj//90 .//MAD//punct//19
Allmänt om förslaget;Hyresgästernas//NN|UTR|PLU|DEF|GEN//nmod:poss//1 Riksförbund//NN|NEU|SIN|IND|NOM//dep//5 ://MID//punct//1
Allmänt om förslaget; //_SP////2 Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//5 krävs//VB|PRS|SFO//ROOT//5 mer//AB|KOM//advmod//7 genomgripande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 förändringar//NN|UTR|PLU|IND|NOM//nsubj:pass//5 för//PP//mark//11 att//IE//mark//11 uppnå//VB|INF|AKT//acl//8 neutrala//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//13 villkor//NN|NEU|PLU|IND|NOM//obj//11 mellan//PP//case//15 upplåtelseformerna//NN|UTR|PLU|DEF|NOM//obl//11 .//MAD//punct//5
Allmänt om förslaget;SBC//PM|NOM//nmod//1 Bostadsrättscentrum//PM|NOM//dep//6 ://MID//punct//1
Allmänt om förslaget; //_SP////2 Reglerna//NN|UTR|PLU|DEF|NOM//nsubj//6 bör//VB|PRS|AKT//aux//6 omfatta//VB|INF|AKT//ROOT//6 en//DT|UTR|SIN|IND//det//8 period//NN|UTR|SIN|IND|NOM//obj//6 av//PP//case//11 nio//RG|NOM//nummod//11 år//NN|NEU|PLU|IND|NOM//nmod//8 för//PP//mark//14 att//IE//mark//14 undvika//VB|INF|AKT//advcl//6 toppar//NN|UTR|PLU|IND|NOM//obj//14 och//KN//cc//17 bottnar//NN|UTR|PLU|IND|NOM//conj//15 i//PP//case//19 fastighetspriserna//NN|UTR|PLU|DEF|NOM//obl//14 .//MAD//punct//6
Allmänt om förslaget;Kommittén//NN|UTR|SIN|DEF|NOM//nsubj//24 har//VB|PRS|AKT//aux//24 inte//AB//advmod//24 beaktat//VB|SUP|AKT//parataxis//6 bostadsrättsföreningarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//26 skattesituation//NN|UTR|SIN|IND|NOM//obj//24 .//MAD//punct//6
Allmänt om förslaget;Föreningarna//NN|UTR|PLU|DEF|NOM//nsubj//29 betalar//VB|PRS|AKT//parataxis//6 utöver//PP//case//31 fastighetsskatt//NN|UTR|SIN|IND|NOM//obl//29 även//AB//advmod//33 inkomstskatt//NN|UTR|SIN|IND|NOM//obl//29 som//HP|-|-|-//nsubj//36 är//VB|PRS|AKT//aux:pass//36 baserad//PC|PRF|UTR|SIN|IND|NOM//acl:relcl//33 på//PP//case//38 taxeringsvärdet//NN|NEU|SIN|DEF|NOM//obl//36 .//MAD//punct//29
Allmänt om förslaget;Dämpningsregeln//NN|UTR|SIN|DEF|NOM//nsubj//43 bör//VB|PRS|AKT//aux//43 även//AB//advmod//43 innefatta//VB|INF|AKT//conj//29 inkomstbeskattningen//NN|UTR|SIN|DEF|NOM//obj//43 .//MAD//punct//29
Allmänt om förslaget;Sveriges//PM|GEN//nmod:poss//1 Jordägareförbund//NN|NEU|SIN|IND|NOM//nsubj//7 ://MID//punct//1
Allmänt om förslaget; //_SP////2 Fastighetskatten//NN|UTR|SIN|DEF|NOM//nmod//1 är//VB|PRS|AKT//cop//7 principiellt//AB|POS//advmod//7 felaktig//JJ|POS|UTR|SIN|IND|NOM//ROOT//7 .//MAD//punct//7
Allmänt om förslaget;Den//PN|UTR|SIN|DEF|SUB/OBJ//nsubj:pass//10 tas//VB|PRS|SFO//parataxis//7 ut//PL//compound:prt//10 på//PP//case//14 fiktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//14 inkomster//NN|UTR|PLU|IND|NOM//obl//10 och//KN//cc//16 strider//NN|UTR|PLU|IND|NOM//conj//14 mot//PP//case//18 principen//NN|UTR|SIN|DEF|NOM//nmod//16 om//PP//case//20 skatt//NN|UTR|SIN|IND|NOM//nmod//18 efter//PP//case//22 bärkraft//NN|UTR|SIN|IND|NOM//nmod//20 .//MAD//punct//10
Allmänt om förslaget;Dämpningsregeln//NN|UTR|SIN|DEF|NOM//nsubj//25 utgör//VB|PRS|AKT//parataxis//10 ännu//AB//advmod//27 ett//DT|NEU|SIN|IND//det//28 exempel//NN|NEU|SIN|IND|NOM//obj//25 på//PP//mark//41 hur//HA//advmod//41 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//41 i//PP//case//34 sin//PS|UTR|SIN|DEF//nmod:poss//34 strävan//NN|UTR|SIN|IND|NOM//nmod//31 att//IE//mark//36 behålla//VB|INF|AKT//acl//34 en//DT|UTR|SIN|IND//det//40 principiellt//AB|POS//advmod//39 felaktig//JJ|POS|UTR|SIN|IND|NOM//amod//40 beskattningsform//NN|UTR|SIN|IND|NOM//obj//36 söker//VB|PRS|AKT//acl//28 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//43 modifieringar//NN|UTR|PLU|IND|NOM//obj//41 i//PP//case//45 syfte//NN|NEU|SIN|IND|NOM//obl//41 att//IE//mark//60 lappa//VB|INF|AKT//nsubj:pass//60 och//KN//cc//49 laga//VB|INF|AKT//conj//47 .//MAD//punct//47
Allmänt om förslaget;I//PP//case//52 avvaktan//NN|UTR|SIN|IND|NOM//obl//60 på//PP//case//56 en//DT|UTR|SIN|IND//det//56 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//56 reform//NN|UTR|SIN|IND|NOM//nmod//52 kan//VB|PRS|AKT//aux//60 förslaget//NN|NEU|SIN|DEF|NOM//nsubj:pass//60 dock//AB//advmod//60 läggas//VB|INF|SFO//advcl//41 till//PP//case//64 grund//NN|UTR|SIN|IND|NOM//fixed//61 för//PP//fixed//61 lagstiftning//NN|UTR|SIN|IND|NOM//obl//60 .//MAD//punct//7
Allmänt om förslaget;Villaägarnas//NN|UTR|PLU|DEF|GEN//nmod:poss//1 Riksförbund//NN|NEU|SIN|IND|NOM//nsubj//16 ://MID//punct//1
Allmänt om förslaget; //_SP////2 För//PP//case//5 villaägare//NN|UTR|PLU|IND|NOM//nmod//1 som//HP|-|-|-//nsubj//7 står//VB|PRS|AKT//acl:relcl//5 inför//PP//case//9 hotet//NN|NEU|SIN|DEF|NOM//obl//7 att//IE//mark//11 tvingas//VB|INF|SFO//advcl//7 flytta//VB|INF|AKT//xcomp//11 är//VB|PRS|AKT//cop//16 dämpningsregeln//NN|UTR|SIN|DEF|NOM//nsubj//16 ingen//DT|UTR|SIN|IND//det//16 lösning//NN|UTR|SIN|IND|NOM//ROOT//16 .//MAD//punct//16
Allmänt om förslaget;Det//DT|NEU|SIN|DEF//det//20 grundläggande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//20 problemet//NN|NEU|SIN|DEF|NOM//nsubj//21 är//VB|PRS|AKT//parataxis//16 att//SN//mark//28 den//DT|UTR|SIN|DEF//det//25 löpande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//25 beskattningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//28 på//PP//case//27 boendet//NN|NEU|SIN|DEF|NOM//nmod//25 grundas//VB|PRS|SFO//ccomp//21 på//PP//case//31 fiktiva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//31 inkomster//NN|UTR|PLU|IND|NOM//obl//28 .//MAD//punct//21
Allmänt om förslaget;Fastighetsskatten//NN|UTR|SIN|DEF|NOM//nsubj:pass//39 och//KN//cc//35 förmögenhetsskatten//NN|UTR|SIN|DEF|NOM//conj//33 på//PP//case//37 boendet//NN|NEU|SIN|DEF|NOM//nmod//35 måste//VB|PRS|AKT//aux//39 slopas//VB|INF|SFO//parataxis//21 .//MAD//punct//16
Allmänt om förslaget;Dämpningsregeln//NN|UTR|SIN|DEF|NOM//nsubj//43 är//VB|PRS|AKT//cop//43 otillräcklig//JJ|POS|UTR|SIN|IND|NOM//parataxis//16 och//KN//cc//47 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//47 måste//VB|PRS|AKT//aux//47 göra//VB|INF|AKT//conj//43 något//PN|NEU|SIN|IND|SUB/OBJ//obj//47 nu//AB//advmod//47 för//PP//mark//52 att//IE//mark//52 lindra//VB|INF|AKT//advcl//47 beskattningen//NN|UTR|SIN|DEF|NOM//obj//52 .//MAD//punct//43
Allmänt om förslaget;Dämpningsregeln//NN|UTR|SIN|DEF|NOM//nsubj//58 måste//VB|PRS|AKT//aux//58 även//AB//advmod//58 omfatta//VB|INF|AKT//conj//43 förmögenhetsskatten//NN|UTR|SIN|DEF|NOM//obj//58 .//MAD//punct//43

