Ny instansordning för va-målen ;Betänkande//NN|NEU|SIN|IND|NOM//ROOT//0 av//PP//case//2 Va-nämndsutredningen//NN|UTR|SIN|DEF|NOM//nmod//0
2.2.1 Va-lagstiftningens utveckling / 2.2.2 2006 års lagstiftning;En//DT|UTR|SIN|IND//det//176 del//NN|UTR|SIN|IND|NOM//nmod//177 förfaranden//NN|NEU|PLU|IND|NOM//nsubj//179 torde//VB|PRT|AKT//aux//179 strida//VB|INF|AKT//parataxis//138 direkt//AB|POS//advmod//179 mot//PP//case//184 lagens//NN|UTR|SIN|DEF|GEN//nmod:poss//184 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//184 regel//NN|UTR|SIN|IND|NOM//obl//179 om//PP//mark//189 hur//HA//advmod//189 anläggningen//NN|UTR|SIN|DEF|NOM//nsubj:pass//189 får//VB|PRS|AKT//aux//189 användas//VB|INF|SFO//advcl//179 .//MAD//punct//179
2.2.1 Va-lagstiftningens utveckling / 2.2.2 2006 års lagstiftning;Som//KN//mark//194 exempel//NN|NEU|SIN|IND|NOM//nsubj:pass//194 kan//VB|PRS|AKT//aux//194 nämnas//VB|INF|SFO//advcl//179 ett//DT|NEU|SIN|IND//det//197 uppsåtligt//JJ|POS|NEU|SIN|IND|NOM//amod//197 utsläpp//NN|NEU|SIN|IND|NOM//nsubj:pass//194 av//PP//case//199 olja//NN|UTR|SIN|IND|NOM//nmod//197 i//PP//case//201 avloppet//NN|NEU|SIN|DEF|NOM//obl//194 .//MAD//punct//179
2.2.1 Va-lagstiftningens utveckling / 2.2.2 2006 års lagstiftning;I//PP//advmod//179 övrigt//JJ|POS|NEU|SIN|IND|NOM//fixed//203 beror//VB|PRS|AKT//conj//179 ansvaret//NN|NEU|SIN|DEF|NOM//obj//205 på//PP//case//210 vilka//HD|UTR/NEU|PLU|IND//det//210 närmare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//210 föreskrifter//NN|UTR|PLU|IND|NOM//obl//205 som//HP|-|-|-//obj//213 kommunen//NN|UTR|SIN|DEF|NOM//nsubj//213 meddelat//VB|SUP|AKT//acl:relcl//210 med//PP//case//215 stöd//NN|NEU|SIN|IND|NOM//obl//213 av//PP//case//217 lagen//NN|UTR|SIN|DEF|NOM//nmod//215 .//MAD//punct//4
2.2.1 Va-lagstiftningens utveckling / 2.2.2 2006 års lagstiftning;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//222 är//VB|PRS|AKT//cop//222 fastighetsägarens//NN|UTR|SIN|DEF|GEN//nmod:poss//222 ansvar//NN|NEU|SIN|IND|NOM//parataxis//4 att//IE//mark//224 vidta//VB|INF|AKT//acl//222 de//DT|UTR/NEU|PLU|DEF//det//226 åtgärder//NN|UTR|PLU|IND|NOM//obj//224 som//HP|-|-|-//nsubj:pass//228 krävs//VB|PRS|SFO//acl:relcl//226 för//PP//mark//231 att//IE//mark//231 följa//VB|INF|AKT//advcl//228 föreskrifterna//NN|UTR|PLU|DEF|NOM//obj//231 och//KN//cc//234 ansvaret//NN|NEU|SIN|DEF|NOM//conj//232 inträder//VB|PRS|AKT//conj//222 vid//PP//case//237 överträdelser//NN|UTR|PLU|IND|NOM//obl//235 oberoende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//mark//243 av//PP//fixed//238 om//SN//mark//243 fastighetsägaren//NN|UTR|SIN|DEF|NOM//nsubj//243 varit//VB|SUP|AKT//cop//243 vållande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advcl//235 i//PP//case//247 det//DT|NEU|SIN|DEF//det//247 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//247 fallet//NN|NEU|SIN|DEF|NOM//obl//243 .//MAD//punct//222
2.2.1 Va-lagstiftningens utveckling / 2.2.2 2006 års lagstiftning;Förutom//PP//case//250 regler//NN|UTR|PLU|IND|NOM//obl//253 om//PP//case//252 skadestånd//NN|NEU|SIN|IND|NOM//nmod//250 innehåller//VB|PRS|AKT//parataxis//222 vattentjänstlagen//NN|UTR|SIN|DEF|NOM//nsubj//253 även//AB//advmod//253 möjligheter//NN|UTR|PLU|IND|NOM//obj//253 att//IE//mark//258 kräva//VB|INF|AKT//acl//256 rättelse//NN|UTR|SIN|IND|NOM//obj//258 eller//KN//cc//261 fullgörelse//NN|UTR|SIN|IND|NOM//conj//259 .//MID//punct//222
2.2.1 Va-lagstiftningens utveckling / 2.2.2 2006 års lagstiftning;Skadeståndsmål//NN|NEU|SIN|IND|NOM//nsubj//266 är//VB|PRS|AKT//cop//266 tämligen//AB//advmod//266 frekventa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//parataxis//222 hos//PP//case//268 va-nämnden//NN|UTR|SIN|DEF|NOM//obl//266 och//KN//cc//273 är//VB|PRS|AKT//cop//273 ofta//AB|POS//advmod//273 de//DT|UTR/NEU|PLU|DEF//det//273 mål//NN|NEU|PLU|IND|NOM//conj//266 som//HP|-|-|-//nsubj//275 tar//VB|PRS|AKT//acl:relcl//273 längst//JJ|SUV|UTR/NEU|SIN/PLU|IND|NOM//amod//277 tid//NN|UTR|SIN|IND|NOM//obj//275 att//IE//mark//279 handlägga//VB|INF|AKT//acl//277 .//MAD//punct//266
2.2.1 Va-lagstiftningens utveckling / 2.2.2 2006 års lagstiftning;Här//AB//advmod//285 är//VB|PRS|AKT//cop//285 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//285 inte//AB//advmod//285 ovanligt//JJ|POS|NEU|SIN|IND|NOM//conj//266 med//PP//case//289 såväl//KN//advmod//289 muntlig//JJ|POS|UTR|SIN|IND|NOM//amod//289 förberedelse//NN|UTR|SIN|IND|NOM//nmod//285 som//KN//mark//291 huvudförhandling//NN|UTR|SIN|IND|NOM//nmod//289 på//PP//case//294 den//DT|UTR|SIN|DEF//det//294 ort//NN|UTR|SIN|IND|NOM//nmod//291 där//HA//advmod//298 fastigheten//NN|UTR|SIN|DEF|NOM//nsubj//298 är//VB|PRS|AKT//cop//298 belägen//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//294 .//MAD//punct//266
2.2.1 Va-lagstiftningens utveckling / 2.2.2 2006 års lagstiftning;Skadeståndsmål//NN|NEU|SIN|IND|NOM//nsubj//301 involverar//VB|PRS|AKT//parataxis//266 ofta//AB|POS//advmod//301 tekniska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//304 frågor//NN|UTR|PLU|IND|NOM//obj//301 om//PP//case//307 skadans//NN|UTR|SIN|DEF|GEN//nmod:poss//307 uppkomst//NN|UTR|SIN|IND|NOM//nmod//304 och//KN//cc//309 ansvaret//NN|NEU|SIN|DEF|NOM//conj//307 för//PP//case//311 skadeförloppet//NN|NEU|SIN|DEF|NOM//nmod//309 samt//KN//cc//313 frågor//NN|UTR|PLU|IND|NOM//conj//311 om//PP//case//316 skadeståndets//NN|NEU|SIN|DEF|GEN//nmod:poss//316 storlek//NN|UTR|SIN|IND|NOM//nmod//313 och//KN//cc//319 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//319 frågor//NN|UTR|PLU|IND|NOM//conj//316 som//HP|-|-|-//nsubj//322 är//VB|PRS|AKT//cop//322 typiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//319 för//PP//case//324 skadeståndsrätten//NN|UTR|SIN|DEF|NOM//obl//322 som//KN//mark//326 kausalitet//NN|UTR|SIN|IND|NOM//obl//322 och//KN//cc//328 medvållande//NN|NEU|SIN|IND|NOM//conj//326 .//MAD//punct//266

2.3 Målens fördelning i riket;Underlaget//NN|NEU|SIN|DEF|NOM//nsubj:pass//5 till//PP//case//3 nedanstående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//3 tabeller//NN|UTR|PLU|IND|NOM//nmod//0 har//VB|PRS|AKT//aux//5 inhämtats//VB|SUP|SFO//ROOT//5 ur//PP//case//8 Va-nämndens//NN|UTR|SIN|DEF|GEN//nmod:poss//8 register//NN|NEU|SIN|IND|NOM//obl//5 och//KN//cc//10 beslutspärmar//NN|UTR|PLU|IND|NOM//conj//8 .//MAD//punct//5
2.3 Målens fördelning i riket;Tabellerna//NN|UTR|PLU|DEF|NOM//nsubj//13 gör//VB|PRS|AKT//parataxis//5 inte//AB//advmod//13 anspråk//NN|NEU|SIN|IND|NOM//obj//13 på//PP//mark//20 att//IE//mark//20 vara//VB|INF|AKT//cop//20 helt//AB|POS//advmod//20 exakta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//advcl//13 men//KN//cc//24 bör//VB|PRS|AKT//aux//24 ändå//AB//advmod//24 ge//VB|INF|AKT//conj//13 en//DT|UTR|SIN|IND//det//26 fingervisning//NN|UTR|SIN|IND|NOM//obj//24 om//PP//mark//67 från//PP//case//30 vilka//HD|UTR/NEU|PLU|IND//det//30 delar//NN|UTR|PLU|IND|NOM//obl//67 av//PP//case//32 landet//NN|NEU|SIN|DEF|NOM//nmod//30 som//HP|-|-|-//obj//37 de//DT|UTR/NEU|PLU|DEF//det//36 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//amod//36 ansökningar//NN|UTR|PLU|IND|NOM//nsubj//37 kommer//VB|PRS|AKT//acl:relcl//30 och//KN//cc//43 var//VB|PRT|AKT//advmod//43 de//DT|UTR/NEU|PLU|DEF//det//42 flesta//JJ|SUV|UTR/NEU|PLU|DEF|NOM//amod//42 förberedelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//43 hålls//VB|PRS|SFO//conj//37 .//MAD//punct//37
2.3 Målens fördelning i riket;Under//PP//case//47 åren//NN|NEU|PLU|DEF|NOM//nmod//47 2008–2010//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//50 har//VB|PRS|AKT//aux//50 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//50 kommit//VB|SUP|AKT//conj//37 in//PL//compound:prt//50 ansökningar//NN|UTR|PLU|IND|NOM//obj//50 från//PP//case//54 fastighetsägare//NN|UTR|PLU|IND|NOM//obl//50 och//KN//cc//56 huvudmän//NN|UTR|PLU|IND|NOM//conj//54 i//PP//case//58 159//RG|NOM//nmod//56 av//PP//case//62 Sveriges//PM|GEN//nmod:poss//62 290//RG|NOM//nummod//62 kommuner//NN|UTR|PLU|IND|NOM//nmod//58 .//MAD//punct//37
2.3 Målens fördelning i riket;Beträffande//PP//case//66 antalet//NN|NEU|SIN|DEF|NOM//nmod//66 ansökningar//NN|UTR|PLU|IND|NOM//obl//67 har//VB|PRS|AKT//advcl//24 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj//67 i//PP//case//71 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//71 fall//NN|NEU|PLU|IND|NOM//obl//74 i//PP//case//73 tabellen//NN|UTR|SIN|DEF|NOM//nmod//71 angetts//VB|SUP|SFO//advcl//67 till//PP//case//78 ett//DT|NEU|SIN|IND//det//78 lägre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//78 antal//NN|NEU|SIN|IND|NOM//obl//74 än//KN//mark//80 vad//HP|NEU|SIN|IND//dislocated//83 som//HP|-|-|-//nsubj:pass//83 faktiskt//AB|POS//advmod//83 registrerats//VB|SUP|SFO//acl:relcl//78 .//MID//punct//13
2.3 Målens fördelning i riket;Skälet//NN|NEU|SIN|DEF|NOM//nsubj:pass//106 till//PP//case//87 detta//PN|NEU|SIN|DEF|SUB/OBJ//nmod//85 är//VB|PRS|AKT//cop//85 att//SN//mark//94 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//94 i//PP//case//93 dessa//DT|UTR/NEU|PLU|DEF//det//93 fall//NN|NEU|PLU|IND|NOM//obl//94 kommit//VB|SUP|AKT//csubj//85 in//PL//compound:prt//94 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//97 mål//NN|NEU|PLU|IND|NOM//obj//94 avseende//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//case//100 samma//DT|UTR/NEU|SIN/PLU|IND//det//100 fråga//NN|UTR|SIN|IND|NOM//obl//94 och//KN//cc//103 samma//DT|UTR/NEU|SIN/PLU|IND//det//103 kommun//NN|UTR|SIN|IND|NOM//conj//100 .//MAD//punct//106
2.3 Målens fördelning i riket;Ansökningarna//NN|UTR|PLU|DEF|NOM//nsubj:pass//106 registreras//VB|PRS|SFO//advcl//13 som//KN//case//109 ett//DT|NEU|SIN|IND//det//109 mål//NN|NEU|SIN|IND|NOM//obl//106 för//PP//case//112 varje//DT|UTR/NEU|SIN|IND//det//112 fastighet//NN|UTR|SIN|IND|NOM//nmod//109 men//KN//cc//117 om//SN//mark//117 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//117 är//VB|PRS|AKT//cop//117 snarlika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//106 eller//KN//cc//119 likalydande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//117 kan//VB|PRS|AKT//aux//123 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//123 ofta//AB|POS//advmod//123 handläggas//VB|INF|SFO//conj//5 gemensamt//AB|POS//advmod//123 bl.a.//AB|AN//advmod//123 vad//HP|NEU|SIN|IND//nsubj//127 avser//VB|PRS|AKT//advcl//123 förberedelser//NN|UTR|PLU|IND|NOM//obj//127 och//KN//cc//130 senare//AB|KOM//advmod//132 också//AB//advmod//132 beslut//NN|NEU|PLU|IND|NOM//conj//128 .//MAD//punct//5
2.3 Målens fördelning i riket;Att//IE//mark//136 då//AB//advmod//136 ange//VB|INF|AKT//csubj//141 alla//DT|UTR/NEU|PLU|IND/DEF//det//139 inkomna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//139 mål//NN|NEU|PLU|IND|NOM//obj//136 kan//VB|PRS|AKT//aux//141 bli//VB|INF|AKT//conj//5 missvisande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//xcomp//141 eftersom//SN//mark//148 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//148 ett//RG|NEU|SIN|IND|NOM//det//146 år//NN|NEU|SIN|IND|NOM//obl//148 kan//VB|PRS|AKT//aux//148 komma//VB|INF|AKT//advcl//141 in//PL//compound:prt//148 t.ex.//AB|AN//advmod//148 50//RG|NOM//nummod//153 likadana//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//153 mål//NN|NEU|PLU|IND|NOM//obj//148 från//PP//case//156 en//DT|UTR|SIN|IND//det//156 kommun//NN|UTR|SIN|IND|NOM//nmod//153 som//HP|-|-|-//nsubj//160 normalt//AB|POS//advmod//160 inte//AB//advmod//160 brukar//VB|PRS|AKT//acl:relcl//156 generera//VB|INF|AKT//xcomp//160 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//163 mål//NN|NEU|PLU|IND|NOM//obj//161 .//MAD//punct//5
2.3 Målens fördelning i riket;Förberedelserna//NN|UTR|PLU|DEF|NOM//nsubj//1 brukar//VB|PRS|AKT//ROOT//1 som//HA//mark//4 ovan//AB//advmod//4 angetts//VB|SUP|SFO//xcomp//1 hållas//VB|INF|SFO//xcomp//1 i//PP//case//8 den//DT|UTR|SIN|DEF//det//8 kommun//NN|UTR|SIN|IND|NOM//obl//5 där//HA//advmod//12 fastigheten//NN|UTR|SIN|DEF|NOM//nsubj//12 är//VB|PRS|AKT//cop//12 belägen//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//8 ,//MID//punct//1 men//KN//cc//16 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//16 förekommer//VB|PRS|AKT//conj//1 undantag//NN|NEU|PLU|IND|NOM//nsubj//16 när//HA//mark//20 parterna//NN|UTR|PLU|DEF|NOM//nsubj//20 har//VB|PRS|AKT//advcl//16 önskemål//NN|NEU|PLU|IND|NOM//obj//20 om//PP//case//23 det//PN|NEU|SIN|DEF|SUB/OBJ//nmod//21 eller//KN//cc//27 när//HA//mark//27 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//27 företräds//VB|PRS|SFO//advcl//20 av//PP//case//29 ombud//NN|NEU|PLU|IND|NOM//obl:agent//27 som//HP|-|-|-//nsubj//33 ofta//AB|POS//advmod//33 är//VB|PRS|AKT//cop//33 verksamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//acl:relcl//29 i//PP//case//35 storstadsområdena//NN|NEU|PLU|DEF|NOM//obl//33 .//MAD//punct//1
2.3 Målens fördelning i riket;Ibland//AB//advmod//41 kan//VB|PRS|AKT//aux//41 förberedelserna//NN|UTR|PLU|DEF|NOM//nsubj:pass//41 även//AB//advmod//41 hållas//VB|INF|SFO//parataxis//1 i//PP//case//45 en//DT|UTR|SIN|IND//det//45 närliggande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//45 kommun//NN|UTR|SIN|IND|NOM//obl//41 om//SN//mark//49 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//49 kan//VB|PRS|AKT//aux//49 effektivisera//VB|INF|AKT//advcl//41 Vanämndens//PM|GEN//nmod:poss//51 resa//NN|UTR|SIN|IND|NOM//obj//49 .//MAD//punct//1
2.3 Målens fördelning i riket;Vid//PP//case//54 resorna//NN|UTR|PLU|DEF|NOM//obl//55 brukar//VB|PRS|AKT//conj//1 nämnden//NN|UTR|SIN|DEF|NOM//nsubj//55 samla//VB|INF|AKT//xcomp//55 ett//DT|NEU|SIN|IND//det//59 antal//NN|NEU|SIN|IND|NOM//nmod//60 förberedelser//NN|UTR|PLU|IND|NOM//obj//57 inom//PP//case//64 ett//DT|NEU|SIN|IND//det//64 geografiskt//JJ|POS|NEU|SIN|IND|NOM//amod//64 område//NN|NEU|SIN|IND|NOM//obl//57 .//MAD//punct//55
2.3 Målens fördelning i riket;Under//PP//case//68 åren//NN|NEU|PLU|DEF|NOM//nmod//68 2008–2010//PN|UTR/NEU|PLU|IND|SUB/OBJ//obl//71 har//VB|PRS|AKT//aux//71 nämnden//NN|UTR|SIN|DEF|NOM//nsubj//71 företagit//VB|SUP|AKT//conj//1 i//PP//case//73 genomsnitt//NN|NEU|SIN|IND|NOM//obl//71 20//RG|NOM//nummod//75 resor//NN|UTR|PLU|IND|NOM//obj//71 per//PP//case//77 år//NN|NEU|SIN|IND|NOM//nmod//75 utanför//PP//case//80 Stockholms//PM|GEN//nmod:poss//80 län//NN|NEU|SIN|IND|NOM//obl//71 för//PP//case//82 förberedelser//NN|UTR|PLU|IND|NOM//nmod//80 och//KN//cc//84 huvudförhandlingar//NN|UTR|PLU|IND|NOM//conj//82 .//MAD//punct//1
2.3 Målens fördelning i riket;"De//DT|UTR/NEU|PLU|DEF//det//1 mål//NN|NEU|PLU|IND|NOM//nsubj//6 som//HP|-|-|-//nsubj:pass//3 avgjorts//VB|SUP|SFO//acl:relcl//1 genom//PP//case//5 beslut//NN|NEU|SIN|IND|NOM//obl//3 fördelar//VB|PRS|AKT//nsubj//64 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//6 i//PP//advmod//6 huvudsak//NN|UTR|SIN|IND|NOM//fixed//8 på//PP//case//12 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//12 måltyper//NN|UTR|PLU|IND|NOM//obl//6 ;//MID//punct//6"
2.3 Målens fördelning i riket;avgiftsmål//NN|NEU|PLU|IND|NOM//appos//6 (//PAD//punct//14 anläggningsrespektive//AB//amod//17 brukningsavgifter//NN|UTR|PLU|IND|NOM//appos//14 enligt//PP//case//19 taxor//NN|UTR|PLU|IND|NOM//nmod//17 )//PAD//punct//14 ,//MID//punct//22 skadeståndsmål//NN|NEU|PLU|IND|NOM//conj//14 ,//MID//punct//24 mål//NN|NEU|PLU|IND|NOM//conj//14 som//HP|-|-|-//nsubj//26 avser//VB|PRS|AKT//acl:relcl//24 verksamhetsområdet//NN|NEU|SIN|DEF|NOM//obj//26 (//PAD//punct//27 både//KN//cc//31 kommuners//NN|UTR|PLU|IND|GEN//nmod:poss//31 överklaganden//NN|NEU|PLU|IND|NOM//conj//6 av//PP//case//34 länsstyrelsernas//NN|UTR|PLU|DEF|GEN//nmod:poss//34 förelägganden//NN|NEU|PLU|IND|NOM//nmod//31 och//KN//cc//37 fastighetsägares//NN|UTR|PLU|IND|GEN//amod//37 ansökningar//NN|UTR|PLU|IND|NOM//conj//34 om//PP//mark//42 att//SN//mark//42 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj:pass//42 ska//VB|PRS|AKT//aux//42 omfattas//VB|INF|SFO//advcl//6 av//PP//case//44 verksamhetsområdet//NN|NEU|SIN|DEF|NOM//obl//42 )//PAD//punct//6 och//KN//cc//48 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//48 mål//NN|NEU|PLU|IND|NOM//conj//6 .//MAD//punct//6
2.3 Målens fördelning i riket;Att//SN//mark//53 antalet//NN|NEU|SIN|DEF|NOM//nsubj//53 inte//AB//advmod//53 stämmer//VB|PRS|AKT//ccomp//6 överens//PL//compound:prt//53 med//PP//case//57 antalet//NN|NEU|SIN|DEF|NOM//nmod//57 beslut//NN|NEU|PLU|IND|NOM//obl//53 enligt//PP//case//59 tabell//NN|UTR|SIN|IND|NOM//nmod//60 2.4//RG|NOM//nmod//57 över//PP//case//63 avgjorda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//63 mål//NN|NEU|PLU|IND|NOM//nmod//60 kommer//VB|PRS|AKT//ROOT//64 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//64 av//PP//mark//70 att//SN//mark//70 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//69 mål//NN|NEU|PLU|IND|NOM//nsubj:pass//70 hanterats//VB|SUP|SFO//xcomp//64 som//KN//mark//73 s.k.//AB|AN//amod//73 massmål//NN|NEU|PLU|IND|NOM//xcomp//70 och//KN//cc//75 handlagts//VB|SUP|SFO//conj//73 gemensamt//AB|POS//advmod//70 och//KN//cc//78 avgjorts//VB|SUP|SFO//conj//76 genom//PP//case//81 ett//DT|NEU|SIN|IND//det//81 beslut//NN|NEU|SIN|IND|NOM//obl//70 .//MAD//punct//64
2.3 Målens fördelning i riket;Så//AB//advmod//86 kan//VB|PRS|AKT//aux//86 t.ex.//AB|AN//advmod//86 bli//VB|INF|AKT//conj//64 fallet//NN|NEU|SIN|DEF|NOM//xcomp//86 när//HA//mark//91 en//DT|UTR|SIN|IND//det//90 va-anläggning//NN|UTR|SIN|IND|NOM//nsubj:pass//91 byggs//VB|PRS|SFO//advcl//86 ut//PL//compound:prt//91 till//PP//case//95 ett//DT|NEU|SIN|IND//det//95 omvandlingsområde//NN|NEU|SIN|IND|NOM//obl//91 ///MID//cc//97 fritidshusområde//NN|NEU|SIN|IND|NOM//conj//95 och//KN//cc//99 kommunen//NN|UTR|SIN|DEF|NOM//conj//95 avser//VB|PRS|AKT//advcl//86 att//IE//mark//102 tillämpa//VB|INF|AKT//xcomp//100 en//DT|UTR|SIN|IND//det//104 särtaxa//NN|UTR|SIN|IND|NOM//obj//102 ,//MID//punct//86 dvs.//AB|AN//advmod//109 oftast//AB|SUV//advmod//109 en//DT|UTR|SIN|IND//det//109 taxa//NN|UTR|SIN|IND|NOM//appos//86 som//HP|-|-|-//nsubj//111 innebär//VB|PRS|AKT//acl:relcl//109 högre//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//113 anläggningsavgift//NN|UTR|SIN|IND|NOM//obj//111 än//KN//mark//118 vad//HP|NEU|SIN|IND//dislocated//118 som//HP|-|-|-//nsubj//118 normalt//AB|POS//advmod//118 gäller//VB|PRS|AKT//acl//113 för//PP//case//121 övriga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//121 abonnenter//NN|UTR|PLU|IND|NOM//obl//118 i//PP//case//123 kommunen//NN|UTR|SIN|DEF|NOM//nmod//121 .//MAD//punct//64
2.3 Målens fördelning i riket;Det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//126 brukar//VB|PRS|AKT//parataxis//64 få//VB|INF|AKT//xcomp//126 till//PP//mark//135 följd//NN|UTR|SIN|IND|NOM//fixed//128 att//SN//mark//135 alla//DT|UTR/NEU|PLU|IND/DEF//det//132 fastighetsägare//NN|UTR|PLU|IND|NOM//nsubj//135 i//PP//case//134 området//NN|NEU|SIN|DEF|NOM//nmod//132 protesterar//VB|PRS|AKT//advcl//126 och//KN//cc//138 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//138 blir//VB|PRS|AKT//conj//126 då//AB//advmod//138 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//141 mål//NN|NEU|PLU|IND|NOM//xcomp//138 med//PP//case//144 samma//DT|UTR/NEU|SIN/PLU|IND//det//144 fråga//NN|UTR|SIN|IND|NOM//obl//138 .//MAD//punct//126
2.3 Målens fördelning i riket;Vad//HP|NEU|SIN|IND//nsubj//1 avser//VB|PRS|AKT//advcl//3 avgiftsmålen//NN|UTR|SIN|DEF|NOM//obj//1 utgörs//VB|PRS|SFO//ROOT//3 dessa//PN|UTR/NEU|PLU|DEF|SUB/OBJ//nsubj:pass//3 dels//KN//advmod//7 av//PP//case//7 mål//NN|NEU|PLU|IND|NOM//obl//3 där//HA//fixed//7 enskilda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 klagar//NN|UTR|PLU|IND|NOM//conj//7 och//KN//cc//12 anför//VB|PRS|AKT//conj//7 att//SN//mark//18 de//PN|UTR/NEU|PLU|DEF|SUB//nsubj//18 inte//AB//advmod//18 ska//VB|PRS|AKT//aux//18 vara//VB|INF|AKT//cop//18 helt//AB|POS//ccomp//12 eller//KN//cc//20 delvis//AB//advmod//21 avgiftsskyldiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//18 för//PP//case//24 de//DT|UTR/NEU|PLU|DEF//det//24 avgifter//NN|UTR|PLU|IND|NOM//obl//18 som//HP|-|-|-//nsubj:pass//26 påförts//VB|SUP|SFO//acl:relcl//24 dem//PN|UTR/NEU|PLU|DEF|OBJ//obj//26 ,//MID//punct//7 dels//KN//advmod//31 av//PP//case//31 betalningsförelägganden//NN|NEU|PLU|DEF|NOM//conj//7 som//HP|-|-|-//nsubj:pass//33 hänskjutits//VB|SUP|SFO//acl:relcl//31 från//PP//case//35 kronofogdemyndigheten//NN|UTR|SIN|DEF|NOM//obl//33 och//KN//cc//37 mål//NN|NEU|SIN|IND|NOM//conj//35 där//HA//advmod//40 huvudmannen//NN|UTR|SIN|DEF|NOM//nsubj//40 ansökt//VB|SUP|AKT//advcl//33 direkt//AB|POS//advmod//40 till//PP//case//43 Va-nämnden//NN|UTR|SIN|DEF|NOM//obl//40 och//KN//cc//45 yrkat//VB|SUP|AKT//conj//40 att//SN//mark//49 brukaren//NN|UTR|SIN|DEF|NOM//nsubj:pass//49 ska//VB|PRS|AKT//aux//49 förpliktas//VB|INF|SFO//ccomp//45 att//IE//mark//51 betala//VB|INF|AKT//xcomp//49 avgifterna//NN|UTR|PLU|DEF|NOM//obj//51
